publish_on,release_date,video,cover,artist,name,label,review,related,fcc_notes,slug,artist_slug
2017-03-01,2017-03-01,youtube:EqjMUvHz1H0,,CFM,Dichotomy,In The Red,"Fuzzy solo project from LA fixture Charles Moothart, with a DIY ethic clearly in place.","Ty Segall, Mykal Cronin, Toadies, T-Rex",Clean,cfm-dichotomy,cfm
2017-06-02,2017-06-02,youtube:7n4ZJidgaXg,,Waax,Wild and Weak EP,,"Whip-smart hooks, electronic frosting, and a sassy female vocalist make for a good combination.","Garbage, Metric, Bully",Clean,waax-wild-and-weak-ep,waax
2017-07-19,2017-07-19,youtube:_g8nAqDu3gI,,Nine Inch Nails,Add Violence,Capitol,"Trent Reznor delivers more biting digial/analog fusion, with dark synth pads abetted by darker guitar tones.",A depressed Nintendo,#1,nine-inch-nails-add-violence,nine-inch-nails
2017-08-11,2017-08-11,youtube:o1CKtVt_XnU,,Baby Jesus,Took Our Sons Away,Yippee Ki Yay,"Garage rock revivalists from Sweden, guaranteed to make your monkey dance.","Mooney Suzuki, Oh Sees, Oblivians",Clean,baby-jesus-took-our-sons-away,baby-jesus
2017-08-18,2017-08-18,youtube:Y2Mx1-hFba4,,Whitney Rose,Rule 62,Six Shooter,"There is nothing about Whitney Rose’s country music that sets it apart from the archetype of a traditional female country singer, but great vocals and top-notch performances by an all-star cast of studio musicians make this a fun listen. ","Dolly Parton, Tanya Tucker",Clean,whitney-rose-rule-62,whitney-rose
2017-08-21,2017-08-21,youtube:PGO-0OKhXsI,,J. Roddy Walston & The Business,Destroyers Of The Soft Life, ATO,"Good southern-tinged rock, anthemic and singalong. Nothing ground-breaking, but top-notch songwriting and production.","Wilco, Drive By Truckers, The Outfield",Clean,j-roddy-walston-the-business-destroyers-of-the-soft-life,j-roddy-walston-business
2017-08-31,2017-08-31,youtube:ieNMITLhtVE,,Ted Leo,The Hanged Man,,"Solo effort from longtime pop gem Ted Leo, filled with wicked hooks and his distinctive singing voice.","Superchunk, Spoon, the New Pornographers",#10,ted-leo-the-hanged-man,ted-leo
2017-09-08,2017-09-08,youtube:-ZGqA14oQCQ,,Death From Above,Outrage! is Now,Warner,"There’s a very straight line between classic rock and this stuff — riff heavy, loaded with hooks and dynamics, and a sense of epic scale beyond the noise that some dudes with instruments could make.","QOTSA, Black Sabbath, Fu Manchu, Wolfmother","#5, #7, #10",death-from-above-outrage-is-now,death-from-above
2017-09-08,2017-09-08,youtube:WQqTFJdNpZI,,Chad Van Gaalen,Light Information,Sub Pop,"Strange songs, played by one man with a strange voice. Science fiction alienation and lush arrangements make for an unexpected series of sonic twists and turns.","Ted Leo, The Left Banke, Momus",#8,chad-van-gaalen-light-information,chad-van-gaalen
2017-09-09,2017-09-08,youtube:IVz7w1r_aak,,The Safes,Tasty Waves,Hidden Volume,"This trio of brothers make a racket that’s a lot of fun, and catchy as hack.","The Apples In Stereo, Spot 1019, Young Fresh Fellows, Nick Lowe",Clean,the-safes-tasty-waves,safes
2017-09-10,2017-09-08,youtube:-Z2UwcfcjZs,,Faith Healer,Try ;-),Mint,"A variety of sounds and moods from this duo. Yes, that is a winky emoticon in the album title.","Margaret Glaspy, Heartless Bastards, Liz Phair, Girlpool",Clean,faith-healer-try,faith-healer
2017-09-10,2017-09-10,youtube:ma9FgmrO7WM,,Esoebo,IV,Knot Reel,"It stands for “Eclecting Selections Of Everything But Opera”, but mostly smokey bluesy jazzy country stuff with some interesting additional instruments. Pronounced “Ee-so-bo”.","Mumford and Sons, Los Lobos, Dan Hicks",Clean,esoebo-iv,esoebo
2017-09-11,2017-09-08,youtube:sgvLyU05asg,,L.A. Witch,L.A. Witch,Suicide Squeeze," Reverb-drenched heavy rock, aptly living up to its name with a blend of rockabilly, surf, and disaffected retro-cool.","Dum Dum Girls, Bleached, Cramps",Clean,l-a-witch,l-a-witch
2017-09-11,2017-09-11,youtube:3n_KUKfHLCA,,"Lee ""Scratch"" Perry",Super Ape Returns To Conquer,ROIR,"Returning to the seminal “Super Ape” album after four decades, Perry proves he’s adept at new technologies as well as old techniques.",Jamaican dub music,Clean,lee-scratch-perry-super-ape-returns-to-conquer,lee-scratch-perry
2017-09-12,2017-09-12,youtube:gRMqcrI_2l8,,Hazelrigg Brothers,Songs We Like,,"Jazz trio renditions of a curiously selected set of songs. Jimi Hendrix, Bartok, the Police, Led Zeppelin (twice), Steely Dan, and more all get a turn.",The Bad Plus,Clean,hazelrigg-brothers-songs-we-like,hazelrigg-brothers
2017-09-15,2017-09-15,youtube:nwe76N7J0EI,,Ariel Pink,Dedicated to Bobby Jameson,Mexican Summer,"Off-kilter washes of synth and gothic vocals amidst psychedelic folk, rushes of prog rock, and incredibly delicate moments. ","Animal Collective, Deerhunter, Hawkwind, Luna",Clean,ariel-pink-dedicated-to-bobby-jameson,ariel-pink
2017-09-15,2017-09-15,youtube:xM6HBAM93V4,,Antibalas,Where The Gods Are In Peace,Daptone,"Great modern take on the Afrobeat genre, with a healthy dash of psychedelic punk.","Fela, Tony Allen, Afrobeat",Clean,antibalas-where-the-gods-are-in-peace,antibalas
2017-09-17,2017-09-15,youtube:FTAwhiJD-Gk,,Lee Ranaldo,Electric Trim,Mute,"The Sonic Youth guitarist’s solo effort is not as discordant as you might expect, and features collaborations with Sharon Van Etten, Nels Cline, and Jonathan Lethem (on some lyrics)","King Missile, Sonic Youth","#6, #9",lee-ranaldo-electric-trim,lee-ranaldo
2017-09-20,2017-09-15,youtube:sIQ2atEdfII,,Rostam,Half-Light,Nonesuch,The person behind Vampire Weekend’s production and half of Islands’ distinctive sound shows more of his unique sonic signature on a full album of gentle songs awash in analog and digital abstractions and heavenly choruses,"Vampire Weekend, Islands, MGMT, Tame Impala",#11,rostam-half-light,rostam
2017-09-22,2017-09-22,youtube:FgkWVbSBQN4,,Holiday Ghosts,Holiday Ghosts,PNKSLM,"Garage rock like it’s meant to be, full of barely-controlled fuzz, raging vocals, warbling organs, and four-on-the-floor drums. ","Black Tambourines, The Woggles, King Khan",Clean,holiday-ghosts,holiday-ghosts
2017-09-22,2017-09-22,youtube:ASt7ZRSWiKo,,The Bronx,(V),Epitaph,Classic LA hardcore served up in a blaze. An aggressive release from an aggressive band.,"Rancid, Rocket From The Crypt, Bad Religion",#6,the-bronx-v,bronx
2017-09-22,2017-09-22,youtube:oh8EXOpgfko,,The Flamin' Groovies,Fantastic Plastic,Sonic Kicks,Cyril Jordan and Chris Wilson reunite to bring back the sound that made the Flamin’ Groovies famous 40 years ago with “Shake Some Action”. A solid return to form.,"Big Star, The Plimsouls, Wilco",Clean,the-flamin-groovies-fantastic-plastic,flamin-groovies
2017-09-22,2017-09-22,youtube:a_MlMqnlA9w,,Ephrata,Ephrata,Dessert,Dreamgaze shoepop from this Seattle foursome that takes harmonies and production very seriously.,"Best Coast, Cocteau Twins, Beach House",Clean,ephrata,ephrata
2017-09-25,2017-09-22,youtube:qPG2aQXeZoM,,METZ,Strange Peace,Sub Pop,"The line between a riff and a throbbing structures of pitched rhythm is pretty thin, as these Canadians show. METZ is punishing without being abusive. A Steve Albini recording.","Bass Drum of Death, JEFF the Brotherhood, Oh Sees, King Gizzard + TLW",Clean,metz-strange-peace,metz
2017-09-28,2017-09-28,youtube:B4-9pnsvm3A,,Cherry,Dumbness,Lame-o,"An honest tribute to stupidity, full of hooks, snappy lyrics, and gorgeous choruses","Spoon, New Pornographers",Clean,cherry-dumbness,cherry
2017-09-29,2017-09-29,youtube:WqxE-zppu30,,Wolf Alice,Visions of a Life,RCA,"Guitars, synths, great production, and pop hooks a-plenty.","The Horrors, Hole, Garbage","#2, #6, #7, #12",wolf-alice-visions-of-a-life,wolf-alice
2017-09-29,2017-09-29,youtube:tZ_ZIb0utLE,,Chicago Afrobeat Project,What Goes Up,,"More modern Afrobeat, connected to the source via drummer Tony Allen. A wild collection of Chicago talents united for a smoothly entrancing session of shorter (for Afrobeat) songs.","Fela, Tony Allen, Afrobeat",Clean,chicago-afrobeat-project-what-goes-up,chicago-afrobeat-project
2017-10-01,2017-10-01,youtube:E_LWN587sMY,,Free Radicals,Outside the Comfort Zone,,"A dynamic collection of mostly-short funky jazz instrumentals, with a full horn section and a driving beat.","Medeski Martin + Wood, Galactic, Antibalas",Clean,free-radicals-outside-the-comfort-zone,free-radicals
2017-10-03,2017-10-03,youtube:pfibd841pUQ,,Phono Pony,Death by Blowfish EP,,Four chuggy songs showing great promise. From Canada.,"Pixies, White Stripes, Oh Sees",Clean,phono-pony-death-by-blowfish-ep,phono-pony
2017-10-06,2017-10-06,youtube:zHldnGhVWr4,,Reptaliens,FM-2030,Captured Tracks,"An eccentric selection of songs, teetering on the edges of what is considered decent girl-fronted pop.","Tennis, The Bird + The Bee, Cranberries",Clean,reptaliens-fm-2030,reptaliens
2017-10-07,2017-10-06,youtube:XQZhfqyAY_A,,Mister Heavenly,Boxing The Moonlight,Polyvinyl,"If the aliens thought we communicated in oldies, and were trying to send us a message, this would be it.","The Unicorns, Man Man, Islands","#2, #10",mister-heavenly-boxing-the-moonlight,mister-heavenly
2017-10-08,2017-10-06,youtube:RhG6crUCY6E,,Wolf Parade,Cry Cry Cry,Sub Pop,"Dense arrangements of fragile parts, a wide palette of textures and tempos, and a pervading sense of drama make this a collection of pensive songs","The Decembrists, Radiohead, Beirut","#8, #11",wolf-parade-cry-cry-cry,wolf-parade
2017-10-09,2018-09-21,youtube:ax8AUnu2vD0,,Liars,TFCF,Mute,"Down to one original member, who recorded most of this in the Australian bush, this album sounds desperate and hopeful at the same time with its strange mix of acoustic, electronic, and environmental sounds.","Nine Inch Nails, Swans, The National",Clean,liars-tfcf,liars
2017-10-13,2017-10-13,youtube:yVs-veVcOTM,,The Front Bottoms,Going Grey,Fueled By Ramen,The masters of punk Americana return with a highly-polished and well-produced effort. ,"Frank Turner, Future Kings of Nowhere","#1, #4",the-front-bottoms-going-grey,front-bottoms
2017-10-15,2017-10-13,youtube:MvXqgYYDR24,,Various Artists,Like A Version,Triple J,A wildly careening set of covers from Australias Triple J radio megalith. Loads of fun.,Various Artists,Clean,various-artists-like-a-version,various-artists
2017-10-17,2017-10-13,youtube:jPha0h8TA5U,,St. Vincent,Masseduction,Loma Vista,Annie Clarke’s strong voice floats effortlessly above a dense cascade of synthetic and organic sounds,"Tom Tom Club, Nine Inch Nails, Annie Lennox","#2, #6, #7, #8",st-vincent-masseduction,st-vincent
2017-11-08,2017-11-08,youtube:JV4NPoF_UnY,,The Domestics,Little Darkness,Tender Loving Empire,"Highly melodic and full of dramatic sweeps in dynamics, this is a collection of songs that slowly grows on you. ","The Mabuses, Arcade Fire, Split Enz, Golden Shoulders",Clean,the-domestics-little-darkness,domestics
2017-11-10,2017-01-22,youtube:ioBfPcw3ERY,,Black Gardenia,Lucky Star,,"Although you can no longer smoke in most live music venues, this will always be smokey jazz, slow-burning or quickly flaring with a lush velvety voice on top.","Billie Holliday, Hot Club of Cowtown",Clean,black-gardenia-lucky-star,black-gardenia
2017-11-15,2017-05-05,youtube:dCnnWlFfYn0,,Dappled Cities,IIIII,Chugg,"Australia’s Dappled Cities straddles the line between new wave and indie, with solid hooks and crystal-clear pop production.","Echo and the Bunnymen, James, early U2",Clean,dappled-cities-iiiii,dappled-cities
2017-11-20,2017-09-15,youtube:3Vwdp3n-Fic,,Fink,Resurgam,R’Coup’d,"Fink meanders through a variety of moody sounds, mostly brooding with flashing patches of sunshine.","The National, Nick Cave, Liars",Clean,fink-resurgam,fink
2017-11-25,2017-09-29,youtube:MkynEQz-H74,,Mo Kenney,The Details,Pheromone,"A great collection of intense flavors, from easy rockers to bedroom recordings to full-on blasts","Juliana Hatfield, Courtney Barnett, Jenny Wilson",#13,mo-kenney-the-details,mo-kenney
2017-11-30,2017-10-13,youtube:wmAYzy_HAaY,,Courtney Barnett & Kurt Vile,Lotta Sea Lice,Matador,"Such grand disaffection from this US/AUS pairing … my new favorite Kurt and Courtney, providing the weirdest yet most natural male/female vocal duets.","Paleface, Juliana Hatfield, X",Clean,courtney-barnett-kurt-vile-lotta-sea-lice,courtney-barnett-kurt-vile
2017-12-03,2017-10-20,youtube:0HdYkTGPTe8,,Bully,Losing,Sub Pop,Wildly dynamic outfit with in-your-face female vocals. Sounds twenty years old and completely new at the same time.,"L7, The Muffs, The Bits","#6, #9",bully-losing,bully
2017-12-05,2017-10-20,youtube:h-N6jfO5NOQ,,Destroyer,ken,Merge,"Dan Bejar’s own project features his distinctive voice and musical mannerisms, carried over from the ‘80s.","The New Pornographers, New Order","#1, #6",destroyer-ken,destroyer
