publish_on,release_date,video,cover,artist,name,label,review,related,fcc_notes,slug,artist_slug
2018-04-16,2018-02-16,youtube:0qlo0mhBcGA,born_ruffians.jpg,Born Ruffians,"Uncle, Duke + the Chief",Yep Roc,"Some of that weird pop, this time with a definite tinge of Americana, or perhaps Canadiana, since the band is from Toronto","My Morning Jacket, Vampire Weekend, Deertick",Clean,born-ruffians-uncle-duke-the-chief,born-ruffians
2018-04-21,2018-02-16,youtube:sNqJFVOKaU0,car_seat_headrest.jpg,Car Seat Headrest,Twin Fantasy,Matador,Dense arrangements make for some slowly emerging indie orchestral music. Disc 2 is the demo versions of the songs on Disc 1.,"Pavement, The Smiths, The Wedding Present","#2, #5, #7, #10",car-seat-headrest-twin-fantasy,car-seat-headrest
2018-04-26,2018-03-02,youtube:6gO9HuhzsL4,ed_schraders_music_beat.jpeg,Ed Schrader's Music Beat,Riddles,Carpark,"Heady mix of post-punk and electronic sounds, heavy on the bass riffing. Features Dan Deacon on beeps and such.","Dan Deacon, Liars, Lightning Bolt",Clean,ed-schrader-s-music-beat-riddles,ed-schrader-s-music-beat
2018-04-30,2018-02-16,youtube:nwKiOwz3hsU,ride.jpg,Ride,Tomorrow’s Shore EP,Wichita,Washes of fuzzed-out bliss at your choice of tempos,"The Jesus and Mary Chain, My Bloody Valentine, His Name Is Alive",Clean,ride-tomorrow-s-shore-ep,ride
2018-05-05,2018-02-23,youtube:C9GlmrLa1AE,screaming_females.jpg,Screaming Females,All At Once,Don Giovanni,"Fronted by Marissa Paternoster’s dramatic and dynamic vocals, this power trio hearkens back to the DIY indie scene","L7, The Gits, Bully",#7,screaming-females-all-at-once,screaming-females
2018-05-11,2018-01-02,youtube:zikP36Ad9LU,telamor.png,Telamor,Crush,Olex,"One-man band Tom Hauck is Telamor, with a variety of songs that sounds like they were lifted straight out of ‘80s college radio","Violent Femmes, XTC, LMNOP",Clean,telamor-crush,telamor
2018-05-15,2018-03-30,youtube:xwwmv7ygmB8,naked_giants.jpg,Naked Giants,Sluff,New West,"This goes all over the place, but mostly rocks hard with inventive arrangements and infectious hooks.","Blur, Rocket From The Crypt, Parquet Courts","#2, #6, #12",naked-giants-sluff,naked-giants
2018-05-18,2018-04-06,youtube:_SaXuy2isS0,makeness.jpg,Makeness,Loud Patterns,Secretly Canadian,"An engaging hybrid of analog and electronic sounds, with occasional soulful vocals intertwined in the mix.","Nine Inch Nails, Daft Punk, OMD",Clean,makeness-loud-patterns,makeness
2018-05-20,2018-04-20,youtube:Fc_-u1WwDeo,le_rug.jpg,Le Rug,Bleenex,Omad,Bewildering and enchanting solo project that can swing dramatically between lo-fi and supremely nuanced,"Japandroids, The Unicorns, Los Campesinos!",Clean,le-rug-bleenex,le-rug
2018-05-24,2018-05-15,youtube:lRYpJydaeYY,hawk.jpeg,Hawk,Bomb Pop,New Garden,Solid power-pop outing with an all-star cast… a must for fans of the Yellow Pills series.,"Material Issue, The Posies, The Kinks",Clean,hawk-bomb-pop,hawk
2018-05-26,2018-03-01,youtube:FSpzsO1RDTM,goat_girl.jpeg,Goat Girl,Goat Girl,Rough Trade,"Guitar-centered rock with moody female vocals, with a harder edge and good dynamics.","Pinback, Throwing Muses, Elastica",#2,goat-girl,goat-girl
2018-05-28,2018-04-06,youtube:zMINv5ggLww,rainbow_kitten_surprise.jpeg,Rainbow Kitten Surprise,"How To: Friend, Love, Freefal",Elektra,"Heady mix of folk, electronic and hip hop elements swirling together into something unique and accessible.","Modest Mouse, Django Django, My Morning Jacket, Vampire Weekend","#2, #4, #5, #6, #7, #11",rainbow-kitten-surprise-how-to-friend-love-freefal,rainbow-kitten-surprise
2018-05-30,2018-04-27,youtube:3cmHsBA0WLA,dr_dog.jpg,Dr. Dog,Critical Equation,We Buy Gold,"The band returns with more of their particular brand of folksy psychedelia. Lots of great hooks and harmonies, as usual.","Born Ruffians, My Morning Jacket, ELO",Clean,dr-dog-critical-equation,dr-dog
2018-06-01,2018-04-06,youtube:8p3CyHVzHZQ,dr_octagon.jpg,Dr. Octagon,Moosebumps,Bulk Recordings,"Twenty years later, Dr. Octagon still sounds like the future of intelligent-slash-weird hip-hop","Kool Keith, Gorillaz, Handsome Boy Modeling School","#5, #10",dr-octagon-moosebumps,dr-octagon
2018-06-03,2018-04-20,youtube:SN80WTyizEI,post_animal.jpg,Post Animal,When I Think Of You In A Castle,Polyvinyl,"Seriously kinetic, full of unexpected musical twists and turns, and at the same time prone to laying down an excellent drone beat.","Thee Oh Sees, Artichoke, King Gizzard and the Lizard Wizard",#8,post-animal-when-i-think-of-you-in-a-castle,post-animal
2018-06-05,2018-04-27,youtube:RNzGH02i8wY,speedy_ortiz.jpg,Speedy Ortiz,Twerp Verse,Carpark,"A powerful set of guitar pop songs, fronted by sometimes disaffected indie female vocals.","The Rentals, Veruca Salt, Liz Phair",Clean,speedy-ortiz-twerp-verse,speedy-ortiz
2018-06-06,2018-05-11,youtube:M0vMIQLXxqQ,beach_house.jpg,Beach House,7,Sub Pop,Washes of sound surround you as half-heard vocals intertwine with half-remembered melodies.,"Cocteau Twins, Lush, Stereolab",Clean,beach-house-7,beach-house
2018-06-07,2018-05-04,youtube:XI-Vr6gKbwk,black_moth_super_rainbow.jpg,Black Moth Super Rainbow,Panic Blooms,Rad Cult,Is it experimental psychedelia or is it the soundtrack to a fragmented dream? It is not necessary to decide.,"Animal Collective, Half-Handed Cloud, The Flaming Lips","#3, #5, #6, #14, #15",black-moth-super-rainbow-panic-blooms,black-moth-super-rainbow
2018-06-09,2018-04-27,youtube:X53IkGOQs0A,forth_wanderers.jpg,Forth Wanderers,Forth Wanderers,Sub Pop,"Wildly dynamic swings of mood from this rock-format combo, filled with sweet chiming vocal harmonies set against dissonance and rhythm.","Breeders, Throwing Muses, Toenut, Deerhoof",Clean,forth-wanderers,forth-wanderers
2018-06-12,2018-04-13,youtube:AVHMYQJBUs0,king_tuff.jpg,King Tuff,The Other,Sub Pop,"King Tuff clearly has a rock and roll heart, with the sort of grandiose expression that has a southern blues charm.","Led Zeppelin, Black Crowes, Billy Squier",Clean (should confirm with SP),king-tuff-the-other,king-tuff
2018-06-15,2018-05-11,youtube:oETEFW1g-hs,la_luz.jpg,La Luz,Floating Features,Hardly Art,"La Luz takes everything that’s great about surf rock and dreamy girl vocals, gives it a new coat of paint, fills it with high-octane, and dares you to keep up.","Link Wray, Shadowy Men on a Shadowy Planet, Insect Surfers",Clean,la-luz-floating-features,la-luz
2018-06-19,2018-05-25,youtube:i2i85Ir3FrY,ruler.jpg,Ruler,Winning Star Champion,Barsuk,"A brilliant collection of indie pop gems, featuring the sounds and hooks that made “alternative music” so great in the first place.","Death Cab for Cutie, Hoodoo Gurus, Nirvana, Robyn Hitchcock",#2,ruler-winning-star-champion,ruler
2018-06-20,2018-04-20,youtube:7jaGtrn9Qgw,ty_richards.png,Ty Richards,Welcome to Flat Earth,Tremolo,"Another one-man rock act that wears its influences on its sleeve, but it’s well done so don’t take that as a complaint. Highly political.","Ty Segall, T. Rex, Brian Jonestown Massacre, King Tuff",#2,ty-richards-welcome-to-flat-earth,ty-richards
2018-06-25,2018-05-25,youtube:03HZ0d0VBnk,jo_passed.jpg,Jo Passed,Their Prime,Sub Pop,Somewhere beyond easy genres is this woozy mix of indie soul and post-rock complication.,"Deerhoof, Nirvana, Sonic Youth, Thingy",Clean,jo-passed-their-prime,jo-passed
2018-07-02,2018-05-04,youtube:dIPxzoLIXRc,cleveland_steamers.jpg,The Cleveland Steamers,Best Record Ever,Smog Veil,"Hard-rocking, beer-chugging, smoke-breaking anthems from this Cleveland couple. They can also veer into weird and spooky.","Spinal Tap, The Horrors, The Raveonnettes, Julee Cruise",#9 …,the-cleveland-steamers-best-record-ever,cleveland-steamers
2018-07-04,2018-06-08,youtube:WfEKMgScz4s,calpurnia.jpg,Calpurnia,Scout EP,Royal Mountain,Some very young Canadians show plenty of promos with this pleasantly bratty set of indie guitar rock.,"Half Japanese, Dr. Dog, Mooney Suzuki, Spice Boys",Clean,calpurnia-scout-ep,calpurnia
2018-07-06,2018-06-08,youtube:-d91Qn8QUks,snail_mail.jpg,Snail Mail,Lush,Matador,"Bold effort from this young musician, this set of introspective songs shows great skill and promise.","The Sundays, Lush, Liz Phair, Madder Rose",Clean,snail-mail-lush,snail-mail
2018-07-08,2018-06-29,youtube:KUQIFaYAUhE,essex_green.jpg,The Essex Green,Hardly Electronic,Merge,"Hooks as sharp as diamonds, girl/boy vocal harmonies, jangling guitars… what else do you need to play this summer?","Apples In Stereo, Belle and Sebastian, Push Kings, Dressy Bessy",Clean,the-essex-green-hardly-electronic,essex-green
2018-07-10,2018-06-29,youtube:rWyiJtqnZlk,rockateens.jpg,Rock*a*Teens,Sixth House,Merge,"This southern gothic staple returns, with a bit less reverb but just as much agony and attitude.","My Morning Jacket, Wilco, Archers of Loaf",Clean,rock-a-teens-sixth-house,rock-a-teens
2018-07-12,2018-06-15,youtube:e5daIu9-OG0,johnny_mar.jpg,Johnny Marr,Call The Comet,Sire,"Johnny Marr, who provided his distinctive liquid guitar sound to the Smiths and many others, returns with a solo album that shows not much has changed.","Modest Mouse, The Smiths, Jesus + Mary Chain",Clean,johnny-marr-call-the-comet,johnny-marr
2018-07-14,2018-04-27,youtube:I8iYTbp4idI,grimskunk.jpg,Grimskunk,Unreason In the Age of Madness,Indica,"Aggressive metal-reggae-funk, which is not something I generally like, but this one has some sort of undermined charm to it.","Faith No More, Sublime, Anthrax, Fishbone","#3, #4, #8",grimskunk-unreason-in-the-age-of-madness,grimskunk
2018-07-16,2018-05-25,youtube:Rc8QRI6lXb8,mystery_of_bulgarian_voices.jpg,The Mystery of the Bulgarian Voices,BooCheeMish,Prophecy,"A sound you could classify as ethereal, alien, or both. Ancient gregorian harmonies collide with Middle Eastern time signatures for something truly unique. Features DCD’s Lisa Gerrard","Enigma, Dead Can Dance, creepy film soundtracks",Clean,the-mystery-of-the-bulgarian-voices-boocheemish,mystery-of-bulgarian-voices
