special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes
,,,,2008-09-09,00,Playlist for 2008-09-09,,,,,X,,
,,,,2008-09-09,01,Sweet Librarian ,Railroad Jerk ,,,Starting it all…,,,
,,,,2008-09-09,02,Relax Baby Be Cool ,Stereo Total ,,,Originally by Serge Gainsbourg,,,
,,,,2008-09-09,03,1234,Titan ,,,"Pronounced ""TEE-tan"", from Mexico",,,
,,,,2008-09-09,04,Oh My ,The Dansettes ,,,On HammondBeat,,,
,,,,2008-09-09,05,BREAK,,,,BREAK,X,,
,,,,2008-09-09,06,If I Think Of Love ,LD + the New Criticism ,,,One of my favorite Lisa Germano songs,,,
,,,,2008-09-09,07,Fatty Boom Boom ,Westbound Train ,,,Rocksteady from Boston,,,
,,,,2008-09-09,08,Bye Bye Baby ,G Love + Special Sauce ,,,,,,
,,,,2008-09-09,09,Too Much ,David Garza ,,,Original demo version… still my favorite,,,
,,,,2008-09-09,10,BREAK,,,,BREAK,X,,
,,,,2008-09-09,11,Great Plains ,Head of Femur ,,,"Did I say ""Focht"" on the air?",,,
,,,,2008-09-09,12,Chick-A-Boom ,Trespassers W ,,,German minimalist — this track reminds me of a country Trio,,,
,,,,2008-09-09,13,The New Breed ,Golden Shoulders ,,,"This album was originally released in 2004, track it dow, it’s excellent.",,,
,,,,2008-09-09,14,Medicine Man ,The Hush Sound ,,,"Dum-dum-dum, dig that menacing bass",,,
,,,,2008-09-09,15,BREAK,,,,BREAK,X,,
,,,,2008-09-09,16,The Cat ,James Taylor Quartet ,,,Nothing to do with Carly Simon’s James Taylor,,,
,,,,2008-09-09,17,Scott Cronce is our CEO ,Global Goon ,,,Relentless and hypnotic,,,
,,,,2008-09-09,18,Lay Back ,Kinky ,,,From Mexico,,,
,,,,2008-09-09,19,This Little Time,Andrea Perry ,,,Sweet and happ,,,
,,,,2008-09-09,20,BREAK,,,,BREAK,X,,
,,,,2008-09-09,21,The Year of No Light ,Three Mile Pilot ,,,Featuring members of Pinback and Black Heart Procession,,,
,,,,2008-09-09,22,Postcard,Niños Con Bombas ,,,"Pan-global mix of ska, punk and more. Not like other mixes of ska, punk and more.",,,
,,,,2008-09-09,23,You Made Me Like It ,1990s,,,Glaswegian snottiness… I lurvs it,,,
,,,,2008-09-09,24,Make Me STiNKED ,The Flamenco A Go Go ,,,Dig the album artwork… must post a link here some day,,,
,,,,2008-09-09,25,BREAK,,,,BREAK,X,,
,,,,2008-09-09,26,The Puppet ,Moore Brothers ,,,,,,
,,,,2008-09-09,27,California Stutter ,Robb Benson ,,,Nothing to do with the ’70s heartthrob,,,
,,,,2008-09-09,28,T-Rexia Nervosa ,The Awkward Stage ,,,Does it sound like T-Rex to you?,,,
,,,,2008-09-09,29,This Will Be Our Year ,OK GO ,,,Originally from a 2004 moveon.org compilation… highly ironic in retrospective,,,
,,,,2008-09-09,30,BREAK,,,,BREAK,X,,
,,,,2008-09-09,31,Paper Moon ,Erin McKeown ,,,"Best cover of ""Paper Moon"" by a Canadian EVER",,,
,,,,2008-09-09,32,The Israelites ,Madness ,,,One of the first (if not THE first) ska hits in the US,,,
,,,,2008-09-09,33,I’m Always Manic When I’m Around You ,A Big Yes + A Small No ,,,"Winner of ""Longest Band Name"" and ""Longest Song Title"" for this show",,,
,,,,2008-09-09,34,Bala Com Bala ,Elis Regina ,,,Classic bossanova,,,
,,,,2008-09-09,35,BREAK,,,,BREAK,X,,
,,,,2008-09-09,36,Sinner ,Downtown Harvest ,,,From Philladelphia… lots of Philly bands on this show for some reason,,,
,,,,2008-09-09,37,Duchess ,Boss Hogg ,,,"For Underdog, featuring Jon Spencer and Christina Martinez",,,
,,,,2008-09-09,38,Sir Rockabye ,Black Francis ,,,"Delightful gem on John from TMBG’s ""Hello Recording Club""",,,
,,,,2008-09-09,39,BREAK,,,,BREAK,X,,
,,,,2008-09-09,40,The More You Say You Know ,Blue Skies for Black Hearts ,,,"Runner up, ""Longest Band Name""",,,
,,,,2008-09-09,41,Hot Carl ,Monsieur LeRoc ,,,"Goes out to Phillip and my Production Mastermind, Dr. Zoltan",,,
,,,,2008-09-09,42,BREAK,,,,BREAK,X,,
,,,,2008-09-09,43,Bhajan ,The Anubian Lights ,,,Good way to end the evening,,,
,,,,2008-09-16,00,Playlist for 2008-09-16,,,,,X,,
,,,,2008-09-16,01,I’ll Be Your Mirror,Nico,,,Don’t know why I had to hear this,,,
,,,,2008-09-16,02,On This Earth,Blinker the Star,,,Majestic and unexpected,,,
,,,,2008-09-16,03,BREAK,,,,BREAK,X,,
,,,,2008-09-16,04,Illuminati Stormhorse,Less Pain Forever,,,WTF is up with that amazing chorus?,,,
,,,,2008-09-16,05,Back to New Orleans,Blue Skies for Black Hearts,,,,,,
,,,,2008-09-16,06,Sweat,Jon Spencer Boosexposion,,,Hooooo! Pantleg,,,
,,,,2008-09-16,07,Riding the Sorry Train to Dumpsville,Atomic 7,,,Another great song title by Atomic 7,,,
,,,,2008-09-16,08,BREAK,,,,BREAK,X,,
,,,,2008-09-16,09,Health Food Store,White Hassle,,,You knew some White Hassle was coming,,,
,,,,2008-09-16,10,Nothing In This World,Kinks,,,From the Rushmore soundtrack,,,
,,,,2008-09-16,11,This Purple Child,Howe Gelb + Grandaddy,,,Driving in the desert at night with a ghost trumpet,,,
,,,,2008-09-16,12,Jet Girl (Acoustic),The Wedding Present,,,David Gedge and his Unmistakable Voice,,,
,,,,2008-09-16,13,BREAK,,,,BREAK,X,,
,,,,2008-09-16,14,Book Song,Tiny Masters of Today,,,To my resident librarian,,,
,,,,2008-09-16,15,Belly Warmer,Dub Narcotic,,,"Jam on it, Calvin",,,
,,,,2008-09-16,16,Do Me,Jean Knight,,,Classic funk from the Superbad sountrack,,,
,,,,2008-09-16,17,Tide Is High,Paragons,,,"Original reggae version, made famous by Blondie",,,
,,,,2008-09-16,18,BREAK,,,,BREAK,X,,
,,,,2008-09-16,19,Nice Day,His Name Is Alive,,,Perfect pop from Warren Defever,,,
,,,,2008-09-16,20,Perfect,Petty Booka,,,"Cover of Fairground Attraction song, by Flameco A Go Go grads",,,
,,,,2008-09-16,21,Making Plans for Nigel,Primus,,,Cover of XTC song. Pounding drums a big plus,,,
,,,,2008-09-16,22,Senses Working Overtime,XTC,,,"Had to follow up with some actual XTC, ya know",,,
,,,,2008-09-16,23,BREAK,,,,BREAK,X,,
,,,,2008-09-16,24,Softcore War,hollAnd,,,Completely analog and hypnotic,,,
,,,,2008-09-16,25,Plug Me In,Add N to X,,,And the same goes for this,,,
,,,,2008-09-16,26,Mondo ‘77,Looper,,,This one too. Also on the Vanilla Sky soundtrack,,,
,,,,2008-09-16,27,Scout,Calexico,,,Loosely jointed spy theme,,,
,,,,2008-09-16,28,BREAK,,,,BREAK,X,,
,,,,2008-09-16,29,I Got My Mojo Working,Young Fresh Fellows,,,(And I Thought You’d Like To Know),,,
,,,,2008-09-16,30,Musique Automatique,Stereo Total,,,“My antenna telepatique...tique...tique...tique...”,,,
,,,,2008-09-16,31,She Don’t Use Jelly,The Flaming Lips,,,A radio classic,,,
,,,,2008-09-16,32,I Wanna Destroy You,Soft Boys,,,Archetypal Soft Boys track,,,
,,,,2008-09-16,33,BREAK,,,,BREAK,X,,
,,,,2008-09-16,34,Whale In The Sand,The Brunettes,,,From New Zealand!,,,
,,,,2008-09-16,35,Boombox,Mosquitos,,,"From Brooklyn, featuring an Actual Brazilian Native",,,
,,,,2008-09-16,36,The Baby That Was You,MC Honky,,,Entrancing use of a baby sample,,,
,,,,2008-09-16,37,BREAK,,,,BREAK,X,,
,,,,2008-09-16,38,The Monkey Steals The Peaches,Sir Millard Mulch,,,"SMM live in the studio, sorta",,,
,,,,2008-09-16,39,Lookin Lookin Gaa,Polysics,,,"Lookin ga, SMM",,,
,,,,2008-09-16,40,Eyes of the Night,Starlight Mints,,,Spooky pop... save it for Halloween,,,
,,,,2008-09-16,41,Manta Ray,Pixies,,,B side from somewhere,,,
,,,,2008-09-16,42,BREAK,,,,BREAK,X,,
,,,,2008-09-16,43,Tuff Luff,Unicorns,,,Some Unicorns to round things out,,,
,,,,2008-09-23,00,Playlist for 2008-09-23,,,,,X,,
,,,,2008-09-23,01,Blues Are Still Blue,Belle + Sebastian,,,So smooth,,,
,,,,2008-09-23,02,BREAK,,,,BREAK,X,,
,,,,2008-09-23,03,Los Rebeldes,Sugar Oaks,,,from Clearwater,,,
,,,,2008-09-23,04,Parentheses,The Blow,,,Nice ‘80s throwback track,,,
,,,,2008-09-23,05,The Light Brigade,Noonday Underground,,,"Stringbeat, emphasis on beat",,,
,,,,2008-09-23,06,Wake Me Up,Tone,,,"Beautiful, Danish",,,
,,,,2008-09-23,07,BREAK,,,,BREAK,X,,
,,,,2008-09-23,08,Just One Of Those Things,Blossom Dearie,,,remix by Brazilian Girls,,,
,,,,2008-09-23,09,Morricone,Hey Hey My My,,,Spooky,,,
,,,,2008-09-23,10,Fisher Price,Creedle,,,Don’t mess with me when I’m in the mirror dressed as Elvis,,,
,,,,2008-09-23,11,Police + Thieves,Junior Margin,,,The original?,,,
,,,,2008-09-23,12,BREAK,,,,BREAK,X,,
