batch,issue,published,cover,status,artist,album,label,review,sounds_like,release_date,link,track_seq,track_name,track_description,posted
2021-J,10,,atom-tm-electrolatino.jpeg,tracks,Atom™,"This is Electrolatino, Vol. 1",NN,"A near-dozen electrolatinized hits, not all of them latinamerican in origin but all of them served as tremendously smart interpretation, from a mostly-marimba “Maniac” (from Flashdance) to the sparse cumbia of Prince’s “Beso”. ","Kraftwerk, Señor Coconut, Prince","May 21, 2021",https://open.spotify.com/album/036ZQPYX879YeyXu9CfVVN?si=ZULh2O5hTOGdXLSvKVG2yQ&dl_branch=1,2,Maniac,Atom™,
2021-J,,,,tracks,,,,,,,,10,Beso,Atom™,
2021-J,12,,audiobooks.jpeg,tracks,Audiobooks,Astro Tough,Rough Trade,"“Charmingly abrasive” sounds like an oxymoron, but it is certainly something that describes music like this, angular sounds and a distraught female voice rambling on about blue tits, and I don’t think she means birds.","Bongwater, The Fall, Ass Baboons of Venus","October 1, 2021",https://open.spotify.com/album/1VOb0OiCghjUcmk0Hv7bDW?si=7cK03-G4TbG5aNOAtjg_Yw&dl_branch=1,1,The Doll,Audiobooks,
2021-J,,,,tracks,,,,,,,,5,Blue Tits,Audiobooks,
2021-J,,,,tracks,,,,,,,,9,Black Lipstick,Audiobooks,
2021-J,11,,,tracks,Ty Segall,Harmonizer,Drag City,"Ty’s arsenal of instrumentation continues to grow, as he fills out his domain of prog-rock, stoner drones, glam trash, and other Seventies detritus with keyboards, more keyboards, and an evolving sense of studio wizardry.","Islands, Ween, T.Rex","August 3, 2021",https://open.spotify.com/album/2UuUDTEWHRyGgIuzQReANA?si=FxX9vW1YRJ-XXtbeeDSy_Q&dl_branch=1,3,Erased,Ty Segall,
2021-J,,,,tracks,,,,,,,,6,Ride,Ty Segall,
2021-J,10,,wavves.jpeg,tracks,Wavves,Hideaway,Ghost Ramp,"It’s dense and it feels implacable, yet at the same time it’s sweet and comforting, like a punked-out beach blanket bingo, with cascading fuzz pedals and the feeling that the next wave is going to crest even higher.","Surfer Blood, STRFKR, The Apples In Stereo","July 16, 2021",https://open.spotify.com/album/2Sq7Bt3s2vPY9HgWYlTbEX?si=_mXRCIf4QIaH8wqhMqngJA&dl_branch=1,1,Thru Hell,Wavves,
2021-J,,,,tracks,,,,,,,,2,Hideaway,Wavves,
2021-J,,,,tracks,,,,,,,,9,Caviar,Wavves,
2021-K,11,,,tracks,Erin McKeown,Kiss Off Kiss,TVP,"She once wrote a song over text message with Rachel Maddow, a micro-story that actually provides deep insight into this adventurous Canadian with an effortlessly capable voice and a finely honed instinct for finding the beating heart of a song.","Juliana Hatfield, Jenny Toomey, kd lang","September 24, 2021",https://open.spotify.com/album/4mLf6GPxpIDvGZluWqMWSP?si=ZKZxBZxLQRCQZgZnSb9EkA&dl_branch=1,1,Cupido Stupido,Erin McKeown,
2021-K,,,,tracks,,,,,,,,10,Kiss Off Kiss,Erin McKeown,
2021-K,,,,tracks,,,,,,,,12,Today / Sex,Erin McKeown,
2021-K,11,,,tracks,Femi Kuti,Stop the Hate,PTKF,"Afrobeat continues to be a family business for the Kutis, and business is booming. Now representing the middle generation in this dynasty, Femi expertly delivers the expected stuttering beats and political dissent we have come to expect from the brand.","Fela Kuti, Phoenix Afrobeat Orchestra, Antibalas","February 5, 2021",https://open.spotify.com/album/0IfSRc7AvQMA15FzpIi7pG?si=HnbZME9cQcydJsLbwIgZYA&dl_branch=1,1,Pà Pá Pà,Femi Kuti,
2021-K,,,,tracks,,,,,,,,6,You Can't Fight Corruption with Corruption,Femi Kuti,
2021-K,16,,foxx-bodies.jpeg,tracks,Foxx Bodies,Vixen,Kill Rock Stars,"Get ready for some uncomfortable oversharing, set to the tune of early grunge, with an occasional jazz or doo-wop idiom thrown in… it’s a bit of uneasy listening but it gets its hooks into you.","L7, Bully, Fetchin Bones","November 5, 2021",https://open.spotify.com/album/2oLS5DjJhAosquOGNbuZpj?si=g6mKC6bqRTuRlhVyQrRsxA,1,Bad Kid,Foxx Bodies,
2021-K,,,,tracks,,,,,,,,2,Victim One,Foxx Bodies,
2021-K,,,,tracks,,,,,,,,4,BPD,Foxx Bodies,
