published,airdate,airtime,duration,episode,name,description,audio_file,bytes,explicit,block,image,caption,source
no,2008-09-09,22:00,02:00:00,,"Playlist for September 9, 2008",,,,no,no,,,wfit
no,2008-09-16,22:00,02:00:00,,"Playlist for September 16, 2008",,,,no,no,,,wfit
no,2008-09-23,22:00,02:00:00,,"Playlist for September 23, 2008",,,,no,no,,,wfit
no,2008-09-30,22:00,02:00:00,,"Playlist for September 30, 2008",,,,no,no,,,wfit
no,2008-10-07,22:00,02:00:00,,"Playlist for October 7, 2008",,,,no,no,,,wfit
no,2008-10-14,22:00,02:00:00,,"Playlist for October 14, 2008",,,,no,no,,,wfit
no,2008-10-21,22:00,02:00:00,,"Playlist for October 21, 2008",,,,no,no,,,wfit
no,2008-10-28,22:00,02:00:00,,"Playlist for October 28, 2008",,,,no,no,,,wfit
no,2008-11-04,22:00,02:00:00,,"Playlist for November 4, 2008",,,,no,no,,,wfit
no,2008-11-11,22:00,02:00:00,,"Playlist for November 11, 2008",,,,no,no,,,wfit
no,2008-11-18,22:00,02:00:00,,"Playlist for November 18, 2008",,,,no,no,,,wfit
no,2008-11-25,22:00,02:00:00,,"Playlist for November 25, 2008",,,,no,no,,,wfit
no,2008-12-02,22:00,02:00:00,,"Playlist for December 2, 2008",,,,no,no,,,wfit
no,2008-12-09,22:00,02:00:00,,"Playlist for December 9, 2008",,,,no,no,,,wfit
no,2008-12-16,22:00,02:00:00,,"Playlist for December 16, 2008",,,,no,no,,,wfit
no,2008-12-23,22:00,02:00:00,,"Playlist for December 23, 2008",,,,no,no,,,wfit
no,2008-12-30,22:00,02:00:00,,"Playlist for December 30, 2008",,,,no,no,,,wfit
no,2009-01-06,22:00,02:00:00,,"Playlist for January 6, 2009",,,,no,no,,,wfit
no,2009-01-13,22:00,02:00:00,,"Playlist for January 13, 2009",,,,no,no,,,wfit
no,2009-01-20,22:00,02:00:00,,"Playlist for January 20, 2009",,,,no,no,,,wfit
no,2009-01-27,22:00,02:00:00,,"Playlist for January 27, 2009",,,,no,no,,,wfit
no,2009-02-03,22:00,02:00:00,,"Playlist for February 3, 2009",,,,no,no,,,wfit
no,2009-02-10,22:00,02:00:00,,"Playlist for February 10, 2009",,,,no,no,,,wfit
no,2009-02-17,22:00,02:00:00,,"Playlist for February 17, 2009",,,,no,no,,,wfit
no,2009-02-24,22:00,02:00:00,,"Playlist for February 24, 2009",,,,no,no,,,wfit
no,2009-03-03,22:00,02:00:00,,"Playlist for March 3, 2009",,,,no,no,,,wfit
no,2009-03-10,22:00,02:00:00,,"Playlist for March 10, 2009",,,,no,no,,,wfit
no,2009-03-17,22:00,02:00:00,,"Playlist for March 17, 2009",,,,no,no,,,wfit
no,2009-03-24,22:00,02:00:00,,"Playlist for March 24, 2009",,,,no,no,,,wfit
no,2009-03-28,00:00,,0001,Quiver Of Grain,,,,no,no,,,podcast
no,2009-03-31,00:00,,0002,Que Onda Guero,,,,no,no,,,podcast
