sequence,song,artist,artist_slug,album,time,notes
1,"Lather, Rinse, Repeat",The Future Kings of Nowhere,future-kings-of-nowhere,,,Cowpunk Deluxe
2,Cactus Flower Rag,Harper Simon,harper-simon,,,The younger Simon
3,The Sheik of Araby,Top Shelf Jazz,top-shelf-jazz,,,Going out to Sir Richard Bishop
4,Whispering Light,Jesca Hoop,jesca-hoop,,,Spookyhippychyck
5,BREAK
6,A Sentimental Song,Cotton Candy,cotton-candy,,,Sure sound like Imperial Teen
7,Ghetto Afterthought,Wugazi,wugazi,,,Mash up the words
8,Dancin' Ricky,Drive-By Truckers,drive-by-truckers,,,"Atlanta, of course"
9,Tane Mahuta,The Ruby Suns,ruby-suns,,,Hawaiians should check out the IGA
10,BREAK
11,Time Bomb,The Dismemberment Plan,dismemberment-plan,,,Tickin’ away
12,Mas que Nada,Tamba Trio,tamba-trio,,,A Sergio Mendes classic
13,The Go In The Go-For-It,Grandaddy,grandaddy,,,"Zap me with those moogs, Jason"
14,I'm Ready,Charlie Chesterman and the Legendary Motorbikes,charlie-chesterman-legendary-motorbikes,,,The legend from Scruffy the Cat
15,BREAK
16,When I Turn Off The Living Room Lights,The Kinks,kinks,,,So romantic
17,Folks,Thao & Mirah,thao-mirah,,,The dames of strange
18,The Other Veronica,Casper Fandango And His Tiny Sick Tears,casper-fandango-his-tiny-sick-tears,,,Near-rhymes steal my heart
19,Everywhere & Allover,Lali Puna,lali-puna,,,"German, I think"
20,BREAK
21,The Lonely Doll,Cass McCombs,cass-mccombs,,,Lonesome at its lonesomest
