sequence,song,artist,artist_slug,album,time,notes
1,Fit But You Know It,The Streets,streets,,,Hate it when this happens
2,Come Home,Chappo,chappo,,3:27,From an iOs 5 fan concept video
3,Hiphopopotamus Vs. Rhymenocerous (Featuring Rhymenocerous And The Hiphopapoatumus),Flight of the Conchords,flight-of-conchords,,,The motherflippin’ Conchords
4,Wave of Mutilation,Pixies,pixies,,,Hard to believe I haven’t played this yet
5,All Night,The Countdown Quartet,countdown-quartet,,,Oh yeah
6,BREAK
7,Imaginary Tuba,The Bobs,bobs,,,A truly tragic tale
8,Coconut Boogaloo,"Medeski, Martin & Wood",medeski-martin-wood,,,Some truly stellar offbeats from Illy B
9,#9,Godzuki,godzuki,,,It’s digital
10,Well,Guster,guster,,,Nice fingerpicking
11,BREAK
12,I.C. Timer,Les Savy Fav,les-savy-fav,,,The robots demand dance music
13,Detention Girls,Sex Clark Five,sex-clark-five,,,For Lindsey and Kelly
14,Pencil Rain,They Might Be Giants,they-might-be-giants,,,Awaiting the first lead
15,"(What's So Funny 'Bout) Peace, Love And Understanding?",Elvis Costello & The Attractions,elvis-costello-attractions,,,Thank you Nick Lowe
16,Flat Duo Jets Anthem,Flat Duo Jets,flat-duo-jets,,,Only a few can have their own anthem
17,BREAK
18,Rings Around Rosa,Eugene McGuinness,eugene-mcguinness,,,The mysterious Mr. McGuinness
19,VIP,Jungle Brothers,jungle-brothers,,,The party is upstairs
20,Tamale Lady,Rube Waddell,rube-waddell,,,Yo tengo hambre
21,Full Throttle,The Wee Turtles,wee-turtles,,,Quite wee and twee
22,BREAK
23,Panic,The Puppini Sisters,puppini-sisters,,,"All the sisters, all the Smiths"
