sequence,song,artist,artist_slug,album,time,notes
1,Crown the Clown,Eugene McGuinness,eugene-mcguinness,,,Watch this boy
2,Sock Monkey,Sugarman Three,sugarman-three,,,Boogaloo with the S3
3,Olde Tyme Wayes,Elf Power,elf-power,,,So very twee
4,Tighten Up,The Black Keys,black-keys,,,"Oh, the miasma"
5,BREAK
6,Boing!,My Robot Friend,my-robot-friend,,,Onomatopaeic
7,Graverobber's Blues,Hillstomp,hillstomp,,,Best guitar and washboard duo since Mojo + Skid
8,Coffee God And Cigarettes,Mischief Brew,mischief-brew,,,Very Pogues-like
9,Sitting In A Pickle,Smack Dab,smack-dab,,,She’s got a short attention span
10,BREAK
11,Bomba au Go Go,Seks Bomba,seks-bomba,,,Nice Drive My Car reference
12,Cadillac Fantasy,Monotrona,monotrona,,,Proto chipning
13,The Clockwork Lighthouse,Pram,pram,,,Sounds quite like a clockwork lighthouse to me
14,Tanguedia (for Astor Piazzolla),Monks Of Doom,monks-of-doom,,,It’s a delicate tango
15,BREAK
16,40 Day Dream,Edward Sharpe + The Magnetic Zeros,edward-sharpe-magnetic-zeros,,,A sound as big as everything
17,Straighten Up And Fly Right,Lyle Lovett,lyle-lovett,,,"Smooth, Lyle"
18,Saudade,Chinese Man,chinese-man,,,Nice bass intro
19,BREAK
20,Brain Wormed,Q-Burn's Abstract Message,q-burn-s-abstract-message,,,It’s in my head now
