sequence,song,artist,artist_slug,album,time,notes
1,Gotta Go,Bronco Busters,bronco-busters,,,Ripping out of the gate
2,Easy,Real Estate,real-estate,,,Chiming its way to my heart
3,Baby You're Your Own TV,Family Of God,family-of-god,,3:20,Some Echo + the Bunnymen connection
4,Born To Love You,The Elected,elected,,,"Yay, new one!"
5,BREAK
6,Pour La Vie,Klément Julienne,klement-julienne,,,French lounging is the best
7,Opus,The Strange Boys,strange-boys,,,"Subtle, very"
8,Masturbation Session,Los Amigos Invisibles,los-amigos-invisibles,,,Yaow!
9,Banderilla,Calexico,calexico,,,More desert vistas
10,BREAK
11,Kibori,Mahala Rai Banda,mahala-rai-banda,,,Bang that hammered dulcimer
12,One Time Doomsday Trip,Zig Speck & His Specks,zig-speck-his-specks,,,Retrofuturistic psychedelia
13,My Aquarium,Drop Nineteens,drop-nineteens,,,Dating back to 1991
14,I'm The Man,Joe Jackson,joe-jackson,,,Who’s the man?
15,BREAK
16,The Mocker,Deadbolt,deadbolt,,,Don’t mess with the Mocker
17,Salton Sea,The Moore Brothers,moore-brothers,,,A psychedelic journey
18,Koleginica,Ringišpil,ringispil,,,"Jaunty Serbians, they"
19,BREAK
20,How Soon Is Now?,Mike Viola And The Section Quartet,mike-viola-section-quartet,,,Candy Butchering the Smiths
