sequence,song,artist,artist_slug,album,time,notes
1,Bicycle Kid,The Jazz Butcher,jazz-butcher,,,For new caller Michael!
2,I Will Dare,The Replacements,replacements,,,Shake yer mop to the Mats
3,Back Door,Treat Her Right,treat-her-right,,,You heard right
4,The Harder They Come,Joe Jackson,joe-jackson,,,More for Angela
5,BREAK
6,Never Go Back,Camper Van Beethoven,camper-van-beethoven,,,They did play at the Rat
7,Pop Music Of The Future,Say Hi To Your Mom,say-hi-to-your-mom,,,Swelling waves
8,Message To You Rudy,The Specials,specials,,,Stop your messing around
9,BREAK
10,Break Up Song,Jude,jude,,,For my cousin Alex
11,Agua de Beber,Astrud Gilberto + Antonio Carlos Jobim,astrud-gilberto-antonio-carlos-jobim,,,Smooth standard
12,Ngayishela Yavuma,Dilika,dilika,,,Because you can’t get enough South Africa
13,The Ballad Of Paul Yates,The Philistines Jr.,philistines-jr,,,With megaproducer Peter Katis
14,BREAK
15,It's Working,MGMT,mgmt,,,Yes it is.
16,Oversized Pin Cushion,C. Gibbs And The Cardia Bros.,c-gibbs-cardia-bros,,,I let the moon shine in
17,Rainy Day Sun,Spinal Tap,spinal-tap,,,Not the Kinks. Or the Beatles.
18,Go On,The Elected,elected,,,Dig my new ringtone
19,BREAK
20,Turning Japanese,Skankin' Pickle,skankin-pickle,,,All hail the skankin’ pickle lighter
