sequence,song,artist,artist_slug,album,time,notes
1,Goin' Out West,The Woolly Bushmen,woolly-bushmen,In Shambles,3:48,Highly recommended
2,El Chepe,Vulfpeck,vulfpeck,The Beautiful Game,4:48,Smooth velvet funk
3,Bring Your Love To Me,Chris Murray,chris-murray,The 4-Track Adventures of Venice Shoreline Chris,4:20,Copper ore or bust
4,BREAK
5,Heart Attack,The Asteroids Galaxy Tour,asteroids-galaxy-tour,,3:51,"Danish, get the free remix on their website"
6,Polymers Are Forever,Future Of The Left,future-of-left,,4:06,Is that the spirit of Servotron?
7,Strano Mondo (Stereo Total Rmx),Die Moulinettes,die-moulinettes,,3:24,"French, German, Italian, what have you"
8,Ubicate,Maneja Beto,maneja-beto,,4:00,From Austin!
9,BREAK
10,Crazy Energy Night,Pom Poko,pom-poko,Birthday,3:27,Very much the like
11,Shanty,Dumm-Dumms,dumm-dumms,,1:41,Truth in advertising
12,Dream Child,Øzwald,ozwald,Sweet Delirium,4:14,Quite magnetic
13,BREAK
14,Sunshine (Back To The Start),Anemone,anemone,Beat My Distance,5:31,Sunshine and light
15,A Place In The Sun,Telekinesis,telekinesis,Effluxion,2:20,Fuzzy fuzzy Apples
16,Who Am I,Toro Y Moi,toro-y-moi,Outer Peace,3:29,The subtle boogie
17,BREAK
18,The Art of Projection,Imperial Wax,imperial-wax,Gastwerk Saboteurs,4:06,Nonstop fury
19,Casanova Lament,Frank Turner,frank-turner,Campfire Punkrock,2:16,Lamentable
20,Se Todos Fossem Iguais a Você,Cris Delanno,cris-delanno,Grandes Canções: Clássicos de Tom Jobim,2:30,By Bossacucanova
21,Strobe Light Beatdown (Bonus Track),Monster Magnet,monster-magnet,Last Patrol,4:26,A menacing waltz
22,BREAK
23,Blue Flowers,Dr. Octagon,dr-octagon,Dr. Octagonecologyst,3:17,Your insurance is high
24,Ambulance,These Animal Men,these-animal-men,"(Come On, Join) The High Society",4:19,Too obscure by far
25,Bleep,Matt Surfin and Friends,matt-surfin-friends,Matt Surfin and Friends,3:19,So relaxing
26,BREAK
27,Little Talks,Of Monsters and Men,of-monsters-men,,4:24,Icelandic
28,Nothing in this World Can Stop Me Worrin' Bout that Girl,The Kinks,kinks,,2:43,Check out the Rushmore soundtrack
29,Dirt,Andre Williams,andre-williams,,3:13,From his new album
30,The Sleeping Knights of Jesus,Robyn Hitchcock,robyn-hitchcock,,4:00,The goofy Hitchcock kid again
31,BREAK
32,Learning About Love,The Bran Flakes,bran-flakes,Hey Won't Somebody Come and Play,2:26,Chopped up wisdom
33,My Girl Reggae,Black Reggae,black-reggae,"Afro Exotique - Adventures In The Leftfield, Africa 1972-82",3:04,Out of Africa
34,Rhythm is All You Can Dance - Album mix,Africaine 808,africaine-808,Basar,4:43,Let the pulse command you
35,BREAK
36,Enjoy Yourself,The Specials,specials,,3:38,Covered and recovered
