sequence,song,artist,artist_slug,album,time,notes
1,Nero (Worst Dressed),The Washdown,washdown,,,Gainesville’s fiercest
2,Local Fashion Junky,Asteroid No. 4,asteroid-no-4,,,Nouveau psychedelia
3,Miss Madison,Hands Down Eugene,hands-down-eugene,,,"From Athens, I believe"
4,The Great Society,Elf Power,elf-power,,,As envisioned
5,BREAK
6,Gangsta,Tune-Yards,tune-yards,,,Completely orthogonal
7,A Long Walk,Thomas Function,thomas-function,,,A complete howler
8,Tidal Wave,Thee Oh Sees,thee-oh-sees,,,Their new one is even noisier
9,Awesome Sound,Ween,ween,,,"Aw, hit me again. Hit me again."
10,BREAK
11,Poodleman,Optiganally Yours,optiganally-yours,,,Two bottles of jeri curl and a crimping iron
12,Hoppity Jones,Twink,twink,,,Don’t look him up online
13,"No pork, just beats (Featuring Laszlo Loco)",Monsieur LeRoc ,monsieur-leroc,,,It’s proNUNced Meh-syeu
14,"5 Months, 2 Weeks, 2 Days",Louis Prima,louis-prima,,,The original
15,BREAK
16,Rude Mood,Stevie Ray Vaughan + Double Trouble,stevie-ray-vaughan-double-trouble,,,Burning up the fretboard
17,Hey Joe,Willy DeVille,willy-deville,,,In a Latin wave
18,Check It On Out,The Mondo Crescendo,mondo-crescendo,,,"Adorable, it is"
19,Comikbuchland,The Negro Problem,negro-problem,,,Still one of the best band names ever
20,BREAK
21,Esta Vez,Sara Valenzuela,sara-valenzuela,,,Jingling off!
