sequence,song,artist,album,time,notes
1,Take Stuff From Work,King Missile,,,Sage advice for the bottom fifty
2,Drool At You,Chris & Tad,,,Seattle’s finest
3,IGA Giant Pineapple Party,The Evolution Control Committee,,,I’ll call the radio station
4,Lie for a Lie,Built To Spill,,,From their earliest
5,BREAK
6,Who Is On Your Side,The Ditty Mu,,,The Irish mysteries of lactation...
7,Busted,Andre Williams & The Sadies,,,"Damn, that’s sad"
8,Surprise Truck,Camper Van Beethoven,,,It’s what comes after Jerry’s Daughter
9,Follow My Riddim,The Maxwell Implosion,,,Snakey ways
10,BREAK
11,Baby Don't You Cry,Fergus & Geronimo,,,"Some Denton, TX magic"
12,Guaglione,Perez Prado,,,Didja shimmy?
13,Amor,Los Amigos Invisibles,,,El disco fantastico
14,Sixteen Shades Of Black & Blue,Fujiya And Miyagi,,,That’s 4 bits’ worth
15,BREAK
16,Relentless Machines,Thomas Function,,,Relentlesnessome
17,Window To The Works,Sex Clark Five,,,Uncanny Alabamians
18,Last Salmon Man,Primus,,,From their new one
19,Hives,Those Darlins,,,Adorable
20,BREAK
21,Freefallin',The Bobs,,,Lots of love for the Petty and the Bobs
