sequence,song,artist,album,time,notes
1,Desert Urbania,Unexpect,,,From the burgeoning Canadian art metal genre
2,Sensory Amusia,Behold...The Arctopus,,,"Through-composed stick, guitar, and drums power trio"
3,En Schizofrens Dagbok,Mats/Morgan Band,,,"Swedish, ya"
4,BREAK
5,Helpless Corpses Enactment,Sleepytime Gorilla Museum,,,"Now defunct performance art band from Oakland, fronted by Nils Frykdahl"
6,Upptäckten Av Ancient Alien Obviation Ruler Kit,Dr. Zoltan Øbelisk,,,"Finally, his final CD"
7,Woke Up Dreaming You,Marco Minnemann,,,A double disc
8,BREAK
9,Pig,Mike Keneally / Steve Vai,,,Mike Keneally out-heavies Vai and Townsend
10,Brian On The Brain,Dale Turner,,,"Opening a capella track from his debut CD, on which he played ALL of the instruments"
11,The Owl In Daylight,Secret Chiefs 3,,,From Trey Spruance of Mr. Bungle - On Tour Now
12,BREAK
13,Looney Tune - Piano Solo,Electrocution 250,,,"Swedish virtuoso pianist, Lalle Larsson"
14,Grief,Rejectionary Art,,,"New band from Los Angeles -- Lee Wanner & Paula Stefanini, upcoming debut CD"
15,Ants,Devin Townsend,,,How many vocal tracks does one song need? All of them.
16,BREAK
17,The Nag,John Scofield,,,Featuring Dennis Chambers on Drums
