sequence,song,artist,album,time,notes
1,Gotta Go,Bronco Busters,,,Ripping out of the gate
2,Easy,Real Estate,,,Chiming its way to my heart
3,Baby You're Your Own TV,Family Of God,,3:20,Some Echo + the Bunnymen connection
4,Born To Love You,The Elected,,,"Yay, new one!"
5,BREAK
6,Pour La Vie,Klément Julienne,,,French lounging is the best
7,Opus,The Strange Boys,,,"Subtle, very"
8,Masturbation Session,Los Amigos Invisibles,,,Yaow!
9,Banderilla,Calexico,,,More desert vistas
10,BREAK
11,Kibori,Mahala Rai Banda,,,Bang that hammered dulcimer
12,One Time Doomsday Trip,Zig Speck & His Specks,,,Retrofuturistic psychedelia
13,My Aquarium,Drop Nineteens,,,Dating back to 1991
14,I'm The Man,Joe Jackson,,,Who’s the man?
15,BREAK
16,The Mocker,Deadbolt,,,Don’t mess with the Mocker
17,Salton Sea,The Moore Brothers,,,A psychedelic journey
18,Koleginica,Ringišpil,,,"Jaunty Serbians, they"
19,BREAK
20,How Soon Is Now?,Mike Viola And The Section Quartet,,,Candy Butchering the Smiths
