sequence,song,artist,artist_slug,album,time,notes
1,Pickin' The Chicken,Speedy West + Jimmy Bryant,speedy-west-jimmy-bryant,,,You don’t hear much pickin’ like that these days
2,Are You Waiting For Me?,The Hoosegow,hoosegow,,,Queen Esther rules the kingdom
3,High Society,Enon,enon,,,Did you feel that?
4,Swamp Thing,The Chameleons UK,chameleons-uk,,,Gothic!
5,BREAK
6,Everybody's Gonna Be Happy,The Kinks,kinks,,,Not online! Horrible
7,"Lay Down Your Head, Child",Oranger,oranger,,,One of my favorite albums of 2000
8,Very Rare,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,,,I could loop it all night long
9,BREAK
10,Lucas With The Lid Off,Lucas,lucas,,,Not French -- Danish!
11,You're Gonna Save Me,The Nicoteens,nicoteens,,,Greetings to the Reinels and Burleys
12,Reason To Believe,The Beat Farmers,beat-farmers,,,"Hey, it starts just like “La Grange”"
13,B for Boredoms,Boredoms,boredoms,,,Is there anything they can’t do?
14,BREAK
15,Move Over,Janis Joplin,janis-joplin,,,The voice that broke the mold
16,Fever For You,Michael Holland,michael-holland,,From Jennyanykind,Vocalist for Jennyanykind
17,Secret Journey,The Police,police,,,From Ghost In The Machine
18,I Got You,Split Enz,split-enz,,,First video I ever saw
19,BREAK
20,Final Countdown,Laibach,laibach,,,Relentless and Teutonic
