sequence,song,artist,artist_slug,album,time,notes
1,Revu Rockers,Nortec Collective,nortec-collective,,,More on its way
2,I'm Amazed,Pixies,pixies,,,The Purple Tape version
3,T-Rexia Nervosa,The Awkward Stage ,awkward-stage,,,Waxing lyrical
4,Ian Is Going to NZ,Bugs Eat Books,bugs-eat-books,,,Very enthusiastic
5,BREAK
6,Hypnotized,Buraka Som Sistema,buraka-som-sistema,,,Disaster breakdown ending!
7,"Hark, an Open Channel!",Lilys,lilys,,,Heavy on the psych tonight
8,A Fistful of Deutschmarks,Shazalakazoo,shazalakazoo,,,"Very frantic, no?"
9,Mambo Rock,The John Buzon Trio,john-buzon-trio,,,Lounge about with a classic
10,BREAK
11,D.R.I.N.K.,The Jazz Butcher,jazz-butcher,,,A live rendition
12,Tied,Tribe,tribe,,,Carole has the cassette tape!
13,Black Smoke Rise,Wooden Shjips,wooden-shjips,,,Hang on fuzz
14,Lucky Eye,Flat Duo Jets,flat-duo-jets,,,Their swan song
15,BREAK
16,Kit Kat Clock,The Bottle Rockets,bottle-rockets,,,Tick tick tocking
17,In The Dark,Robinella And The CCstringband,robinella-ccstringband,,,So so smoky
18,Karmakaze,That Handsome Devil,that-handsome-devil,,,They sound mocking by default
19,BREAK
20,Remember Me,Blue Boy,blue-boy,,,From a Mushroom Jazz compilation
