sequence,song,artist,artist_slug,album,time,notes
1,A Spoonful Weighs A Ton,Mastodon,mastodon,,3:25,A scifi oddyssey on a woolly elephant
2,BREAK
3,Dance This Mess Around,Asylum Street Spankers,asylum-street-spankers,,4:37,Born to wheeze
4,Just One Of Those Things [Brazilian Girls Remix],Blossom Dearie,blossom-dearie,,4:49,Squirrely bass runs
5,Dinner Bell,The Bobs,bobs,,2:02,Ding
6,Breathless (Single Mix),X,x,,2:21,Catch up with breathing
7,BREAK
8,Everybody's Talking,Bongwater,bongwater,,3:17,Dream journals
9,People Are Strange,Brave Combo,brave-combo,,1:36,Didn't know it was in there
10,By the Way,Cagney & Lacee,cagney-lacee,,2:33,aka Dean and Britta
11,Penguin / Powerhouse,The Coctails,coctails,,3:31,Father of Weird Music
12,BREAK
13,Enjoy Yourself,The Specials,specials,,3:38,It's later than you think
14,Monkey Man,Zed Bias Feat. Trigga and Trevor Roots,zed-bias-feat-trigga-trevor-roots,,5:26,Ay ay ay
15,You Are What You Is,Persuasions,persuasions,,4:14,Got Zappa?
16,BREAK
17,Hey Ya,Shawn Lee's Ping Pong Orchestra,shawn-lee-s-ping-pong-orchestra,,4:29,Some Ramsey Lewis funnage
18,Second Hand News,Mates Of State,mates-of-state,,3:11,Mac attack
19,She's My Best Friend,The Wedding Present,wedding-present,,2:50,Subtle
20,What Goes On,Bettie Serveert,bettie-serveert,,3:59,Double VU
21,BREAK
22,Gigantic,Allison With One,allison-with-one,,4:31,Synthetic edition
23,Alec Eiffel,April March,april-march,,2:27,Double Pixies shot
24,Doctor My Eyes,Ben Folds,ben-folds,,3:11,Jackson Browne!
25,Alakazam,Boom Pam,boom-pam,,3:57,"The astute will recognize ""Abracadabra"""
26,BREAK
27,Pictures Of Matchstick Men,Camper Van Beethoven,camper-van-beethoven,,4:10,The endless loop of neon colors
28,Mahalla,Carolina Chocolate Drops,carolina-chocolate-drops,,1:56,Spoonman
29,Tiger Rag,The Countdown Quartet,countdown-quartet,,5:08,Hold that tiger!
30,BREAK
31,Buena,Keller Williams,keller-williams,,3:56,Bold choice
32,"Sing, Sing, Sing",Los Straitjackets,los-straitjackets,,3:22,Also Flat Duo Jets
33,Buddy Holly,The Moog Cookbook,moog-cookbook,,4:14,Boopdee boop
34,Sway,The Puppini Sisters,puppini-sisters,,3:10,You have the magic technique
35,BREAK
36,Mr. Spaceman feat. Dave Davies,William Shatner,william-shatner,,2:14,So appropriate
37,The Piano Has Been Drinkin' (Not Me),Dan Hicks,dan-hicks,,3:30,Waitsing around
38,Jockey Full Of Bourbon,The Blue Hawaiians,blue-hawaiians,,4:41,Tired of waiting?
39,BREAK
40,I Feel Love,Montefiori Cocktail,montefiori-cocktail,,5:47,"When you feel it, you know it"
