sequence,song,artist,artist_slug,album,time,notes
1,I'll Go Down Swinging (featuring Exene Cervenka),Los Straitjackets,los-straitjackets,,2:13,There's no other way
2,BREAK
3,Friends Of P,The Rentals,rentals,Return Of The Rentals,3:32,With Petra Haden!
4,Magnitude,Hot Hot Heat,hot-hot-heat,Hot Hot Heat,5:03,So yesteryear twice over
5,Rosanna (Acoustic),The Fratellis,fratellis,"Eyes Wide, Tongue Tied",4:09,So Scottish
6,BREAK
7,Afterparty,The Hidden Cameras,hidden-cameras,Age,6:12,Dub hammer
8,Block Rockin' Beats,The Chemical Brothers,chemical-brothers,The Fatboy Slim Collection,3:24,Dub sickle
9,Tied Up,Rival Sons,rival-sons,Hollow Bones,3:27,Bring the octaves
10,BREAK
11,Ohmerica,The Claypool Lennon Delirium,claypool-lennon-delirium,Monolith of Phobos,5:09,Channeling Eels
12,O Nome Dela,Arto Lindsay,arto-lindsay,Prize,3:43,Subtleness
13,Postal Blowfish,Guided By Voices,guided-by-voices,Brain Candy - Music From The Motion Picture,2:16,Extended play
14,BREAK
15,Everybody Ready,Action Figure Party,action-figure-party,Action Figure Party,5:16,Party is right
16,I Burn For You,The Police,police,Brimstone & Treacle [Orignal Soundtrack Album],4:52,"Bad cinema, good soundtrack"
17,Beautiful Blue Sky,Ought,ought,Sun Coming Down,7:44,Much like The Fall
18,BREAK
19,Baby,The Babies,babies,Our House on the Hill,2:54,Not pulling any punches
20,Baby's Got Sauce,G. Love & Special Sauce,g-love-special-sauce,,3:54,What baby got?
21,Baby Got Back,Sir Mix-A-Lot,sir-mix-a-lot,,4:21,Back.
22,BREAK
23,Combat Baby,Metric,metric,,3:30,Laggy vocals are the best
24,Baby,Os Mutantes,os-mutantes,,3:38,Maybe my favorite baby
25,Baby's Way Cruel,Guv'ner,guv-ner,,3:00,Way cruel
26,Baby You're Your Own TV,Family Of God,family-of-god,,3:20,For all babies
27,BREAK
28,Baby,Imperial Teen,imperial-teen,,2:44,8 of 16
29,Baby's Insane,Diamanda Galas with John Paul Jones,diamanda-galas-with-john-paul-jones,,4:39,The war has begun
30,Chuma Finds A Baby,Charming Turtlenecks,charming-turtlenecks,,2:26,Chuma must be a llama
31,Cry Baby,Janis Joplin,janis-joplin,Pearl,3:58,Nobody howls like Janis
32,BREAK
33,Cool Baby Slut,The Flamenco A Go Go,flamenco-a-go-go,,2:38,Nananana
34,Baby Bitch,Jon Auer,jon-auer,,3:29,Clinky clink
35,The Baby That Was You,MC Honky,mc-honky,,3:44,Get to the point
36,Baby,Flat Duo Jets,flat-duo-jets,,2:48,Drenched in verb
37,BREAK
38,Baby's On Fire,Brian Eno,brian-eno,,5:20,Like a heifer to the slaughter
