sequence,song,artist,artist_slug,album,time,notes
1,Stop Your Sobbing,The Pretenders,pretenders,Pretenders,2:39,Can you hear the Davies?
2,BREAK
3,Boomerang Baby,The Claypool Lennon Delirium,claypool-lennon-delirium,Monolith of Phobos,5:48,Preview for BOOM later on
4,Peek-A-Boo,Siouxsie + The Banshees,siouxsie-banshees,,3:10,The gothest accordion
5,I See You Baby (Fatboy Slim Radio Edit) (feat. Gram'ma Funk),Groove Armada,groove-armada,The Fatboy Slim Collection,4:02,Shaking what?
6,Family Functions,that dog.,that-dog,that dog.,2:22,For all lonely librarians
7,BREAK
8,Brilliant Boy,The Rentals,rentals,Return Of The Rentals,4:16,Can you feel the Weezer?
9,Bedbug Town,Quasi,quasi,Mole City,3:24,<clink>
10,Master Manipulator,Bourbon Princess,bourbon-princess,,4:05,Dark stuff
11,Up On The Hill,Ween,ween,GodWeenSatan: The Oneness (25th Anniversary Edition),1:56,Boognish was rising
12,BREAK
13,The Wind Cries Mary,Jimi Hendrix,jimi-hendrix,,3:21,One of my favorites
14,Anything You Say,The Vines,vines,Wicked Nature - Disc One,1:43,Power pop stuff
15,My Street,The Oranges Band,oranges-band,All Around,2:52,Such a voice
16,Subbacultcha,Pixies,pixies,The Purple Tape,3:05,At their weirdest
17,BREAK
18,Bobby Joan Sex Tape,Hot Hot Heat,hot-hot-heat,,3:17,Double retro time
19,London Calling,The Clash,clash,London Calling: 25th Anniversary Edition,3:20,Get all riled up
20,I'm Done,The Julie Ruin,julie-ruin,Uncut The Goldrush,3:08,Punk out new wave style
21,Skhanddraviza,Ruins,ruins,Tzomborgha,3:58,
22,BREAK
23,Boom Boom,Trio,trio,,3:25,A fine german tradition
24,Boom Shack-a-Lack,Apache Indian,apache-indian,,4:31,From Dumb + Dumber
25,Badaboom,Tapes 'N Tapes,tapes-n-tapes,,3:56,Off kilter
26,BREAK
27,Tick Tick Boom,The Hives,hives,Archive BM,3:39,Swedish mayhem
28,Shaboom They Said,From Bubblegum to Sky,from-bubblegum-to-sky,,2:52,"Elephant Six, right?"
29,Boom Boom Room,Here Come The Mummies,here-come-mummies,Archive DO,3:54,Fundead
30,This Is My Boomstick,Project Wirehead,project-wirehead,,3:50,For Evil Dead fans
31,BREAK
32,Boombox,Mosquitos,mosquitos,,2:20,Tropical sensation
33,Baba Boom,Jamaicans,jamaicans,,3:20,Island sounds
34,Chick-A-Boom,Trespassers W,trespassers-w,,4:06,Find a position which the back wouldn't hurt so bad
35,BREAK
36,Fatty Boom Boom!,Westbound Train,westbound-train,,3:45,Where's my fatty fatty boom boom?
37,Boom Pam,Boom Pam,boom-pam,,4:55,Eponymous
38,Boom,Lo-Fi-Fnk,lo-fi-fnk,,3:43,DISKO BOOM
39,Boing Boom Tschak,Kraftwerk,kraftwerk,Full House,2:57,More German onomatopaeia
40,BREAK
41,B'Boom,King Crimson,king-crimson,Archive BH,4:11,So complicated
