sequence,song,artist,artist_slug,album,time,notes
1,Dumbness,Cherry,cherry,Dumbness,1:58,
2,Cat's Not a Cake,Mo Kenney,mo-kenney,The Details,0:35,
3,Day 22,Fink,fink,Resurgam,5:09,
4,Everyone But You,The Front Bottoms,front-bottoms,Going Grey,3:30,
5,BREAK
6,Bloodhound Rock,JD McPherson,jd-mcpherson,Undivided Heart & Soul,4:21,
7,Shame And Scandal,Skanga,skanga,,3:35,
8,Hard Act To Follow,Split Enz,split-enz,Waiata,3:17,
9,Focused,Bully,bully,Losing,4:30,
10,BREAK
11,Sugar Boy,St. Vincent,st-vincent,Masseduction,4:02,
12,Interlude with Les Hommes,Les Hommes,les-hommes,,3:14,
13,Wood,Rostam,rostam,Half-Light,5:42,
14,Can't Bear To Be Boring,Holiday Ghosts,holiday-ghosts,Holiday Ghosts,2:33,
15,BREAK
16,Beat Down,Mister Heavenly,mister-heavenly,Boxing The Moonlight,3:15,
17,Lonesome Eyes,Terra Lightfoot,terra-lightfoot,New Mistakes,4:12,
18,Dear Life,Beck,beck,Colors,3:44,
19,BREAK
20,IDK About You,Fever Ray,fever-ray,Plunge,3:41,
21,Girlfriend,*Repeat Repeat,repeat-repeat,Floral Canyon,2:42,
22,Hurricanes,The Zephyr Bones,zephyr-bones,Secret Place,2:25,
23,Past Away,The Bronx,bronx,(V),2:54,
24,BREAK
25,Good Not Great,The Domestics,domestics,Little Darkness,3:11,
26,Mushroom Chair,We Wrote The Book on Connectors,we-wrote-book-on-connectors,Almost The Mayors Of Lasers,3:32,
27,A Rose For Emily,The Zombies,zombies,Odessey And Oracle: 50th Anniversary Edition,2:19,
28,The May Queen,Robert Plant,robert-plant,Carry Fire,4:14,
29,BREAK
30,In Light of No One,Dappled Cities,dappled-cities,IIIII,4:34,
31,Over Everything,Courtney Barnett & Kurt Vile,courtney-barnett-kurt-vile,Lotta Sea Lice,6:20,
32,Drained Lake,METZ,metz,Strange Peace,3:05,
33,Used To Be Good Friends,Eyedress,eyedress,Manila Ice,5:56,
34,BREAK
35,They Took The Waves,Escape-ism,escape-ism,Introduction to Escape-Ism,4:05,
36,Space & Time,Wolf Alice,wolf-alice,Visions Of A Life,2:27,
37,Eastern Standard Time,Don Drummond,don-drummond,The Reggae Box (Disc 1),3:14,
38,BREAK
39,Rango II,Vulfpeck,vulfpeck,Thrill of the Arts,4:12,
40,That Old Black Magic,"Keely Smith, Louis Prima",keely-smith-louis-prima,Ultra-Lounge: Vegas Baby!,2:54,
41,Vienna,Makthaverskan,makthaverskan,III,3:23,
42,My Invisible Friend,Twang Bang,twang-bang,Kicking the Toybox,2:09,
43,???,Ani DiFranco,ani-difranco,Binary,3:54,
44,Analysis Paralysis,Jen Cloher,jen-cloher,Jen Cloher,7:47,
45,Fame,David Bowie,david-bowie,Young Americans [2016 Reissue],4:21,
46,Fat Lenny,Ween,ween,GodWeenSatan: The Oneness (25th Anniversary Edition),1:56,
47,Laid Back and Practical,Swarming Branch,swarming-branch,Surreal Number,3:47,
48,BREAK
49,Hanging On The Telephone,The Nerves,nerves,Los Angeles Post-Punk (Volume 4),2:05,
50,"Pow (Theme From ""What's Up, Tiger Lily?"")",The Lovin' Spoonful,lovin-spoonful,"What's Up, Tiger Lily? + You're A Big Boy Now",2:26,
51,Not Alright,The Pack A.D.,pack-a-d,Dollhouse,3:00,
52,Spider,Ani DiFranco,ani-difranco,Binary,3:54,
53,BREAK
54,Municipal,Mexican Institute Of Sound + Toy Selectah,mexican-institute-of-sound-toy-selectah,Compass,3:36,
55,Tattoo of My Face,Phono Pony,phono-pony,Death by Blowfish EP,3:13,
56,There Goes My Gun,Pixies,pixies,Doolittle (MFSL),1:50,
57,BREAK
58,War Ina Babylon,"Lee ""Scratch"" Perry",lee-scratch-perry,Super Ape Returns To Conquer,5:19,
