sequence,song,artist,artist_slug,album,time,notes
1,Wow,Beck,beck,Colors,3:42,Like wow
2,Metal Baby,Benjamin Gibbard,benjamin-gibbard,Bandwagonesque,3:10,So very Teenage Fanclub fan club
3,Bluebird,Langhorne Slim,langhorne-slim,"Lost At Last, Vol. 1",1:55,Real old time
4,BREAK
5,Beechwood Park,The Zombies,zombies,Odessey And Oracle: 50th Anniversary Edition,2:43,"Timeless, ageless"
6,The Decline of Nations,La Louma,la-louma,Let The World Be Flooded Out,3:27,Hymn for the skeptics
7,Melting,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flying Microtonal Banana,5:27,Snakecharming
8,I Don't Wanna Fall In Love,Saint Tropez,saint-tropez,St. Tropez,1:49,New old stuff
9,BREAK
10,Elephant Walk,Lettuce,lettuce,Mt. Crushmore,3:04,Funky green stuff
11,Dump The Guy Asap,Lisa LeBlanc,lisa-leblanc,"Why You Wanna Leave, Runaway Queen?",3:26,Plinketty plunk
12,I Wanna Be Your Dog,decker.,decker,Into The Red,4:13,Everybody wants to be a dog
13,Will You Please Be Quiet Please?,The Districts,districts,Popular Manipulations,3:14,Go tell your mother
14,BREAK
15,June 3rd,Mo Kenney,mo-kenney,The Details,2:08,Clearly an important date
16,Summertime In Your Lounge,Kane Strang,kane-strang,Two Hearts And No Brain,2:42,Almost like Marmoset
17,Squealer Two,Ty Segall,ty-segall,Emotional Mugger,3:24,With T Rex vapors
18,The State I Am In,Belle and Sebastian,belle-sebastian,The BBC Sessions,4:42,Scottish melancholy
19,BREAK
20,Paranoia,Holiday Ghosts,holiday-ghosts,Holiday Ghosts,2:49,Gimme that yellin’
21,Against The 70's,Mike Watt,mike-watt,Ball-Hog Or Tugboat?,3:28,The kids of today
22,Pockets Full Of No,Coast Modern,coast-modern,Coast Modern,3:24,Bouncy AF
23,BREAK
24,Your Type,Alvvays,alvvays,Antisocialites,2:04,Frantic
25,Stars Over Dakota,Terra Lightfoot,terra-lightfoot,New Mistakes,3:12,Loving that voice
26,We Got The Gun,Clint Mansell,clint-mansell,,4:52,Superb
27,On The Lips,JD McPherson,jd-mcpherson,Undivided Heart & Soul,3:41,Hard to believe
28,BREAK
29,Time To Cry,Whitney Rose,whitney-rose,Rule 62,3:58,Nice twang
30,Luv Like A Freak,Evolfo,evolfo,Last Of The Acid Cowboys,2:15,Dig that wandering bass
31,Der Letzte Spieltag (Erobique Rmx),Die Moulinettes,die-moulinettes,,6:08,Sauntering music
32,Hungry Ghost,Hurray For The Riff Raff,hurray-for-riff-raff,The Navigator,3:26,Funeral pyre
33,BREAK
34,Ei Indio,Los De Abajo,los-de-abajo,Cybertropic Chilango Power,3:49,Sly rhythms
35,Told You I'd Be With The Guys,Cherry Glazerr,cherry-glazerr,Apocalipstick,4:35,Know how to party
36,Touch Me I'm Sick,Mudhoney,mudhoney,Kurt Cobain About A Son,2:30,March to fuzz
37,College Student,The Scofflaws,scofflaws,Record of Convictions,2:57,Welcome back students!
38,BREAK
39,Fantastic Cat,Takako Minekawa,takako-minekawa,,3:57,Time for a catshot
40,Pinstriped Rebel,Comet Gain,comet-gain,,3:32,Gimme the deesko punk
41,Ladies Don't Play Guitar,Tennis,tennis,Archive CU,3:44,Front rangers
42,BREAK
43,Kills To Be Resistant,Bully,bully,Losing,3:25,Don’t mess with the Bully
44,The Stars Get In The Way,Escape-ism,escape-ism,Introduction to Escape-Ism,3:25,It’s all about inconsistent destiny
45,Minor Waltz,Asylum Street Spankers,asylum-street-spankers,My Favorite Record,2:34,Wailing on the saw
46,Slowpoke,Pee Wee King,pee-wee-king,Pee Wee King's Country Hoedown,2:57,"Eight o’clock, nine o’clock, quarter to ten"
47,BREAK
48,The Seeker,Dexter Romweber,dexter-romweber,,2:11,The Who as porch music
49,Dollhouse,The Pack A.D.,pack-a-d,Dollhouse,3:34,Vancouver gold
50,Fever [Adam Freeland Remix],Sarah Vaughan,sarah-vaughan,Verve Remixed 3,4:38,Update
51,Saint Catherine Creek,matt pond PA,matt-pond-pa,Still Summer,2:02,Storytime
52,BREAK
53,Pineapple Tuesday,The Jazz Butcher,jazz-butcher,,5:18,It’s a conspiracy
54,Tiny Fortunes,Deer Tick,deer-tick,Deer Tick Vol. 2,2:34,From the happy volume
55,No Baguettes In The Ghetto,Habiluim,habiluim,Shtetl Superstars,2:55,None to be found
56,BREAK
57,Resurgam,Fink,fink,Resurgam,8:34,Take us out
