sequence,song,artist,artist_slug,album,time,notes
1,Web In Front,Archers Of Loaf,archers-of-loaf,,2:07,Not the Pavement
2,Sail On!,Sharon Jones & The Dap-Kings,sharon-jones-dap-kings,Soul of a Woman,3:00,Shake it thoroughly
3,Peligro,Mano Negra,mano-negra,,2:54,¡Cuidado!
4,BREAK
5,Feels Like Heaven,Ariel Pink,ariel-pink,Dedicated to Bobby Jameson,3:16,Retrodreaming
6,Walking In The Dark,Escape-ism,escape-ism,Introduction to Escape-Ism,4:15,"Not just dark, also stormy"
7,Friction,Shame,shame,Songs of Praise,4:32,Psychedelian Australians
8,Just Wanna Love You,La Louma,la-louma,Let The World Be Flooded Out,5:06,Desperation
9,BREAK
10,It Hurts Your Daddy Bad,Reverend Horton Heat,reverend-horton-heat,Spend a Night In the Box,4:04,Anthem of parental anguish
11,Can't Turn Back,Spice Boys,spice-boys,Glade,3:33,Hot Swedish fuzz
12,Haitian Frustration (Remix),The Toasters,toasters,,3:49,Coming soon to the Mesa
13,BREAK
14,Sore Throat,The Bronx,bronx,(V),2:33,"From screaming along, I believe"
15,Paradan,808 State,808-state,,5:02,Darth Vader acting up at the disco
16,Ever Fallen in Love (With Someone You Shouldn't've) [Live],Walt Wagner,walt-wagner,Reworks,3:04,Pounding ivories
17,Guiding Star,Benjamin Gibbard,benjamin-gibbard,Bandwagonesque,2:52,Ambitious
18,BREAK
19,Doppio Macchiato,Mr. Lif & Brass Menazeri,mr-lif-brass-menazeri,Resilient,4:08,Caffeinating
20,Bad Feeling,Dappled Cities,dappled-cities,IIIII,4:17,Hooks aplenty
21,Say Something Loving,The XX,xx,I See You,3:58,Warbling away
22,Everybody Passes Me By,Pepe Deluxe,pepe-deluxe,,4:01,Chopped and screwed blues
23,BREAK
24,Pillow,Capitol K,capitol-k,,3:12,Icepillow
25,Mr. Nothing Gets Worse,Deer Tick,deer-tick,Deer Tick Vol. 2,4:32,Reckless Petty
26,Dead Puppies,James Kochalka Superstar,james-kochalka-superstar,Dr. Demento Covered in Punk (Disc 1),4:35,So apropos
27,BREAK
28,The Museum Of Fog,The Clientele,clientele,Music For The Age Of Miracles,4:12,Storytime
29,Ocean Man,Ween,ween,,2:07,One of their catchiest
30,Elements,Lemon Jelly,lemon-jelly,,8:42,zoning
31,BREAK
32,Blame It on Cain,Elvis Costello,elvis-costello,,2:54,Government burglars
33,Still That Way,Gogol Bordello,gogol-bordello,Seekers And Finders,3:15,Wave those beer mugs
34,Cut Me Down,The Accidentals,accidentals,Odyssey,3:51,It’s a slippery thing
35,BREAK
36,Boundaryless,Cherry,cherry,Dumbness,5:22,Plodding thuds
37,Viva La Raza,Latin Playboys,latin-playboys,,2:48,Hispanic fragments
38,"When The World Is Running Down, You Make The Best Of What's Still Around",The Police,police,Zenyattà Mondatta,3:38,The static cuts my ears
39,Bobby Brown,Chandler Travis Philharmonic,chandler-travis-philharmonic,Waving Kissyhead Vol. 2 & 1,3:22,Not the Zappa Bobby Brown
40,BREAK
41,Thomas Hardy,The Pack A.D.,pack-a-d,Dollhouse,3:53,The silent actor
42,Wired Nights,Sunset Valley,sunset-valley,Icepond,2:24,Kill your circadian
43,I Fall to Pieces,Cyndi Lauper,cyndi-lauper,Detour,3:01,Nice take
44,BREAK
45,1982,Liima,liima,1982,4:18,Drama!
46,The Millionaire's Holiday,Combustible Edison,combustible-edison,,2:15,Another mimosa
47,All I C Is U & Me,Death From Above 1979,death-from-above-1979,Outrage! Is Now,3:01,Rockin’ to midnite
48,Dejala Rodar,Diamante Eléctrico,diamante-electrico,Diamante Eléctrico,3:24,Rolling shuffle
49,BREAK
50,Paranoia,Holiday Ghosts,holiday-ghosts,Holiday Ghosts,2:49,Like the Strange Boys
51,Fe Fi Fo Fum,Frenchy And The Punk,frenchy-punk,Bonjour Batfrog,3:40,Some of that punk grass
52,Cotton Pickin',Speedy West + Jimmy Bryant,speedy-west-jimmy-bryant,,2:29,Makes me woozy
53,The Ramble,Julian Lage,julian-lage,Modern Lore,3:56,Quite slinky
54,BREAK
55,Droge CX 9,Manfred Hubler & Siegfried Schwab,manfred-hubler-siegfried-schwab,,5:12,Mmmmm…. Swingin’ jazz
