sequence,song,artist,artist_slug,album,time,notes
1,Zsazsur's Real Estate Song,Swarming Branch,swarming-branch,Surreal Number,3:26,Weirdo funk
2,Bad Habits,J. Roddy Walston & The Business,j-roddy-walston-business,Destroyers Of The Soft Life,3:41,Not about a nun gang
3,Son De Tambor Y San Juan,Un Dos Tres Y Fuera,un-dos-tres-y-fuera,Venezuela 70 (Cosmic Visions Of A Latin American Earth: Venezuelan Experimental Rock In The 1970s),2:05,Venezuelan experimental rock
4,BREAK
5,Telephone Man,Quintron & Miss Pussycat,quintron-miss-pussycat,Dr. Demento Covered in Punk (Disc 2),2:35,I WANT PUPPETS
6,Shrinking Violets,The Pica Beats,pica-beats,,3:38,Very small
7,Ride On / Oshiya Dub,Grand Analog,grand-analog,Survival EP,5:18,Beats beats beats
8,Composite,Palm,palm,Rock Island,4:14,Even higher llamas
9,BREAK
10,It's A Whale,Deer Tick,deer-tick,Deer Tick Vol. 2,2:27,Big sound
11,Tick,Ween,ween,GodWeenSatan: The Oneness (25th Anniversary Edition),1:53,tickticktick
12,Jackson Cannery,Ben Folds Five,ben-folds-five,,3:24,The piano racket
13,Black Coffee In Bed,Squeeze,squeeze,,6:11,All of it
14,BREAK
15,I Follow Your Spark,Marvelous Liars,marvelous-liars,Marvelous Liars,3:30,Try to keep up
16,Maybe I Am,Mo Kenney,mo-kenney,The Details,2:49,A bit Sundays
17,Who Are Ya,Wolf Parade,wolf-parade,Cry Cry Cry,3:44,You know who you are
18,Thanks For Listening,Chris Thile,chris-thile,Thanks for Listening,4:19,15 of 15
19,BREAK
20,I'm Getting Skinny,Mayor McCa,mayor-mcca,Me Is He,1:37,1 of 16
21,Family,Hanni El Khatib,hanni-el-khatib,Head In The Dirt,2:27,shake the tree
22,Vessel of Love,Hollie Cook,hollie-cook,Vessel of Love,3:31,Gently floating
23,Cuñado,Banana Hammock,banana-hammock,,1:51,Estamos casados!
24,BREAK
25,If I Were Lucky,Once For Kicks,once-for-kicks,The World Of Dr. Illteams,2:09,Fuzzy fuzz
26,That Sound,Dappled Cities,dappled-cities,IIIII,3:36,Australian retro
27,Nuclear Fusion,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flying Microtonal Banana,4:15,Never gets old
28,Out My Eyes,The Moore Brothers,moore-brothers,,2:41,Never enough of this song
29,BREAK
30,True Men Don't Kill Coyotes,Red Hot Chili Peppers,red-hot-chili-peppers,,3:40,Original freaks
31,Sametown,Cherry,cherry,Dumbness,3:29,Repetition repeats
32,Chicken Woman,Starcrawler,starcrawler,Starcrawler,3:58,From Kids in the Hall?
33,French Press,Rolling Blackouts Coastal Fever,rolling-blackouts-coastal-fever,The French Press,5:27,More coffee
34,BREAK
35,Same Pattern,Kelley Stoltz,kelley-stoltz,Que Aura,5:20,Journey to somewhere
36,Don't Know Why,Slowdive,slowdive,Slowdive,4:37,gazerrs
37,Ugly,Fishbone,fishbone,Fishbone 101 - Nuttasaurusmeg Fossil Fuelin' The Fonkay [Disc 1],2:51,Ain’t got no alibi
38,We're Building A Rusty Shack,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,0:57,Mini-epic
39,BREAK
40,Gatorade,Heavy Trash,heavy-trash,,2:29,Gotta hydrate
41,Sandlot Shuffle,White Hassle,white-hassle,,3:40,Seriously shuffling
42,You're Alright Sorla One,Rachel Taylor Brown,rachel-taylor-brown,,1:13,Not much is known
43,BREAK
44,Follow the Leader,Foxygen,foxygen,Hang,4:13,Is it the '70s yet?
45,Bizarre Love Triangle,Frente!,frente,,2:04,A great song is a great song
46,The Drugs,Mother Mother,mother-mother,No Culture,3:13,Disco rush
47,Song Against Sex,Neutral Milk Hotel,neutral-milk-hotel,,3:43,Is it swinging?
48,BREAK
49,On It Maestro,Nightmares On Wax,nightmares-on-wax,Shape The Future,4:16,Slick black asphalt
50,Dreaming Still?,Holy,holy,All These Worlds Are Yours,6:27,How long did that take?
51,Powerlessness,Jeff Rosenstock,jeff-rosenstock,POST-,2:43,Don't stop the frantic
52,Simulation,Reptaliens,reptaliens,FM-2030,3:34,Sounds like the real thing
53,BREAK
54,Sexy Creature,Fort Lauderdale,fort-lauderdale,,2:09,Such great tone
55,Ghostiez,The Z Kamp Express,z-kamp-express,,4:38,tripping on acid masonic graveyard
56,Forever 16,Stereo Total,stereo-total,,1:43,Zap it with a ray gun
57,BREAK
58,Push And Pull,Tony Allen,tony-allen,The Source,5:57,Jazzbeat
