sequence,song,artist,artist_slug,album,time,notes
1,Chamber For Sleep (Part One),Screaming Females,screaming-females,All At Once,5:38,Infectious stuff
2,Fingerbangin,Dean Ween Group,dean-ween-group,Rock 2,2:38,Makin’ wozee
3,As You Cry,The Hush Sound ,hush-sound,,3:25,Wait for the big chorus
4,BREAK
5,Eight Miles High,Telamor,telamor,Crush,3:18,Via the Byrds
6,Monkey Rag,Asylum Street Spankers,asylum-street-spankers,,3:23,Your eyes may be brown but
7,Nazca Lines Of Peru,The Mercury Program,mercury-program,,4:29,Good vibes
8,Seventeen,Ladytron,ladytron,,4:38,Prime number
9,BREAK
10,Eighties,Killing Joke,killing-joke,,3:37,Time travel
11,Paris,Moondog,moondog,,3:27,Wild and unique
12,Mazuzu,West Nkosi,west-nkosi,South African Legends,4:49,Get tropical
13,BREAK
14,Great Australian Bite,Jen Cloher,jen-cloher,Jen Cloher,4:43,Slow drag
15,Bae,The Front Bottoms,front-bottoms,Going Grey,2:56,Mellowing out
16,Weirdo,Five-Eight,five-eight,,4:17,Close to home
17,BREAK
18,Collegiate Dope Slingaz,All That,all-that,,4:08,True story
19,3's & 7's,Queens Of The Stone Age,queens-of-stone-age,Era Vulgaris,3:34,Off beats
20,Daftendirekt,Daft Punk,daft-punk,Homework,2:47,Let's hear it for filters
21,Up Early In The Morning,Jennyanykind,jennyanykind,,5:07,It me
22,BREAK
23,Christmas Day,Squeeze,squeeze,,3:52,It’s not Xmas
24,Forget Me,Born Ruffians,born-ruffians,"Uncle, Duke + the Chief",3:36,"Yell it out, man"
25,My Strange Uncles From Abroad,Gogol Bordello,gogol-bordello,,5:20,Everyone should have one
26,Re-Format,MOTOR,motor,,4:11,Wheezy beeps
27,BREAK
28,Fell In Love With A Girl,The White Stripes,white-stripes,,1:50,Watch the LEGO video
29,Westside Angst,that dog.,that-dog,that dog.,1:50,Slopped genius
30,Me & My Babysitter,Ill Ease,ill-ease,,3:25,Uh huh
31,Who Is Speaking?,Loma,loma,Loma,2:15,Subtle
32,BREAK
33,Rust,Ed Schrader's Music Beat,ed-schrader-s-music-beat,Riddles,2:27,Aggressive stuff
34,Lipstick Twang,Messer Chups,messer-chups,Taste the Blood of Guitaracula,1:48,Twang away
35,Stop Your Sobbing,The Kinks,kinks,,2:06,Made famous by the Pretenders
36,Bowie,Flight of the Conchords,flight-of-conchords,,3:16,"Do you read me, Lieutenant Bowie?"
37,BREAK
38,Daromres y'n Howl,Gwenno,gwenno,Le Kov,3:17,Like Stereolab
39,My Little Humidor,Galactic,galactic,Organ-ized: All-Star Tribute To The B-3 Organ,4:00,Organ funk
40,60 Cycle,Marble Party,marble-party,Sometimes A Great Ocean,5:28,Starting slow
41,BREAK
42,You Really Got Me / Song 2,Artichoke,artichoke,Echoes From The Century Next Door,3:42,They go together
43,Hope,Internal/External,internal-external,,4:04,Slick bass
44,Solid Grease,This Is The Kit,this-is-kit,Moonshine Freeze,3:48,Vocal acrobatics
45,Dead Alien,Naked Giants,naked-giants,Sluff,4:25,Whanging away
46,BREAK
47,Edward II,Julia P. Hersheimer,julia-p-hersheimer,,4:07,Rollicking shanty
48,Stop Smoking (We Love You),Car Seat Headrest,car-seat-headrest,Twin Fantasy,1:29,For the quitters
49,Shampoo,Elvis Perkins In Dearland,elvis-perkins-in-dearland,,4:21,Swagger in
50,BREAK
51,Meet Me At The Club House,Quintron,quintron,,3:11,Groovy wobble
52,Hanging On The Telephone,L7,l7,Fast And Frightening (CD1),2:10,By the Nerves
53,Mess of Wires,METZ,metz,Strange Peace,3:29,Do not the stop
54,BREAK
55,Contra,Moon Hooch,moon-hooch,,4:06,Acid brass
