sequence,song,artist,artist_slug,album,time,notes
1,Drunk In LA,Beach House,beach-house,7,3:59,Slow fade
2,Everyone's Fightin' The Same Damn Fight,The Lovemakers,lovemakers,,3:04,So so true
3,Physical World,Kudu,kudu,,6:29,Friendly funking
4,BREAK
5,Desperate Tonight,Five-Eight,five-eight,,4:44,One of the best
6,Allison's Gone,Hawk,hawk,Bomb Pop,3:40,Power pop is back
7,One Step Ahead,Split Enz,split-enz,,2:53,You never forget your first video
8,Everybody Thinks They Know (But No One Really Knows),Naked Giants,naked-giants,Sluff,2:23,No one really knows
9,BREAK
10,Too Much Paranoias,Devo,devo,Q: Are We Not Men? A: We Are DEVO! - The DEVO-Lux Edition,1:57,Better than not enough
11,Octagon Octagon,Dr. Octagon,dr-octagon,Moosebumps,4:03,That's a lot of eights
12,Honey In The Sun,Camera Obscura,camera-obscura,,5:45,Sweet summer therapy
13,BREAK
14,No Fun,The Four Corners,four-corners,,4:23,Do the Stooges proud
15,Thirsty,Pluto,pluto,,1:55,Canada fuzz express
16,Pirates,Brazilian Girls,brazilian-girls,Let's Make Love,3:33,Glittery disco
17,Rock The Casbah,The Clash,clash,Combat Rock,3:43,Shariff don't like it
18,BREAK
19,Never Saw You Again,The Cleveland Steamers,cleveland-steamers,Best Record Ever,4:48,Dark voices
20,El Rayo-X,David Lindley,david-lindley,,2:56,Ay ay ay
21,Gloss (Demo),Le Rug,le-rug,Bleenex (10 Year Anniversary Edition),2:43,Rough in all the right places
22,BREAK
23,You Belong To Me,Flat Duo Jets,flat-duo-jets,,3:43,Nobody yowls like Dex
24,Post Animal,Post Animal,post-animal,When I Think Of You In A Castle,3:10,Nice and breezy
25,Backwash,Black Moth Super Rainbow,black-moth-super-rainbow,Panic Blooms,4:04,A dream forgotten
26,Petrified,Ruler,ruler,Winning Star Champion,3:21,Nice hooks
27,BREAK
28,Addicted To Cheese,Evaporators,evaporators,,1:59,The struggle is real
29,Percussion Gun,White Rabbits ,white-rabbits,,3:08,Like Bow Wow Wow
30,Sailing The Frequent Seas,Twink,twink,,3:11,The random
31,Refrigerator,The Abe Lincoln Story,abe-lincoln-story,Dance Party!,3:48,More than meets the eye
32,BREAK
33,On My Knees,Middle Kids,middle-kids,Lost Friends,3:34,Great harmonies
34,I Can't Explain,Coldspot 8,coldspot-8,,3:29,Bubbling bass
35,Everything Is Awful,The Decemberists,decemberists,I'll Be Your Girl,3:23,No argument here
36,Cómo Te Quiero,Khruangbin,khruangbin,Con Todo El Mundo,4:03,SE Asia flavors
37,BREAK
38,Safari Song,Greta Van Fleet,greta-van-fleet,From The Fires,3:55,Sounding familiar
39,Are You Coming With Me?,Illinois,illinois,,5:49,Mesmerized
40,Mean Dream,La Luz,la-luz,Floating Features,3:35,The new surf rock
41,BREAK
42,Huffin' The Muggles,Carl Henry Brueggen,carl-henry-brueggen,,3:58,Bossa the muggles
43,Villain,Speedy Ortiz,speedy-ortiz,Twerp Verse,3:20,Very Blake Babies
44,The Only Living Boy In New York,Buffalo Tom,buffalo-tom,Quiet And Peace,5:19,Back at it
45,BREAK
46,Saunter,Forth Wanderers,forth-wanderers,Forth Wanderers,3:25,Quite atypical
47,Freeway,Squarepusher,squarepusher,,1:40,Warpspeed jazzin
48,Swan Lake,Madness,madness,The Lot (Remastered Boxset) One Step Beyond,2:36,Great update
49,Underwater Moonlight,The Soft Boys,soft-boys,Underwater Moonlight,4:18,The real jangle
50,BREAK
51,Freedom Of '76,Ween,ween,Chocolate And Cheese,2:51,No chorus!
52,Little Girl,Cryptkeeper Five,cryptkeeper-five,,2:00,That Jersey sound
53,Best To Live On The Good Side,Femi Kuti,femi-kuti,One People One World,5:16,Running the bassline
54,BREAK
55,Champagne,Django Django,django-django,Marble Skies,4:45,Farewell beeps
