Date,Song,Artist,Album,Time,Notes,,,
2018-05-29,Drunk In LA,Beach House,7,3:59,Slow fade,"#nowplaying #kafm ""Drunk In LA"" by Beach House ... Slow fade ... http://kafmradio.org",100,
2018-05-29,Everyone's Fightin' The Same Damn Fight,The Lovemakers,,3:04,So so true,"#nowplaying #kafm ""Everyone's Fightin' The Same Damn Fight"" by The Lovemakers ... So so true ... http://kafmradio.org",100,
2018-05-29,Physical World,Kudu,,6:29,Friendly funking,"#nowplaying #kafm ""Physical World"" by Kudu ... Friendly funking ... http://kafmradio.org",100,
2018-05-29,,,,,,,,
2018-05-29,Desperate Tonight,Five-Eight,,4:44,One of the best,"#nowplaying #kafm ""Desperate Tonight"" by Five-Eight ... One of the best ... http://kafmradio.org",100,
2018-05-29,Allison's Gone,Hawk,Bomb Pop,3:40,Power pop is back,"#nowplaying #kafm ""Allison's Gone"" by Hawk ... Power pop is back ... http://kafmradio.org",100,
2018-05-29,One Step Ahead,Split Enz,,2:53,You never forget your first video,"#nowplaying #kafm ""One Step Ahead"" by Split Enz ... You never forget your first video ... http://kafmradio.org",100,
2018-05-29,Everybody Thinks They Know (But No One Really Knows),Naked Giants,Sluff,2:23,No one really knows,"#nowplaying #kafm ""Everybody Thinks They Know (But No One Really Knows)"" by Naked Giants ... No one really knows ... http://kafmradio.org",100,
2018-05-29,,,,,,,,
2018-05-29,Too Much Paranoias,Devo,Q: Are We Not Men? A: We Are DEVO! - The DEVO-Lux Edition,1:57,Better than not enough,"#nowplaying #kafm ""Too Much Paranoias"" by Devo ... Better than not enough ... http://kafmradio.org",100,
2018-05-29,Octagon Octagon,Dr. Octagon,Moosebumps: An Exploration Into Modern Day Horripilation,4:03,That's a lot of eights,"#nowplaying #kafm ""Octagon Octagon"" by Dr. Octagon ... That's a lot of eights ... http://kafmradio.org",100,
2018-05-29,Honey In The Sun,Camera Obscura,,5:45,Sweet summer therapy,"#nowplaying #kafm ""Honey In The Sun"" by Camera Obscura ... Sweet summer therapy ... http://kafmradio.org",100,
2018-05-29,,,,,,,,
2018-05-29,No Fun,The Four Corners,,4:23,Do the Stooges proud,"#nowplaying #kafm ""No Fun"" by The Four Corners ... Do the Stooges proud ... http://kafmradio.org",100,
2018-05-29,Thirsty,Pluto,,1:55,Canada fuzz express,"#nowplaying #kafm ""Thirsty"" by Pluto ... Canada fuzz express ... http://kafmradio.org",100,
2018-05-29,Pirates,Brazilian Girls,Let's Make Love,3:33,Glittery disco,"#nowplaying #kafm ""Pirates"" by Brazilian Girls ... Glittery disco ... http://kafmradio.org",100,
2018-05-29,Rock The Casbah,The Clash,Combat Rock,3:43,Shariff don't like it,"#nowplaying #kafm ""Rock The Casbah"" by The Clash ... Shariff don't like it ... http://kafmradio.org",100,
2018-05-29,,,,,,,,
2018-05-29,Never Saw You Again,The Cleveland Steamers,Best Record Ever,4:48,Dark voices,"#nowplaying #kafm ""Never Saw You Again"" by The Cleveland Steamers ... Dark voices ... http://kafmradio.org",60,
2018-05-29,El Rayo-X,David Lindley,,2:56,Ay ay ay,"#nowplaying #kafm ""El Rayo-X"" by David Lindley ... Ay ay ay ... http://kafmradio.org",60,
2018-05-29,Gloss (Demo),Le Rug,Bleenex (10 Year Anniversary Edition),2:43,Rough in all the right places,"#nowplaying #kafm ""Gloss (Demo)"" by Le Rug ... Rough in all the right places ... http://kafmradio.org",60,
2018-05-29,,,,,,,,
