sequence,song,artist,artist_slug,album,time,notes
1,Red Pill,Ty Richards,ty-richards,Welcome To Flat Earth,4:04,Twisted T-Rex
2,Don't Care,Klark Kent,klark-kent,,2:10,I'm really into apathy
3,The Small Stuff,The Dismemberment Plan,dismemberment-plan,!,3:03,Makes your head spin
4,City Boy,Calpurnia,calpurnia,Scout EP,3:24,Drawling it out
5,BREAK
6,Mary Weather,The Pink Dust,pink-dust,Ming,2:47,Fuzzy bassline love
7,Tortapapír,Besh o drom,besh-o-drom,,6:21,Will it blend?
8,Sem Vocé,Lindsay/Antunes,lindsay-antunes,,3:39,Tropical sparseness
9,Buck Me Off,Speedy Ortiz,speedy-ortiz,Twerp Verse,3:00,Clear out your ears
10,BREAK
11,She Came In Through The Bathroom Window,The Beatles,beatles,,1:58,A clear favorite
12,I'm a Breakdown,The Countdown Quartet,countdown-quartet,,3:22,Spicy gumbo
13,Here We Go!,Arling + Cameron,arling-cameron,,4:21,Via Japan via the Netherlands
14,BREAK
15,Orange Glow,Push Kings,push-kings,,3:53,Every ingredient for a perfect pop song
16,Sugar & Spice,Hatchie,hatchie,Sugar & Spice [EP],3:09,Sounding quite Lush
17,Just One Lifetime,Sting & Shaggy,sting-shaggy,44/876,3:31,Bonus: Jabberwocky
18,Ordinary,Jagwar Ma,jagwar-ma,Every Now & Then,4:11,Funked out
19,BREAK
20,Infinite Mile,King Tuff,king-tuff,The Other,3:12,It’s a long road my friend
21,Pawn Shop,Los Lobos,los-lobos,Look at All the Love We Found: A Tribute to Sublime,5:32,An unexpected yet perfect turn at Sublime
22,Getting Loose,Dick Stusso,dick-stusso,In Heaven,3:13,Bring out the Keef
23,BREAK
24,Baby’s On To Me,Rock*a*Teens,rock-a-teens,Sixth House,4:43,By request!
25,Ponerte En Cuatro,Los Amigos Invisibles,los-amigos-invisibles,,4:33,Four on the floor
26,Good Morning Boyfriend,Tulip Sweet and Her Trail of Tears,tulip-sweet-her-trail-of-tears,,3:11,I’m a sucker for the theremin
27,Carpetbaggers,The Harlem Shakes,harlem-shakes,,3:33,Whatever happened
28,Rude Boys Are Back In Town,Boss,boss,,3:19,The unmistakable beat of Japanese ska
29,BREAK
30,Corazón,Titan,titan,Elevator,4:37,Bit of an update
31,Empty Bottle,Honus Honus,honus-honus,Use Your Delusion,2:27,A Tom Waits for the 21st century
32,Creatures,The Orwells,orwells,Terrible Human Beings,2:31,Welcome to the circus
33,The Cure,Ruler,ruler,Winning Star Champion,3:11,Not about the band called The Cure
34,Video Killed The Radio Star,The Presidents of The United States of America,presidents-of-united-states-of-america,Pure Frosting,3:24,Loving tribute
35,BREAK
36,AF3458,The Limiñanas,liminanas,Crystal Anis,2:34,The French Velvet Underground of the Banjo
37,Modern,Magnifico,magnifico,,3:15,The smoothest Slovenian you will encounter
38,Sloane Ranger,The Essex Green,essex-green,Hardly Electronic,4:03,A glorious return for them
39,See You Tonight,The Cleveland Steamers,cleveland-steamers,Best Record Ever,3:27,Tonight rock tonight
40,BREAK
41,Rosey,Ken Nordine,ken-nordine,,1:37,Grandly grinned
42,Private Property,Langhorne Slim,langhorne-slim,Lost At Last,Vol. 1,The new folk
43,Fiesta,Ween,ween,,2:14,Almost like Shamemaker
44,Baby,Los Super Seven (Vocal by Caetano Veloso),los-super-seven-vocal-by-caetano-veloso,Canto,3:34,One of the best songs of the last century
45,BREAK
46,Cutting Stone,The Decemberists,decemberists,I'll Be Your Girl,3:21,Sounds olde Englysh
47,Fever Pitch,Rainbow Kitten Surprise,rainbow-kitten-surprise,"How To: Friend, Love, Freefal",2:44,Going places
48,Famous Tracheotomies,Okkervil River,okkervil-river,In The Rainbow Rain,4:56,What’s with all the tracheotomy songs?
49,BREAK
50,Millennial Trash Blues,Jo Passed,jo-passed,Their Prime,3:40,Drop that beat
51,Nevermine,Forth Wanderers,forth-wanderers,Forth Wanderers,3:55,The Pixiest
52,Mr. Tillman,Father John Misty,father-john-misty,God's Favorite Customer,3:04,It’s a disorganized life
53,My Radio,Solvent,solvent,,5:00,Calming beeps
54,BREAK
55,The Other Side Of The Moon,Don Tiki,don-tiki,Manahattan Lounge,5:37,A wild night out
