sequence,song,artist,artist_slug,album,time,notes
1,Maybe,Buck Meek,buck-meek,Buck Meek,2:50,Down the tunnel of pop
2,Cómo Me Quieres,Khruangbin,khruangbin,Con Todo El Mundo,3:45,Surf Southeast Asia
3,Let's Go Surfing,The Drums,drums,Summertime!,2:52,Whistle away
4,BREAK
5,Shut Up!,The Cleveland Steamers,cleveland-steamers,Best Record Ever,2:54,Rough night tonight
6,Bad Thirds,Green Goblyn Project,green-goblyn-project,The Secret World Of Parasites,1:34,Rocket fuel outta Florida
7,I Lied,Hawk,hawk,Bomb Pop,4:30,Untruthfully
8,Smoke That Fire,New Birth Brass Band,new-birth-brass-band,A Bit of New Orleans,3:06,Burn it up all night
9,BREAK
10,King Kong (Attack of the Egomaniac),Kudu,kudu,Death of the Party,4:11,Everybody knows one
11,Metro (Brooklyn Mix),I Am The World Trade Center,i-am-world-trade-center,Out of the Loop,3:16,Beep delays
12,Dream Dream,Secret Colours,secret-colours,Dream Dream,3:40,Laid back rolling
13,We've Got It Made,Ruler,ruler,Winning Star Champion,2:59,Like a fresh James Taylor
14,BREAK
15,Start Wearing Purple,Gogol Bordello,gogol-bordello,Voi-La Intruder,3:26,Do not put it off
16,3030 Meets The Doc Pt.1,Dr. Octagon,dr-octagon,Moosebumps: An Exploration Into Modern Day Horripilation,4:45,No wasting time
17,The Egg,Apollo Sunshine,apollo-sunshine,Katonah,3:18,Monolithic and variegated
18,Water,Ra Ra Riot,ra-ra-riot,Need Your Light,4:40,Vampire Weekend roots are showing
19,BREAK
20,"Listen, Sonny Boy",Rock*a*Teens,rock-a-teens,Sixth House,2:52,"Also, remove yourself from my lawn"
21,Une Ballade Pour Clive,The Limiñanas,liminanas,Crystal Anis,2:45,Clive from Arista?
22,Ona Stacka Bibles,Charlie Chesterman,charlie-chesterman,From the Book of Flames,2:50,Enjoy every last bit
23,BREAK
24,We All Die Young,The Decemberists,decemberists,I'll Be Your Girl,4:01,Somewhat like the Black Lips
25,Just Because It's Dying,Jenny Toomey,jenny-toomey,Tempting,3:42,A song by Franklin Bruno
26,19-2000,Gorillaz,gorillaz,Gorillaz,3:28,Bouncy bounce
27,Sick Bastards,Grimskunk,grimskunk,Unreason In The Age Of Madness,4:13,Change it up for the chorus
28,BREAK
29,Rod for Your Love,Sonny Smith,sonny-smith,Rod for Your Love,2:07,Bongofever
30,Cicada,La Luz,la-luz,Floating Features,3:12,Urgently
31,Drive Somewhere,The Vulgar Boatmen,vulgar-boatmen,,5:59,Summer for your car stereo
32,BREAK
33,Tire Eyes,Post Animal,post-animal,When I Think Of You In A Castle,3:04,SUPERTRAMP LIVES!
34,Bare Minimum,Cicada Rhythm,cicada-rhythm,Everywhere I Go,3:57,For those giving us the bare minimum
35,Roses By My Side,Cicada Rhythm,cicada-rhythm,Everywhere I Go,3:02,Doubleshot
36,SubPar Chromosone,Drool Brothers,drool-brothers,Kasio Montigo,4:49,"They’re laughing at you, man"
37,BREAK
38,Too Sick To Tango,Arlo,arlo,Stab The Unstoppable Hero,3:45,Produced by Ben Vaughn!
39,The 710,The Essex Green,essex-green,Hardly Electronic,3:45,A shining example of new old stock
40,Miracle Medicine,Jason Falkner,jason-falkner,Presents Author Unknown,3:22,Wandering through the chord forest
41,BREAK
42,Evil,Postdata,postdata,Let's Be Wilderness,2:27,A happy kind of evil
43,Bone Dry,Eels,eels,The Deconstruction,3:43,Happy as an Eel
44,What Is And What Should Never Be,Hazelrigg Brothers,hazelrigg-brothers,Songs We Like,4:49,Marginally smoother
45,BREAK
46,Think I Might Be In Love,Cut Worms,cut-worms,Hollow Ground,4:22,Old tyme sounds
47,Ultraviolet,King Tuff,king-tuff,The Other,4:22,Tougher than Tuff
48,Night Shift,Grand Marquis,grand-marquis,Brighter Days,4:04,More NOLA
49,BREAK
50,New Breeze,Black Moth Super Rainbow,black-moth-super-rainbow,Panic Blooms,4:10,Your lifetape is jammed
51,Unison Featuring Lisa Gerrard,The Mystery of the Bulgarian Voices,mystery-of-bulgarian-voices,BooCheeMish,3:13,Otherwordly
52,Friends,Fake Shark,fake-shark,Faux Real,3:31,"Oooo, like Howard Jones"
53,BREAK
54,The Seven Souls,Bill Laswell,bill-laswell,Seven Souls,5:50,featuring Uncle Billy Burroughs
