sequence,song,artist,artist_slug,album,time,notes
1,Turn And Smile,Rock*a*Teens,rock-a-teens,Sixth House,4:07,Nice and cleaner
2,Daylight Till Dawn,All Night Radio,all-night-radio,,4:02,AM frequencies across time
3,Water Under The Bridge (feat. Natalia Clavier),Thievery Corporation,thievery-corporation,Treasures From The Temple,4:47,Good to hear from Natalia
4,BREAK
5,Heat Wave,Snail Mail,snail-mail,Lush,5:08,Somewhat subtle
6,I'm Glad,Field Music,field-music,Commontime,3:44,Skittery beat
7,Superman,Zoobombs,zoobombs,BBB,3:33,Totally Japan
8,String Theory,Greezy Wheels,greezy-wheels,String Theory 2.0,3:32,It’s kinda complicated
9,BREAK
10,The Possessed,Cowboy Junkies,cowboy-junkies,All That Reckoning,3:23,Dainty little ditty
11,Life To Fix,The Record Company,record-company,All Of This Life,3:59,Howl along
12,The Bullshit Century Pt. 1,Dick Stusso,dick-stusso,In Heaven,3:01,"Unmentionable title, good song"
13,BREAK
14,Joe By The Book,Buck Meek,buck-meek,Buck Meek,1:52,Such a great story
15,Slanted By Six,The Essex Green,essex-green,Hardly Electronic,3:38,More of the multicolor
16,Go On,The Rubens,rubens,Lo La Ru,2:44,Show some attitude
17,The Bed's Too Big Without You,The Police,police,,4:28,I must be psychic
18,BREAK
19,New Dominions,Johnny Marr,johnny-marr,Call The Comet,4:24,Somewhat Love and Rockets?
20,The Eyes Of The Night,The Starlight Mints,starlight-mints,,2:51,Woo oo oo oo….
21,Bike Lane,Stephen Malkmus & The Jicks,stephen-malkmus-jicks,Sparkle Hard,3:35,Respect the bike lane
22,BREAK
23,Green Goblyn,The Green Goblyn Project,green-goblyn-project,Earth Must Be Destroyed,2:22,What is happening
24,Comfort,Yung Heazy,yung-heazy,Whenever You're Around I Hate Everything Less,3:20,It’s a lovely wooz
25,Donna Diaspora,Shantel,shantel,,4:50,Time for some Balkan beats
26,Baby's Insane,Diamanda Galas with John Paul Jones,diamanda-galas-with-john-paul-jones,,4:39,Truly an inspired pairing
27,BREAK
28,Greatest Hits,Laptop,laptop,,3:52,"Dude, listen to yourself"
29,Diamond Eyes,Real Estate,real-estate,In Mind,2:34,Gentle washes
30,Baby's In The Void,Black Moth Super Rainbow,black-moth-super-rainbow,Panic Blooms,3:38,Synthetic dreams
31,BREAK
32,Sunday Roast,Courtney Barnett,courtney-barnett,Tell Me How You Really Feel,4:44,A hypnotic sound
33,James Bond Theme,Fanfare Ciocarlia,fanfare-ciocarlia,,3:09,In a Bond mood
34,We Will Walk,Matisyahu,matisyahu,,3:23,From back when
35,Wide Awake!,Parquet Courts,parquet-courts,Wide Awake!,2:39,Agogo cowbell!
36,BREAK
37,Human,Chandler Travis Philharmonic,chandler-travis-philharmonic,Waving Kissyhead Vol. 2 & 1,4:28,Going strong
38,Everybody Please Relax,1990s,1990s,,3:24,Good advice
39,Such Great Heights,The Postal Service,postal-service,,4:26,Satellite calling
40,BREAK
41,Tropanitsa,The Mystery of the Bulgarian Voices,mystery-of-bulgarian-voices,BooCheeMish,2:52,Alien harmonies
42,How It Can Be,Cut Worms,cut-worms,Hollow Ground,3:37,Totally Beatlesque
43,Papers,Ty Segall,ty-segall,Ty Segall,3:02,Somewhat proggy
44,I'm Fried,Frankie Cosmos,frankie-cosmos,Vessel,1:40,But sounding fresh
45,BREAK
46,Winning Star Champion,Ruler,ruler,Winning Star Champion,3:12,The censored version
47,Pay No Mind,Beach House,beach-house,7,3:25,Slow warp
48,Mere Yaar Ki Shaadi Hai,Red Baraat,red-baraat,Sound the People,6:11,Funky bedouin beats
49,BREAK
50,Friday Morning,Khruangbin,khruangbin,Con Todo El Mundo,6:51,Also works for Tuesday nights
51,My Golden One,La Luz,la-luz,Floating Features,4:14,Dig the clave
52,High Five Hall Of Famers,Guided By Voices,guided-by-voices,August By Cake,2:08,With exactly that GVB thing
53,BREAK
54,Red Vangogh On,Olo,olo,,5:54,Echoes and repeats
