sequence,song,artist,artist_slug,album,time,notes
1,Buzz,B. Fleischmann,b-fleischmann,A Choir of Empty Beds,6:46,The beehive awakens
2,Epsilon,The Anubian Lights,anubian-lights,Naz Bar,6:19,Shimmy through the stars
3,While the City Sleeps,MC 900 Foot Jesus,mc-900-foot-jesus,,5:29,Too short a career
4,BREAK
5,Imaginary World,Ashtech,ashtech,Walkin' Target,5:26,Morning dub
6,Underwater,The Gentle People,gentle-people,Simply Faboo,6:09,Bubbling up
7,This Purple Child,Howe Gelb + Grandaddy,howe-gelb-grandaddy,,5:42,Sounds from the distant haze
8,BREAK
9,The New York Editor,Amon Tobin,amon-tobin,Bricolage,4:56,With Oxford commas
10,Elements,Lemon Jelly,lemon-jelly,Lost Horizons,8:42,Ash / Metal / Water / Wood / Fire
11,Neighborhood Watch (We Call Police),Emperor Penguin,emperor-penguin,Damn EP,3:50,Not an idle threat
12,BREAK
13,Star Guitar,Chemical Brothers,chemical-brothers,Star Guitar,6:10,Look up the video
14,Third World Lover,Kid Koala + Dynomite D,kid-koala-dynomite-d,Bombay 2 : Electric Vindaloo,5:34,Not too spicy
15,The Girl From Ipanema,Pizzicato Five,pizzicato-five,Pink Panther Penthouse Party,3:47,Brazil via Japan
16,BREAK
17,Santa Maria (Del Buen Ayre),Gotan Project,gotan-project,Lunatico,5:45,Surprisingly French
18,Lazy Busy,Montefiori Cocktail,montefiori-cocktail,Raccolta No. 1,5:44,Lounge italiano
19,Checking In Checking Out,The High Llamas,high-llamas,Gideon Gaye,5:47,Some Steely Dan for Conner
20,BREAK
21,Partido Alto,Medeski Martin + Wood,medeski-martin-wood,The Dropper,5:45,Out there wailing
22,Brimful Of Asha,Cornershop,cornershop,When I Was Born For The 7th Time,5:18,Everybody needs a bosom for a pillow
23,VIP,Jungle Brothers,jungle-brothers,V.I.P,5:51,Show me the guest list
24,Miniskirt,Combustible Edison + Esquivel,combustible-edison-esquivel,,,By request!
25,BREAK
26,Sho Nuff,Fatboy Slim,fatboy-slim,North West Three,5:12,Featuring an Andre Williams sample
27,Son of Bambi,Towa Tei,towa-tei,,5:15,A brilliant solo career
28,Soul Bossanova,Skeewiff,skeewiff,Greatest Wiffs,5:56,"Quincy Jones, not Austin Powers"
29,BREAK
30,Ambulance,Simian Mobile Disco,simian-mobile-disco,Temporary Pleasure,5:43,Nice ride
31,Rosarito,Nortec Collective,nortec-collective,Tijuana Sound Machine,3:09,Electric sounds of Tijuana
32,Bachelor Pad,Fantastic Plastic Machine,fantastic-plastic-machine,,4:42,Fun from the start
33,Here We Go!,Arling + Cameron,arling-cameron,All-In,4:21,Get things going
34,BREAK
35,CIS (Central Information Station),Ultra Wide Band,ultra-wide-band,,5:05,Where the knowledge resides
36,We Just Won't Stop,James Curd,james-curd,We Just Won't Stop,6:17,Morning instructions
37,(We Stay) Up All Night feat. Blaya & Roses Gabor,Buraka Som Sistema,buraka-som-sistema,,3:55,Portuguese mania
38,BREAK
39,Bucovina Original,Shantel,shantel,Planet Paprika,2:50,Balkan madness!
