sequence,song,artist,artist_slug,album,time,notes
1,Bone Machine,Pixies,pixies,2013.08.06.a,3:03,Kicking off tonight's Machine Shop!
2,Paperweight Machine,Fluid Ounces,fluid-ounces,The Whole Shebang,2:10,Straight outta Ft. Lauderdale (I think)
3,Pee Wee's Big Adventure (Breakfast Machine),The Scofflaws,scofflaws,,2:00,"Nothing right now, Mr. Herman"
4,Emotion Machine,Jason Falkner,jason-falkner,All Quiet On the Noise Floor,3:12,Ex-Jellyfish and so much more
5,BREAK
6,How Do You Work This Thing?,Robyn Hitchcock,robyn-hitchcock,Gravy Deco: The Complete Groovy Decay/Decoy Sessions,2:29,Questions from the audience?
7,The Dream Machine,Sukia,sukia,,4:33,La maquina de los sueños
8,Strict Machine,Goldfrapp,goldfrapp,Black Cherry,3:51,Originally by Suzi Quatro
9,Samba Machine,Kassin+2,kassin-2,Futurismo,3:20,A subtle samba
10,BREAK
11,Relentless Machines,Thomas Function,thomas-function,Celebration!,4:21,Truly relentless
12,Blood Machine,Chad VanGaalen,chad-vangaalen,Infiniheart,4:25,It’s grim and haunting
13,Tijuana Sound Machine,Nortec Collective,nortec-collective,Tijuana Sound Machine (Nortec Collective Presents Bostich & Fussible),3:03,Sin limites
14,Tape Machine,STRFKR,strfkr,"Being No One, Going Nowhere",3:14,For the Gainesville listeners
15,BREAK
16,Surf Machine,Spot 1019,spot-1019,Spot 1019,4:16,Close our eyes and watch Bob Newhart
17,Luv Machine,Blonde Redhead,blonde-redhead,In an Expression of the Inexpressible,3:39,Stark and hypnotic
18,Light Machine,Oranger,oranger,New Comes And Goes,2:36,Fuzzed out blizz
19,BREAK
20,She's A Machine,The Smugglers,smugglers,Buddy Holly Convention - EP,1:30,Much better than the Elvis version
