sequence,song,artist,artist_slug,album,time,notes
1,Annihilation Song,Rubblebucket,rubblebucket,Sun Machine,3:53,An eclectic’s eclectic
2,Never Ever (feat. Sarah),The Rubens,rubens,Lo La Ru,3:21,Great duet
3,No Fun,Shy Boys,shy-boys,Bell House,2:30,Sounds like some fun
4,Chug-a-Lug,Asleep At The Wheel,asleep-at-wheel,King Of The Road: A Tribute To Roger Miller [Disc 1],2:07,Modulate!
5,BREAK
6,Charity,Courtney Barnett,courtney-barnett,Tell Me How You Really Feel,4:10,No mincing words
7,A Song For Those Who Miss You All The Time,Thin Lips,thin-lips,Chosen Family,3:44,Slinging strings
8,Another Season Again,The Sadies,sadies,Northern Passages,2:24,Burning it up
9,The Static's Beat,Ill Ease,ill-ease,Live at the Holiday Sin,5:06,Slow stuttering
10,BREAK
11,El Clavo Y La Cruz,The Plugz,plugz,Repo Man Soundtrack,2:58,From Repo Man
12,Destroy The Sun,The Purrs,purrs,Destroy The Sun,4:41,Go big
13,Pressure Drop,Toots + the Maytals,toots-maytals,Light Your Light,3:44,Easy sounds
14,Narrow Your Eyes,They Might Be Giants,they-might-be-giants,Apollo 18,2:46,A secret favorite of mine
15,BREAK
16,The Woods,The Creation Factory,creation-factory,The Creation Factory,3:09,Dark and spooky
17,The Plimsoll Line,Gnac,gnac,Little Darla Has A Treat For You V.13,3:05,Interlude
18,Ready To Die,The Unicorns,unicorns,Who Will Cut Our Hair When We're Gone?,1:43,Such drama
19,Switched On,Islands,islands,Vapours,3:31,More Unicorns
20,BREAK
21,Magazin,White Denim,white-denim,Performance,3:39,More T. Rex!
22,Cherokee Street Girl,Son Volt,son-volt,Notes Of Blue,3:01,Lonesome twang
23,How About The Boys,Arling + Cameron,arling-cameron,Top 20 (1994-2006),4:18,Totally bipolar
24,BREAK
25,The Gambler,Brother Brother,brother-brother,Some People I Know,3:26,A dire sound
26,Queen,Cullen Omori,cullen-omori,The Diet,2:52,Royalty
27,Rayé Du Bottin,Etienne Charry,etienne-charry,36 Erreurs,3:06,Translation please?
28,Dear Mr. & Mrs. Troublemaker,All Girl Summer Fun Band,all-girl-summer-fun-band,Summer of '98,2:02,Typing time
29,BREAK
30,Hello Kitty Knife,Peach Kelli Pop,peach-kelli-pop,Gentle Leader,2:00,Cute and deadly sharp
31,Dance Of The Eridani,Bênní,benni,The Return,4:09,Do not be lured in by their dance
32,Huh,Rollercoasterwater,rollercoasterwater,Degauss,2:12,Odd sounds
33,Let's Die Together,The Smoking Flowers,smoking-flowers,Let's Die Together,6:33,A slow death
34,BREAK
35,Blues (All The Rage),Willie Wisely,willie-wisely,She,3:14,Still all the rage
36,Space Witch,Free Radicals,free-radicals,Outside the Comfort Zone,2:39,Weirdo reggae
37,Beatbox,The Jessica Fletchers,jessica-fletchers,What Happened to The?,2:28,Manic beatbox
38,I Just Wanna Get Along,The Breeders,breeders,Last Splash,1:44,Don't we all
39,BREAK
40,Vive Solo,Juana Molina,juana-molina,Un Dia,5:59,Hypnotized
