sequence,song,artist,artist_slug,album,time,notes
1,Palm of your Hand,Cake,cake,Pressure Chief,2:57,Nothing stands forever
2,The Cold House is a Harsh Mistress,The Lonesome Organist,lonesome-organist,Forms and Follies,1:44,Space wind chimes
3,House Of The Rising Bigfoot,Spot 1019,spot-1019,Still... Again,2:27,Monster Truckin'
4,Staying Home,Superchunk,superchunk,I Hate Music,1:15,Don’t stay too long
5,BREAK
6,Bag of Hammers,Thao + The Get Down Stay Down,thao-get-down-stay-down,We Brave Bee Stings and All,2:50,Shake the beams of this house
7,Party At My House,Those Peabodys,those-peabodys,Those Peabodys,4:37,Smarter than dumb rock
8,Here At The Home,Tribe,tribe,Here At The Home,3:06,Winding around
9,Running From Home,Admiral Sir Cloudesley Shovell,admiral-sir-cloudesley-shovell,Check Em Before You Wreck Em,5:02,More of the rock
10,BREAK
11,House Of Cards,Adrian Belew,adrian-belew,Mr. Music Head,4:06,Stripped down
12,Comin' Home Baby,The Goldstars,goldstars,Purple Girlfriend,2:20,Groovin' rendition
13,The Eighth Station Of The Cross Kebab House,Belle and Sebastian,belle-sebastian,The Third Eye Centre,3:58,Very very Specials
14,Burning Down The House,Talking Heads,talking-heads,Love → Building On Fire (single),4:02,Shake down
15,BREAK
16,Can't Find My Way Home,Blind Faith,blind-faith,Blind Faith,3:16,The supergroup's supergroup
17,South Is Only A Home,The Fiery Furnaces,fiery-furnaces,Gallowsbird's Bark,2:43,Revolutionary racket
18,Meet Me At The Club House,Quintron,quintron,These Hands of Mine,3:11,It's going to be a wild time
19,Come Home,Chappo,chappo,Moonwater,3:27,An enjoyable return
