sequence,song,artist,artist_slug,album,time,notes
1,Bang! Blues,King Brothers,king-brothers,Wasteland,2:03,Loud and frantic
2,Situation,Margaret Glaspy,margaret-glaspy,Emotions and Math,2:26,Keep up if you can
3,Donna Goes To Tijuana,Poor Little Fools,poor-little-fools,,1:58,Conga surf line
4,BREAK
5,Grease Nipples,Wiseblood,wiseblood,,4:31,Electroswing before such a thing
6,Love Plus One,Haircut One Hundred,haircut-one-hundred,,3:38,One of the finer songs to come out of the era
7,Sinfonia Agridulce,Mexican Institute of Sound,mexican-institute-of-sound,,4:12,Still recognizable
8,The Beat (feat. Cyril Neville),Stanton Moore,stanton-moore,With You In Mind,4:20,Lastnamer + firstnamer
9,BREAK
10,Skiffleman,The Skiffle Players,skiffle-players,Skiff,3:06,Muy Ween
11,Necronomania,Manfred Hubler & Siegfried Schwab,manfred-hubler-siegfried-schwab,Vampyros Lesbos Sexaholic Dance Party,2:10,The darkened path
12,Last Of Your Rock 'n' Roll Heroes,Iron & Wine,iron-wine,Weed Garden [EP],3:21,Somewhat old-fashioned
13,Housewife's Choice,The Determinations,determinations,,5:07,Rocksteady from Japan
14,BREAK
15,Barking Up the Wrong Tree,Jesse and the Dandelions,jesse-dandelions,Give Up The Gold,6:17,Rings like a Jellyfish
16,Direction,Bird Streets,bird-streets,Bird Streets,3:50,Love a story song
17,Elvira Madigan,Komeda,komeda,Kokomemedada,2:53,The weirdness of Sweden
18,Them Changes,Thundercat Feat. Flying Lotus,thundercat-feat-flying-lotus,Drunk,3:08,Going everywhere
19,BREAK
20,Colorado,Brother Brother,brother-brother,Some People I Know,3:00,Begin the three-state tour
21,Arizona (I Wanna Be Your Man),Shannen Moser,shannen-moser,I’ll Sing,2:48,So familiar
22,Georgia On My Mind,Django Reinhardt,django-reinhardt,Nuages ( With Coleman Hawkins),3:16,Hop skip and jump
23,BREAK
24,Mind Your Own Business,Le Shok,le-shok,We Are Electrocution,1:27,Crisis averted
25,Take Five,Rice & Freetown,rice-freetown,,4:03,In 4/4?
26,It Might Get Dark,White Denim,white-denim,Performance,3:37,Rolling along
27,Babe Ruth,The Bad Man,bad-man,Laughing With Bad Teeth,2:00,What kind of demented circus...?
28,BREAK
29,Big Puffy Girl Handwriting,Danielle Howle,danielle-howle,,3:07,Such a voice
30,Regular Face,Walrus,walrus,Family Hangover,4:32,Highly dynamic
31,Searching For Rose,Love Battery,love-battery,,3:13,Underrated 90s
32,Second Chance,DeVotchKa,devotchka,This Night Falls Forever,5:26,With whistling
33,BREAK
34,R U OK?,Wyves,wyves,R U OK?,3:26,Oldfashioned guitar raveup
35,In An Unknown Field,The Purrs,purrs,Destroy The Sun,4:25,The howling wobbles
36,Let The Sky Fall,Ten Years After,ten-years-after,,4:20,The original low rumble
37,Dark Saturday,Metric,metric,Art Of Doubt,3:50,Aggrocanadian
38,BREAK
39,Call Me,Mass Gothic,mass-gothic,I've Tortured You Long Enough,4:41,Great galloping
40,From The Catbird Seat,Knife In The Water,knife-in-water,,4:19,VUesque
41,3 O'Clock,Blonde Redhead,blonde-redhead,3 O'Clock [EP],4:28,The slow unwinding of fate
42,BREAK
43,Hate Thy Neighbor,Brick + Mortar,brick-mortar,Meta Meta Etc.,3:41,New century dance song
44,More Soul,Young Antiques,young-antiques,Wardrobe For A Jet Weekend,1:39,"Too fast, is over!"
45,Spend a Night in the Box,Reverend Horton Heat,reverend-horton-heat,Spend a Night In the Box,3:07,Everyone's been in the box
46,Party Like Your Heart Hurts,Rubblebucket,rubblebucket,Sun Machine,3:32,Good advice
47,BREAK
48,Gaslight Anthem (The Song Not The Band),Thin Lips,thin-lips,Chosen Family,3:02,"Yes, the song not the band."
49,Wedding In Finistère,Jens Lekman,jens-lekman,Life Will See You Now,3:25,Such great hooks
50,Frames,The Love Language,love-language,Baby Grand,3:05,Cascading bells
51,BREAK
52,Me And P St. Beach,Winterbrief,winterbrief,,3:47,Wonder no more
53,Summertime,The Sundays,sundays,Static and Silence,3:34,Missing the warmth and green
54,Take Me Away,Ween,ween,Chocolate And Cheese,3:00,Continuing the theme
55,No One Rides for Free,The Morlocks,morlocks,Bring on the Mesmeric Condition,3:04,Garage punk unlimited
56,BREAK
57,Dream In Time,The Luyas,luyas,Human Voicing,5:55,Spooky minimalism
