sequence,song,artist,artist_slug,album,time,notes
1,Roadside Cross,Deadbolt,deadbolt,,3:34,I'm the I-40 killer...
2,Zombie in a Mini Skirt,Messer Chups,messer-chups,,2:17,Originally by Esquivel!
3,Beach Monster,STRFKR,strfkr,,2:10,"Carry me away, beach monster"
4,Halloween All Year,The Orwells,orwells,,3:31,Ministry had a similar sentiment 20-plus years ago
5,BREAK
6,"Hey, Hey, Hey, Hey",House of Freaks,house-of-freaks,,2:20,Scariest song in my library
7,Pumpkins,Eskimo,eskimo,,1:11,Where's your pumpkin?
8,Black Cat 13,Peach Kelli Pop,peach-kelli-pop,Gentle Leader,1:49,Hear it in your dreams
9,That's Halloween,Duplex Halloween Planet,duplex-halloween-planet,"Duplex Halloween Planet (Hello Recording Club Selection, October 1993)",1:47,Breaking and entering … that’s Halloween!
10,Halloween,Jason Trachtenburg,jason-trachtenburg,,2:50,Mass reproduction leaves a hole in my heart
11,BREAK
12,Sea Ghost,The Unicorns,unicorns,,3:43,Some shanties never age
13,Happy Torso Bloody Torso,We Wrote The Book on Connectors,we-wrote-book-on-connectors,Almost The Mayors Of Lasers,3:55,A popular song topic
14,Hamburger Lady,Throbbing Gristle,throbbing-gristle,,4:12,Just grind through it
15,Everyday Is Halloween,Ministry,ministry,,6:37,Natch
16,BREAK
17,Club Mekon,The Mekons,mekons,,3:29,I will marry Sally Timms' voice
18,Monster,Chad VanGaalen,chad-vangaalen,,3:05,Chad can be pretty spooky
19,Ghost In The Trees,Thee Oh Sees,thee-oh-sees,,2:15,Do not cross the forest alone
20,Halloween,Team USA,team-usa,,2:42,A manic New Jersey ending
