sequence,song,artist,artist_slug,album,time,notes
1,Not Getting Your Way,Jesse and the Dandelions,jesse-dandelions,Give Up The Gold,3:20,A gentle approach
2,Old Saloon,Illinois,illinois,The Adventures of Kid Catastrophe (Deluxe Edition),3:31,Hillbilly to the max
3,Luna De Miel (Featuring Julieta Venegas),Mastretta,mastretta,Luna de Miel,3:29,Let’s hear it for the theremin player
4,Your Red Wagon,Robbie Fulks & Linda Gail Lewis,robbie-fulks-linda-gail-lewis,Wild! Wild! Wild!,2:44,Hot hot stuff
5,BREAK
6,Man That I've Become,Nick Lowe,nick-lowe,Dig My Mood,2:52,Love the tic-tac
7,The Machine,King Brothers,king-brothers,Wasteland,1:39,Hang on to the straps
8,Banjo Song,The Brother Brothers,brother-brothers,Some People I Know,2:36,Lethal sad banjo action
9,Take It From Me,Phono Pony,phono-pony,Monkey Paw,2:57,Organ grinding
10,BREAK
11,Little Green Men,Drink Me,drink-me,Sleep,3:01,They live among us
12,Folk Singer,Brendan Benson,brendan-benson,Lapalco,3:51,Flanging hard
13,None Of Your Business Man,Fucked Up,fucked-up,Dose Your Dreams,5:19,Deceptive start
14,Not Even In Your Dreams,Crocodiles,crocodiles,Dreamless,3:25,Shake it like a pepper grinder
15,BREAK
16,Watertank,White Hassle,white-hassle,Life Is Still Sweet,4:05,"If you miss this train, there’ll be another right behind it…"
17,"9:27a.m., 7/29",mewithoutYou,mewithoutyou,[untitled],2:22,Time to wake up angry
18,West Texas Blues,Shannen Moser,shannen-moser,I'll Sing,2:49,Sounds about right
19,Always the Sun (Sunny Side Up Mix),The Stranglers,stranglers,,3:58,Don't forget the Stranglers
20,BREAK
21,Tempest,Low,low,Double Negative,4:49,Do not adjust your stereos … everything is just fine
22,Back and Forth,The Dismemberment Plan,dismemberment-plan,Emergency & I,5:08,Back and forth and back
23,The Speed of Sound,Wyves,wyves,R U OK?,3:32,Chromatic bass runs ftw
24,Close To Me,The Comfies,comfies,Close To Me,2:28,More aggressive than “Close To You”
25,BREAK
26,Sunlit Sparks (I Won't Break You),Rubblebucket,rubblebucket,Sun Machine,4:07,Enter the discotheque of danger
27,Ringo,Spot 1019,spot-1019,Still... Again,2:24,Had a dream about the bacon
28,Twice Inna Lifetime,British India,british-india,Controller,3:36,See you in the mosh pit
29,Black Magic,Peach Kelli Pop,peach-kelli-pop,Gentle Leader,2:35,Extreme fuxx action
30,BREAK
31,Bad Love Is Easy To Do,Guided By Voices,guided-by-voices,Cool Planet,2:05,True words
32,Update Your Blog,Alex Arrowsmith,alex-arrowsmith,Applewine,2:18,Is it too soon to be nostalgic for blogs?
33,Bicho Auto,Juana Molina,juana-molina,Wed 21,4:34,Hipnotismo argentino
34,It's Hard To Turn Me On,Quasi,quasi,"Featuring ""Birds""",4:33,Implacable
35,BREAK
36,Hosa Dyna,Brave Combo,brave-combo,Polkas For A Gloomy World,2:08,Ancient hardcore
37,Nasty,The Jack Moves,jack-moves,Free Money,3:07,The purple spirit is strong in this one
38,My Boy Lollipop,Millie Small,millie-small,The Reggae Box (Disc 1),2:02,The original
39,We're On Our Way,Fastball,fastball,Step Into Light,2:45,Still fast
40,BREAK
41,Do You Love Your Company?,Ron Gallo,ron-gallo,Stardust Birthday Party,2:19,"Well, do you?"
42,Video Killed The Radio Star,The Presidents of The United States of America,presidents-of-united-states-of-america,Pure Frosting,3:24,It seems so long ago
43,Sugar Water,Cibo Matto,cibo-matto,Viva! La Woman,4:29,Check out the incredible palindromic video
44,BREAK
45,La Babaduka,Nebula Rosa,nebula-rosa,Bengala,4:00,Mambo mortal
46,"The Law Offices Of Dewey, Cheatum, and Howe",The Skiffle Players,skiffle-players,Skiff,5:34,For all your legal needs
47,Pamela,The Kooks,kooks,Let's Go Sunshine,3:05,Fun fluffy stuff
48,Bienvenidos a mi Disco,Mexican Institute of Sound,mexican-institute-of-sound,Mejico Maxico,3:58,Welcome one and all
49,BREAK
50,Do The Trash Can,Jon Spencer,jon-spencer,Spencer Sings The Hits,2:28,Kick that can
51,Backseat Driver,White Denim,white-denim,Performance,3:17,Also applies to frontseat drivers
52,Plastic Coffin,Exit Group,exit-group,Adverse Habitat,2:29,Back to No Wave
53,BREAK
54,True,Brick + Mortar,brick-mortar,Meta Meta Etc.,1:39,Television … drug of a nation
55,Future Me Hates Me,The Beths,beths,Future Me Hates Me,4:06,A great deal of fun
56,The Rover,Interpol,interpol,Marauder,3:38,Smoky rooms and strobing lights
57,Modern Age,Get Set Go,get-set-go,"Sunshine,Joy & Happiness- a Tragic Tale of Death,Despair and Other Silly Nonsense",3:05,Such a bright and shiny happy song!
58,BREAK
59,Done With Those Days,DeVotchKa,devotchka,This Night Falls Forever,5:08,"Oooo, whistling"
