sequence,song,artist,artist_slug,album,time,notes
1,Mar-a-Lago,Wyves,wyves,R U OK?,3:43,More fun than it sounds
2,Donna,Rubblebucket,rubblebucket,Sun Machine,3:45,The new disco-dance
3,Chained Up Against The Ritual Clique,Exit Group,exit-group,Adverse Habitat,1:55,Uncomfortable angles
4,BREAK
5,Um Côco,Zuco 103,zuco-103,Outro Lado,4:21,electrozil
6,In Spring,Les Hommes,les-hommes,Les Hommes,4:23,Sizzle of rain
7,Mary Ann,The Brother Brothers,brother-brothers,Some People I Know,2:42,A slow meander
8,Penn Station,The Jack Moves,jack-moves,Free Money,4:28,Don't you drag your feet
9,BREAK
10,Shotgun,Spoon,spoon,Hot Thoughts,3:38,Made for lovin'
11,Ham Yam,Cilantro Boombox,cilantro-boombox,Shine,0:58,Inexplicable
12,In At The Beep End,P.P.Roy,p-p-roy,,2:55,Touchtone jingle
13,Lamp Industries,Young Fresh Fellows,young-fresh-fellows,I Think This Is,2:02,Scott McCaughey is doing better
14,BREAK
15,Life Worth Living Pt. 2,Dude York,dude-york,Sincerly,4:17,Happy good fun times
16,Big Window,Mass Gothic,mass-gothic,I've Tortured You Long Enough,5:44,The pulse is a tractor beam
17,Another Head for Hydra,mewithoutYou,mewithoutyou,[Untitled],2:43,The low fuzz of post-punk
18,Felt Like a Dream,Applesaucer,applesaucer,,2:52,Flow with the changes
19,BREAK
20,Wasteland,King Brothers,king-brothers,Wasteland,2:53,Let the howling commence
21,I'm Empty,Carbonas,carbonas,Your Moral Superiors: Singles and Rarities,1:14,Grind it to a finish
22,Everyday People,Slightly Stoopid Feat. G. Love,slightly-stoopid-feat-g-love,"Everyday Life, Everyday People",4:30,Nice mix
23,BREAK
24,This Old Dog,Mac DeMarco,mac-demarco,This Old Dog,2:31,Ain't about to forget
25,"Good Morning, Mrs. Walker",Phono Pony,phono-pony,Monkey Paw,2:51,Guitar shrapnel
26,"Siki, Siki Baba",Gaëtano Fabri vs. Koçani Orkestar,gaetano-fabri-vs-kocani-orkestar,Electric Gypsyland 2,3:54,Horns a-plenty
27,Cat Brain Land,Melt-Banana,melt-banana,Bambi's Dilemma,2:12,Blast it out
28,BREAK
29,The Chocolate Butterfly,dunkelbunt,dunkelbunt,raindrops and elephants,6:20,Balkan journey
30,My Red Hot Car,Squarepusher,squarepusher,My Red Hot Car,4:19,Stuttering through the lights
31,Boy Before,Beechwood,beechwood,Inside The Flesh Hotel,3:05,Leisurely determination
32,Girls ,Death In Vegas,death-in-vegas,,4:27,Ending drone
33,BREAK
34,Why For,Yuno,yuno,Moodie [EP],4:34,Distant synth calls
35,El Paisaje,Nebula Rosa,nebula-rosa,Bengala,2:32,Sound carries over the fields
36,Not Of This Earth,Angry Samoans,angry-samoans,,1:12,Otherwordly
37,Santa Fe,The Skiffle Players,skiffle-players,Skiff,6:14,Cavernous drone
38,BREAK
39,Time 2 Be Bad,Jon Spencer,jon-spencer,Spencer Plays The Hits,3:20,Get it ready for Jon
40,Ramblin' Rose,Pascal Comelade + Les Liminanas,pascal-comelade-les-liminanas,Traite De Guitarres Triolectiques,2:14,Toys go surfing
41,This Was Made Here,Meklit Hadero,meklit-hadero,When The People Move The Music Moves Too,5:33,In five
42,BREAK
43,Quorum,Low,low,Double Negative,3:43,Everything is perfectly normal
44,Slice,Don Caballero,don-caballero,,5:09,Multiple pendulums are in and out of sync
45,Headache For Sisyphus,The Ass Baboons Of Venus,ass-baboons-of-venus,Phuket Ala Bum Bum,4:23,Strange it to the max
46,BREAK
47,How To Die Happy,Fucked Up,fucked-up,Dose Your Dreams,4:52,Shoegaze
48,Transmission XXX,Yohimbe Brothers,yohimbe-brothers,Front End Lifter,3:10,Get the skronk 
49,47th St,Shannen Moser,shannen-moser,I'll Sing,2:25,End of the evening lament
50,BREAK
51,A Wonderful Beast,Calvin Johnson,calvin-johnson,A Wonderful Beast,4:10,That voice
52,Nerve Attack,Mudhoney,mudhoney,Digital Garbage,2:45,Some things never change
53,BREAK
54,Harvest Feast,All Them Witches,all-them-witches,ATW,10:45,Long and drawn
