sequence,song,artist,artist_slug,album,time,notes
1,Fishbelly 86 Onions,All Them Witches,all-them-witches,ATW,6:02,Count to twenty
2,Boxing Day,Boyracer,boyracer,,1:15,About as close as I'll get
3,On An Edge,Cloud Nothings,cloud-nothings,Last Building Burning,3:15,Flames burning high
4,BREAK
5,Zabumba No Mar,Zuco 103,zuco-103,Outro Lado,3:41,Connie Francis on hyperspeed
6,Mentiras,Los Amigos Invisibles,los-amigos-invisibles,,3:21,Pure lies
7,So Danço Samba,Wanda De Sah,wanda-de-sah,Ultra Lounge: Tiki Sampler,2:15,Let's all dance Samba
8,Boogie Woogie Country Gal,Robbie Fulks & Linda Gail Lewis,robbie-fulks-linda-gail-lewis,Wild! Wild! Wild!,3:46,Set the piano afire
9,BREAK
10,Worried Shoes,Daniel Smith / Sufjan Stevens,daniel-smith-sufjan-stevens,,3:55,Killing the monster
11,Rosie,The Smugglers,smugglers,,2:23,Oh Canadia
12,So High,The Glands,glands,Double Coda,2:53,Lost classic
13,Sir Prize,The Starlight Mints,starlight-mints,,3:11,It's all about quantum computing
14,BREAK
15,The Way I Feel,Dude York,dude-york,Sincerly,3:03,The punchline to a joke
16,White Horse,King Kong,king-kong,Funny Farm,6:13,If you want to ride
17,5 Times Out Of 100,Hot Hot Heat,hot-hot-heat,,3:54,Tell me what my odds are
18,Locate,Satisfact,satisfact,The Third Meeting At the Third Counter,3:41,Ready for a pummeling
19,BREAK
20,"Long Horns, Long Necks, Long Legs",The Skiffle Players,skiffle-players,Skiff,3:31,Swaggering groove
21,Clemency,Laura Gibson,laura-gibson,Goners,4:24,Haunting sparseness
22,Bonita,The Bad Man,bad-man,Laughing With Bad Teeth,2:00,Old school feel
23,BREAK
24,Forozinho Aperreado,Brave Combo,brave-combo,Humansville,2:47,North Brazilian charm
25,Gold Rush,Death Cab For Cutie,death-cab-for-cutie,Thank You For Today,4:00,Cascading down
26,Heavy Heavy Heavy,Geraldo Pine,geraldo-pine,Heavy Heavy Heavy,6:34,Very very heavy
27,Valley Of The Saroos,Joe Meek,joe-meek,I Hear a New World,2:49,Totally lunar
28,BREAK
29,Hooligans,Hepcat,hepcat,Out of Nowhere,3:32,Make up your mind
30,Lupin 3,Akakage's Happy Set,akakage-s-happy-set,,5:37,From the soundtrack
31,Copa 7 No Samba,Copa 7,copa-7,,2:51,Whole lotta Brazil
32,BREAK
33,Always Trying To Work It Out,Low,low,Double Negative,3:56,Slow throbbing
34,These Days,The Rentals,rentals,Return Of The Rentals,3:00,Sharp and Haden
35,Happy Deathday,Ron Gallo,ron-gallo,Stardust Birthday Party,4:16,Slight edit
36,Slowly,Nick Hakim,nick-hakim,Green Twins,3:26,A bashful sound
37,BREAK
38,Picking Out The Seeds,J Mascis,j-mascis,Elastic Days,3:27,J Mascis will be J Mascis
39,My Baby She Rocks,Billy F Gibbons,billy-f-gibbons,The Big Bad Blues,3:52,Unmistakable
40,Carry Me,Bird Streets,bird-streets,Bird Streets,3:13,Falkneresque
41,BREAK
42,Soul Kitchen,X,x,Los Angeles,2:25,Learn to forget
43,Sam Bridges,The Brother Brothers,brother-brothers,Some People I Know,3:37,Change of pace
44,Human Fly,Nouvelle Vague,nouvelle-vague,Bande A Part,2:49,Nailed it.
45,When The Weekend Comes Around,Calvin Johnson,calvin-johnson,A Wonderful Beast,3:56,In a disco mood
46,BREAK
47,We Lie,El Radio Fantastique,el-radio-fantastique,Outside Of Space And Time,4:26,Dishonesty
48,Honestly,Hippo Campus,hippo-campus,Bambi,2:38,The truth
49,No! No! No!,King Brothers,king-brothers,Wasteland,2:58,Triple negative
50,BREAK
51,The Hotel Family Affair,Lusk,lusk,Free Mars,4:28,An ominous location
52,Crush The Pill,Mason Jennings,mason-jennings,,1:09,Too brief!
53,Golden Touch,Razorlight,razorlight,The Ultimate Collection Drivin,3:17,The sound of the times
54,A Trick Of The Light,Villagers,villagers,The Art Of Pretending To Swim,4:10,Reminds me of David Garza
55,BREAK
56,Parallel Crossing,Badmarsh & Shri,badmarsh-shri,,6:02,South Asian journey
