sequence,song,artist,artist_slug,album,time,notes
1,Cut Stranger,J Mascis,j-mascis,Elastic Days,3:24,Mah-sis? Mass-kiss?
2,I'm Your Man,Spiritualized,spiritualized,And Nothing Hurt,4:29,Velvety smooth
3,Another Way Of Life,Cloud Nothings,cloud-nothings,Last Building Burning,3:08,The sound of twenty years ago
4,BREAK
5,"Hey, Won't Somebody Come Out and Play",The Little Ones,little-ones,,1:40,Not just for kids
6,Periodically Double or Triple,Yo La Tengo,yo-la-tengo,,3:53,Walls are closing in
7,Magnetize Your Food,The Evolution Control Committee,evolution-control-committee,,3:37,Magnetize your kittens!
8,Night Tide,Gallon Drunk,gallon-drunk,,2:28,Dark and stormy
9,BREAK
10,10 X Infinity,The Monolith,monolith,,3:15,That's a lot
11,The Dream Machines,Sukia,sukia,,4:33,¡La maquina de los sueños!
12,Check It Out,Komeda,komeda,Kokomemedada,3:02,Swede treat
13,Lookin' Lookin' Gaa,Polysics,polysics,POLYSICS OR DIE!!!!,2:56,Whatever that is!
14,BREAK
15,All Choked Up,BRONCHO,broncho,Bad Behavior,2:56,Moar cowbell
16,Is She Really Going Out With Him,Joe Jackson,joe-jackson,Look Sharp!,3:35,Original and heartbreaking
17,Got It in My Pocket,Reverend Horton Heat,reverend-horton-heat,Whole New Life,2:44,Get the flame douser
18,Bring Back The Walls,Aspera Ad Astra,aspera-ad-astra,The Lilys / Aspera Ad Astra - Split,5:53,Streaks and sparkles
19,BREAK
20,Thomas,Laura Gibson,laura-gibson,Goners,3:27,Don't breathe
21,The Baby That Was You,MC Honky,mc-honky,I Am the Messiah,3:44,wah quack bark
22,Deep Canvas Lake,Jacob's Mouse,jacob-s-mouse,I'm Scared,2:13,Angular and British
23,BREAK
24,Way You Walk,pApAs fritAs,papas-fritas,,3:48,You want to be alone with him
25,1st Vs. 2nd,All Them Witches,all-them-witches,ATW,5:58,Counting them
26,Sly,The Cat Empire,cat-empire,Two Shoes,3:55,Manic energy
27,Bike Thief,Freezepop,freezepop,Fancy UltraFresh,3:31,The bad kind
28,BREAK
29,Drive By Dub,Dub Trio,dub-trio,Cool Out and Coexist,4:12,Need to dub it out
30,Up And Down,Beechwood,beechwood,Inside The Flesh Hotel,3:20,En español
31,Rose,The Glands,glands,Double Coda,3:14,Nomenclature
32,Born,STRFKR,strfkr,Reptilians,3:24,Overload
33,BREAK
34,Wham!,The Skiffle Players,skiffle-players,Skiff,2:11,Bits and pieces
35,Bogeyman,Kim Lenz,kim-lenz,Slowly Speeding,3:23,Howlin at the moon
36,One Dog Bark,Thought Gang,thought-gang,Thought Gang,3:08,Can't be too much dub
37,The Beach,Quintron,quintron,Are You Ready for an Organ Solo?,3:35,Wishing for some sand and sun...
38,BREAK
39,Hey Droog!,Psychic Lemon,psychic-lemon,Frequency Rhythm Distortion Delay,6:58,Heading to the milk bar
40,Ya Boul Habari,Omar Souleyman,omar-souleyman,"To Syria, With Love",5:13,Welcome to the disco
41,Soma Holiday,Beach Skulls,beach-skulls,Las Dunas,3:30,Another margarita?
42,BREAK
43,Damaged Goods,Gang Of Four,gang-of-four,Entertainment!,3:27,Pouring lemon on the cut
44,I Got The Hits,Jon Spencer,jon-spencer,Spencer Plays The Hits,2:33,"Oh, he said ""hits"""
45,Dark Speed,Failure,failure,In The Future Your Body Will Be The Furthest Thing From Your Mind,3:16,Not making any stops
46,Time Out For Fun,Devo,devo,Oh No! It's Devo,2:48,Things go both ways
47,BREAK
48,Couteau,La Femme,la-femme,Mystere,3:02,Sultry and French
49,Mahna Mahna,Mahna Mahna & The Two Snowths,mahna-mahna-two-snowths,,2:17,"Mais non, mais non"
50,Buena,"Joe ""King"" Carrasco",joe-king-carrasco,El Rey,3:54,Sunny organ sounds
51,BREAK
52,We're The Surf Gunz,Surf Günz,surf-gunz,,2:08,A necessary introduction
53,Satisfy Me,Carbonas,carbonas,Your Moral Superiors: Singles and Rarities,2:08,Road rash
54,Five Meals From One Chicken,Spot 1019,spot-1019,Still... Again,1:33,Quite the useful skill
55,Bridge Crossers,Ron Gallo,ron-gallo,Stardust Birthday Party,3:19,Don't mess with Ron
56,BREAK
57,Alphajerk,3d5spd,3d5spd,Faster Gravity,5:16,Atlanta weirdoes
