sequence,song,artist,artist_slug,album,time,notes
1,On The Sunshine,Spiritualized,spiritualized,And Nothing Hurt,5:00,Rolling bass forever
2,Medium,The Pack A.D.,pack-a-d,Positive Thinking,2:49,No stopping for ice cream
3,Penny,The Wellingtons,wellingtons,For Friends In Far Away Places,3:21,Australian gold
4,BREAK
5,Back In Time,R. Stevie Moore,r-stevie-moore,Afterlife,4:11,Spinning the calendar
6,Electricity,The Glands,glands,Double Coda,4:21,Light it up
7,This Everything,Waax,waax,Wild and Weak EP,2:47,A pleasant lack of restraint
8,Bury Me Deep,Kim Lenz,kim-lenz,Slowly Speeding,3:34,Long train howling
9,BREAK
10,Break-Thru,Dirty Projectors,dirty-projectors,Lamp Lit Prose,3:50,All askance
11,Stronger,Gothic Tropic,gothic-tropic,Fast Or Feast,3:54,nudisco
12,Half-Tongue,All Them Witches,all-them-witches,ATW,4:35,Dragging waltztime
13,Springtime,Oranger,oranger,The Quiet Vibration Land,2:36,Can't wait
14,BREAK
15,All Men Are Liars,Los Straitjackets,los-straitjackets,"What's So Funny About Peace, Love And Los Straitjackets",2:33,Hitting old Lowes
16,Beautiful Morning With You,The Pillows,pillows,,1:36,Fully cool
17,Leave Him Now,Cloud Nothings,cloud-nothings,Last Building Burning,3:04,Probably good advice
18,S.I.B. (Swelling Itching Brain),Devo,devo,Duty Now For The Future,4:31,A common ailment
19,BREAK
20,The Password,Ron Gallo,ron-gallo,Stardust Birthday Party,2:09,"Is it ""password""?"
21,Can't Change Me,Lydia Loveless,lydia-loveless,Indestructible Machine,4:15,The real thing
22,Bleeding Hearts,Oh Pep!,oh-pep,I Wasn't Only Thinking About You...,3:56,Talking on the telephone
23,BREAK
24,L.A. On My Mind,BNQT,bnqt,Volume 1,3:42,Big 70s Energy
25,Hey Hey Helen (BBC Radio Sessions),Lush,lush,Gala (Chorus Version),2:36,Wistful
26,Nero,Beechwood,beechwood,Inside The Flesh Hotel,3:21,Watching it burn
27,Sunrise Through the Power Lines,Reverend Horton Heat,reverend-horton-heat,Whole New Life,3:33,A beautiful sight
28,BREAK
29,Rest Stop,Kero Kero Bonito,kero-kero-bonito,Time n’ Place,3:23,Deconstructed instruction
30,Lighthouse,Mirah,mirah,Understanding,5:10,Filled with detail
31,Awkward,Yowler,yowler,Black Dog In My Path,2:33,Understated
32,BREAK
33,Finale,Hurray For The Riff Raff,hurray-for-riff-raff,The Navigator,3:22,A strange collage
34,The Breather,Zoogz Rift,zoogz-rift,Los Angeles Post-Punk (Volume 2),4:23,Strange reckoning
35,Your Party,Ween,ween,La Cucaracha,4:08,A lovely time
36,BREAK
37,You Draw Me Near,Monta At Odds feat. Your Friend,monta-at-odds-feat-your-friend,Argentum Dreams,6:27,The interlocking sound of the beat
