sequence,song,artist,artist_slug,album,time,notes
1,Sandman,BRONCHO,broncho,Bad Behavior,3:12,Driving fast in the dark
2,Nail I Couldn't Bite,The Spirit Of The Beehive,spirit-of-beehive,Hypnic Jerks,5:16,Woozy loops
3,I Took Her Love For Granted,Hefner,hefner,The Fidelity Wars,2:36,I feel beautiful
4,BREAK
5,In Blood,Billy Childish & Holly Golightly,billy-childish-holly-golightly,In Blood,3:16,One chord to rule them all
6,Trying Times,Jerry Jones,jerry-jones,Studio One Rocksteady 2,4:34,Never out of style
7,Sofa,The Glands,glands,Double Coda,2:29,It's a comfortable sofa
8,Ordinary Day,Mirah,mirah,Understanding,4:12,"Congratulations, Mirah"
9,BREAK
10,Run Away (The Sequel),Darling New Neighbors,darling-new-neighbors,Everyday is Saturday Night,2:01,Quite understated
11,Ton O' Luv,Devo,devo,Freedom of Choice,2:30,Do the robot
12,April 1724,Pluxus,pluxus,European Onion,2:44,Side scroller
13,Percolate,Kim Lenz,kim-lenz,Slowly Speeding,2:04,Hot brew
14,BREAK
15,Not Given Lightly,Chris Knox ,chris-knox,Seizure,5:06,New Zealand genius
16,When I Write The Book,Rockpile,rockpile,Seconds of Pleasure,3:18,Maybe some magic moment
17,Bit Logic,The Bottle Rockets,bottle-rockets,Bit Logic,3:16,Brand new retro
18,6 Cats And A Podium,Tricky Woo,tricky-woo,,5:55,Boogie colossus
19,BREAK
20,How Will I Find You?,Jeff Tweedy,jeff-tweedy,WARM,6:06,Slow burn
21,Everybody's Talking,Bongwater,bongwater,The Big Sell-Out,3:17,Doesn’t get more NYC
22,Corazón,Titan,titan,Elevator,4:38,Brazilian blowout
23,BREAK
24,Fantastic,Mellow,mellow,Perfect Colors,4:27,from the world of tomorrow
25,Island In The Sun,Weezer,weezer,The Green Album,3:21,Doesn't age
26,Slave Labor,Mariachi El Bronx,mariachi-el-bronx,Mariachi El Bronx,2:37,Hardcore mariachi
27,Impossible,Popcanon,popcanon,D'art,2:57,Gainesville Hi-Grade
28,BREAK
29,Half A Boy + Half A Man,Sleepy Labeef & C.J. Chenier,sleepy-labeef-c-j-chenier,,2:55,Who would have thought
30,Luv Jones,Charles Bradley & The Menahan Street Band Feat. LaRose Jackson,charles-bradley-menahan-street-band-feat-larose-jackson,Black Velvet,3:51,Black velvet indeed
31,Chemistry Class,Elvis Costello + The Attractions,elvis-costello-attractions,Armed Forces (Disc 1),2:57,Lucky I didn't kill myself
32,Welcome Home,Curse of Lono,curse-of-lono,Severed,4:06,Low skruff
33,BREAK
34,Police On My Back,Willie Nillie,willie-nillie,,3:34,What have I done?
35,Hold On This Time,Denise James,denise-james,Hold On This Time,3:03,Genuine girl group vibes
36,Remember My Name,Mitski,mitski,Be The Cowboy,2:15,I'm really bad at names
37,Only Acting,Kero Kero Bonito,kero-kero-bonito,Time n’ Place,3:50,"Wait, what?"
38,BREAK
39,Hot Metal Dobermans,Brainiac,brainiac,bonsai superstar,2:48,Underwater nightmare
40,Sound Unity (Featuring King DJango & Rocker T),Dr. Ring Ding,dr-ring-ding,,2:45,With King Django and Rocker T
41,Miki Dora,Amen Dunes,amen-dunes,Freedom,5:04,Developing
42,Robot's Return (Modern Sleepover Part 2),Talc,talc,DJ-Kicks,3:02,Every robot deserves some
43,BREAK
44,Chuggin',Z-Rock Hawaii,z-rock-hawaii,,2:50,Featuring members of Ween + the Boredoms
45,eggy in a bready,Heavy Vegetable,heavy-vegetable,Mondo Aqua Kitty,1:01,Making me hungry
46,Hit 10 Joints,Chuck Martin,chuck-martin,Genius Boy Music,2:30,A Hogtown classic
47,Big Love,Matthew E. White,matthew-e-white,Rough Trade Shops Presents Counter Culture 13,4:41,It's that Ft. Lauderdale sound
48,BREAK
49,Asilah,Alsarah & The Nubatones,alsarah-nubatones,Manara,2:05,Other beats
50,Upper Ferry,Flin Flon,flin-flon,Boo-Boo,3:29,Relentless
51,Headache,Sick Thoughts,sick-thoughts,Sick Thoughts,2:10,Feels like a headache
52,"Young Lady, You're Scaring Me",Ron Gallo,ron-gallo,Heavy Meta,3:41,No flies on Ron
53,BREAK
54,Log Cabin Blues,Japonize Elephants,japonize-elephants,40 Years of Our Family,3:27,Manic ragtime
55,Ichabod Crane,Listing Ships,listing-ships,Time To Dream,3:48,Reminds me of Patriot
56,Slow Roll,Tommy Guerrero,tommy-guerrero,Road To Knowhere,3:12,Eating miles
57,On the Road,Andrei Codrescu,andrei-codrescu,,1:00,The saga of Almond Joy
58,BREAK
59,Ain't Easy,Beach Skulls,beach-skulls,Las Dunas,5:16,17 of 17
