sequence,song,artist,artist_slug,album,time,notes
1,I Know What It's Like,Jeff Tweedy,jeff-tweedy,WARM,3:46,Sweet California jangle
2,I Was Sleeping (Demo),Marcellus Hall,marcellus-hall,CMJ New Music Monthly (April)  #9,3:21,The collector provides for you
3,A Minha Menina,Os Mutantes,os-mutantes,,4:41,That beat
4,BREAK
5,Gray Prison Blues,The Lovin' Spoonful,lovin-spoonful,What's Up Tiger Lily / You're a Big Boy Now,2:25,What's Up Tiger Lily!
6,Haven't I Been A Fool,G.W. Mclennan,g-w-mclennan,Watershed,3:23,Legendary Australian chiming
7,Hypnic Jerks,The Spirit Of The Beehive,spirit-of-beehive,Hypnic Jerks,3:42,Heavy Vegetable-like
8,I Want You 2 Love Me So Much I Can't Stand Up,We Ragazzi,we-ragazzi,,4:23,Full of angst
9,BREAK
10,God Is On My Side,Hefner,hefner,Breaking God's Heart,4:08,Hitch up your skirt for your boyfriend
11,El Andén (feat. Mala Rodriguez),Bajofondo,bajofondo,,3:51,The train platform
12,Checking on a Message,Field Music,field-music,Open Here,3:21,The new Dan
13,Andrew Eldritch Is Moving Back To Leeds,The Mountain Goats,mountain-goats,Goths,4:18,The end of an era
14,BREAK
15,No Time This Time,The Police,police,Regatta de Blanc,3:19,The frantic finale
16,No Worries,Beach Skulls,beach-skulls,Las Dunas,2:03,Sarcastic twang
17,Your Nail And Your Hammer,Oh Pep!,oh-pep,I Wasn't Only Thinking About You...,2:47,Feeling destructive
18,Hollywood 151,Billy F Gibbons,billy-f-gibbons,The Big Bad Blues,3:24,BFG to the max
19,BREAK
20,Highway 70 Blues,The Bottle Rockets,bottle-rockets,Bit Logic,2:47,"East of here, but still counts."
21,I Was Dancing In The Lesbian Bar,They Might Be Giants,they-might-be-giants,My Murdered Remains,2:19,Originally by Jonathan Richman
22,Hora F# Minor,Kalman Balogh,kalman-balogh,Master of the Gypsy Cimbalom,2:02,Master of the Gypsy Cimbalom
23,The Peanut Vendor,Alvin 'Red' Tyler,alvin-red-tyler,Breaking Bad,2:08,As heard on Breaking Bad
24,BREAK
25,Alfio Brambilla (Acquarello Mix),The Maxwell Implosion,maxwell-implosion,,4:52,Originally by Die Moulinettes
26,Chances Are,Apostle of Hustle,apostle-of-hustle,The National Anthem Of Nowhere,3:28,Blasting out the open window
27,It's A Long Way In A Bad Way,The Goodnight Loving,goodnight-loving,,2:22,Fancy some two-step
28,Chelsea Dagger (Radio Edit),The Fratellis,fratellis,,3:22,Quite popular
29,BREAK
30,What We've Learned,Mclusky,mclusky,Mclusky Do Dallas,1:55,Harsh reality
31,Dashboard Issues,Franklin Bruno,franklin-bruno,,5:13,Something spoils the scene
32,20th Century Girl,Pizzicato 5,pizzicato-5,Pizzicato Five,4:52,Backwards fashion
33,Lost My Treble Long Ago,Vulfpeck,vulfpeck,Hill Climber,3:18,Demanding you strut
34,BREAK
35,Two Of Us,Mr. T Experience,mr-t-experience,Alcatraz,2:37,So romantic
36,Clara Rancia,Downtown Boys,downtown-boys,Cost Of Living,3:35,All the yelling!
37,I've Been Wondering,The Minders,minders,,1:50,Shiny bright short pop
38,That Ain't Bad,Ratcat,ratcat,,4:06,16 of 16
39,BREAK
40,Amy,Beechwood,beechwood,Inside The Flesh Hotel,2:49,Distant slide riffs
41,Not An Option,The Wild Reeds,wild-reeds,The World We Built,4:19,Sauntering tempo
42,Gangster Tripping,Fatboy Slim,fatboy-slim,You've Come a Long Way Baby,5:20,Don't the stop
43,Dust Devil,Mission Of Burma,mission-of-burma,Unsound,,A very speedy zeppelin
44,BREAK
45,Hey Lowdown!,Big Sandy,big-sandy,Night Tide,3:55,The real deal
46,My Friend Maurice,Home,home,,3:33,Crashing down
47,Keep It In Line,BRONCHO,broncho,Bad Behavior,2:23,A billion laser rays
48,An Endless Supply,The Thermals,thermals,More Parts Per Million,1:34,So dense
49,BREAK
50,Big Business,Tipsy,tipsy,Buzzz,3:33,Makingmoney
51,Grazing In The Grass,Hugh Masakela,hugh-masakela,,2:40,Way more cowbell
52,A Selection,Fishbone,fishbone,,3:03,You have made a selection
53,Here With The Hawk,Dead Meadow,dead-meadow,The Nothing They Need,2:55,Implacable
54,BREAK
55,Evil Knievel,The Bran Flakes,bran-flakes,I Don't Have A Friend,2:05,Not the good one
56,Don't Drop Your Pants,King Chango,king-chango,King Chango,4:03,Multi-culti Skafest
57,Hammer,Sick Thoughts,sick-thoughts,Sick Thoughts,2:08,Within the blast radius
58,A Fish Called Selma,The Simpsons,simpsons,Songs in the Key of Springfield,3:08,I love legitimate theater
59,BREAK
60,El Camino Negro,Tommy Guerrero,tommy-guerrero,Road To Knowhere,5:09,In five
