sequence,song,artist,artist_slug,album,time,notes
1,Darwin Derby (feat. THEO KATZMAN & Antwaun Stanley),Vulfpeck,vulfpeck,Hill Climber,3:15,Ummmm… funk
2,Kitty,The Presidents of The United States of America,presidents-of-united-states-of-america,,3:23,___ you kitty
3,Left For Dead,Mike Krol,mike-krol,Power Chords,2:40,Instapunchy
4,BREAK
5,I Was Born (A Unicorn),The Unicorns,unicorns,,2:46,I could have sworn you’d wait for me
6,Saddest Vacant Lot In All The World,Grandaddy,grandaddy,,3:52,Truly the saddest
7,Viva del Santo!,Southern Culture On The Sklds,southern-culture-on-sklds,Santo Swings,3:50,For Generoso and Lily
8,Telepathic Lover,Crocodiles,crocodiles,Dreamless,3:04,Shimmering sounds
9,BREAK
10,No One's Sleeping,Deerhunter,deerhunter,(2019) Why Hasn't Everything Already Disappeared?,4:26,Certainly not me
11,"Yeah, It's That Easy",G. Love & Special Sauce,g-love-special-sauce,,5:38,Riffin off the Fela
12,Quinceañera,The Bronx,bronx,,3:27,So long ago
13,BREAK
14,Sybil,Mark Feldman's LEVEL5,mark-feldman-s-level5,The Sybil EP,5:59,Almost jazz!
15,Highway Hustle,Tommy Guerrero,tommy-guerrero,Road To Knowhere,3:35,Long caravan
16,Blue Skies,Lyle Lovett,lyle-lovett,,3:12,"An American standard, via Canada"
17,Lo-Fi,The Bottle Rockets,bottle-rockets,Bit Logic,3:21,"Old ways, best ways"
18,BREAK
19,Freelance,Toro Y Moi,toro-y-moi,Outer Peace,3:46,Swirling electronics
20,You Ain't Going Nowhere,Rave-Ups,rave-ups,,4:26,Originally by Bob Dylan
21,Dang Me,Rhett Miller,rhett-miller,,1:52,Get me some maple surple
22,BREAK
23,"There, There",Major And The Monbacks,major-monbacks,Moonlight Anthems,3:49,Lessons to learn
24,These Bones,Super Furry Animals,super-furry-animals,,3:43,Swing that clap track
25,The Walls are Coming Down,Fanfarlo,fanfarlo,,4:16,For fans of Beirut + Devotchka
26,Victoria,Ray Davies,ray-davies,See My Friends,3:21,Somewhat less raucous
27,BREAK
28,Family Values,BRONCHO,broncho,Bad Behavior,1:36,Watchout for them values
29,Lollipop,Mika,mika,,3:04,A fun song about lollipops
30,Licking the Palm for Guava,Ween,ween,,1:01,Get your guava
31,Kitty Come Home [Feat. The Von Trapps & Rufus Wainwright],Pink Martini,pink-martini,Get Happy,4:21,Sombre mood
32,Dimmer,Bishop Allen,bishop-allen,Grrr,2:46,Music for ice-fishing!
33,BREAK
34,Space Oddity,David Bowie,david-bowie,Space Oddity,5:17,Every now and then
35,Touch Get Cut,Galactic,galactic,Already Ready Already,3:10,Hot stuff
36,Crazy,H.O.T.,h-o-t,,3:42,Ungoogleable
37,Bombs Away,Charlotte Gainsbourg,charlotte-gainsbourg,Take 2,3:48,Subtle disco
38,BREAK
39,Pumper,MAI LAN,mai-lan,Autopilote,3:50,Get funnin
40,Born Into The Sunset,Temples,temples,Volcano,4:46,With a grand entrance
41,Look Here,The Clash,clash,Sandinista! (Disc 1),2:45,At their jazziest
42,BREAK
43,Bangs,They Might Be Giants,they-might-be-giants,,3:28,Across your forehead
44,Hate to See You Cry,Reverend Horton Heat,reverend-horton-heat,Whole New Life,3:47,The Rev is reminiscing
45,Empty Bottle,Honus Honus,honus-honus,Use Your Delusion,2:27,Back to the dark circus
46,BREAK
47,Pousada Do Amor,Les Hommes,les-hommes,Les Hommes,5:42,Bring the rain
48,Faster,Dept of Energy,dept-of-energy,,4:02,More Robb Benson
49,Chainsaw,Sick Thoughts,sick-thoughts,Sick Thoughts,1:17,Dose of Ramones
50,Take It Home,Redd Kross,redd-kross,Hot Issue,4:34,Reissued at last
51,BREAK
52,Pleaser,The Glands,glands,Double Coda,3:05,Magical vibrations
53,Gurage,Anbessa Orchestra,anbessa-orchestra,Negestat,3:42,Foreign groove
54,Save Me,Nina Simone,nina-simone,,3:25,The soul of funk
