sequence,song,artist,artist_slug,album,time,notes
1,Cheye Calvo,American High,american-high,UN Article 14,2:29,Sweet sweet collapse
2,National Debate,R Stevie Moore,r-stevie-moore,Afterlife,3:46,Like an XTC flashback
3,I Don't Wanna Go,Coco Hames,coco-hames,Coco Hames,2:49,Girl groups afire
4,BREAK
5,The Bright Side,They Might Be Giants,they-might-be-giants,I Like Fun,2:29,Can't have too much
6,Wait (Don't Rush Me),Tony Cook,tony-cook,,3:45,Funk emigre
7,Until The Fire,Ladytron,ladytron,Ladytron,5:36,Keeping warm
8,Lunático,Gotan Project,gotan-project,,3:00,Mad tango
9,BREAK
10,Sins Are Forgiven,The Dandy Warhols,dandy-warhols,Why You So Crazy,2:26,Cashing in
11,Blue And Pink,Mike Krol,mike-krol,Power Chords,3:33,Each and both
12,#9,Commercial,commercial,,4:51,The ninest
13,Spinning Wheel,What!,what,,4:56,Dub magic
14,BREAK
15,Bubblehouse,"Medeski, Martin & Wood",medeski-martin-wood,Bubblehouse - EP,4:30,Bubbling up
16,Ragin' Eyes,Nick Lowe,nick-lowe,Quiet Please...The New Best of Nick Lowe,2:40,He wants to tell her
17,Garden of Eden,They Might Be Giants (with Robin 'Goldie' Goldwasser),they-might-be-giants-with-robin-goldie-goldwasser,,0:37,So obscure
18,Prison Song,The Silos,silos,Heater,3:57,An undiscovered motherlode
19,BREAK
20,Ad Astra,Heaters,heaters,Suspended Youth,7:02,Epic construction
21,You're Running Wild,The Transgressors,transgressors,They Made Her A Criminal,2:20,That new old sound
22,End Of The Week,Photon Band,photon-band,"Oh the Sweet, Sweet Changes",4:54,The sound of Psychedelphia
23,BREAK
24,Haig Earl,Shadowy Men on a Shadowy Planet,shadowy-men-on-a-shadowy-planet,"Sport Fishin': The Lure of the Bait, the Luck of the Hook",1:03,Best song titles
25,Yardsale,Mike West,mike-west,,2:31,Let's go skiing!
26,Easy,Pavo Pavo,pavo-pavo,Mystery Hour,2:14,Languid
27,Biomusicology,Ted Leo + The Pharmacists,ted-leo-pharmacists,The Tyranny of Distance,4:18,Such a dynamic
28,BREAK
29,Breeze,Lush,lush,Gala (Chorus Version),2:48,Timeless
30,Voy A Ser Mama,Stereo Total,stereo-total,No controles,2:35,Hope for the future
31,Sukiyaki,Oranger,oranger,New Comes and Goes,2:12,Set fuzz on 12
32,BREAK
33,What Floats Her Boat,The Samuel Jackson Five,samuel-jackson-five,The Samuel Jackson Five,2:10,Reverberations and echoes
34,Texas Fox,The Low Frequency In Stereo,low-frequency-in-stereo,Futuro,4:07,Implacable stuff from Norway
35,She's Crafty,The Beastie Boys,beastie-boys,Licensed to Ill,3:35,gimme some Ocean
36,Everybody's Girl,The Dwarves,dwarves,The Dwarves Are Young and Good Looking,2:42,A racing fuse
37,BREAK
38,The Majesty of Rock,Vertacyn Arc Materializer,vertacyn-arc-materializer,Tasting the Sea,8:21,Long form of madness
