sequence,song,artist,artist_slug,album,time,notes
1,Caveman 5000,Quintron,quintron,These Hands of Mine,3:37,Sophisticated primitive
2,Lookin' For A 7-11,Ben Vaughn,ben-vaughn,,2:34,Gonna drive pretty far
3,BREAK
4,King Kong Five,Mano Negra,mano-negra,Puta's Fever,1:56,Burning up
5,Singapore `66,Mach Kung-Fu,mach-kung-fu,,2:05,Faster than you think
6,BREAK
7,25 O'Clock,They Might Be Giants,they-might-be-giants,v/a a testimonial dinner the songs of XTC,4:06,originally by the Dukes of Stratosphear
8,Radar 1941,Sun City Girls,sun-city-girls,Torch of the Mystics,2:41,For Bam Bam
9,BREAK
10,Take Five,Rice & Freetown,rice-freetown,,4:03,In four?
11,Six Feet of Chain,Cagney & Lacee,cagney-lacee,,2:30,originally by Lee Hazlewood
12,BREAK
13,8 Piece Box,Southern Culture On The Skids,southern-culture-on-skids,,4:02,Some hot spicy chicken
14,Seven & Seven Is,Billy Bragg,billy-bragg,,2:15,originally by Love
15,BREAK
16,Seventeen Years,Ratatat,ratatat,Ratatat,4:26,Headbanging with the robots
17,Souvlaki #3,Boom Pam,boom-pam,,3:42,Hot klezmer salad
18,BREAK
19,20 Questions,Amy Rigby,amy-rigby,18 Again - An Anthology,3:18,Are you keeping count?
20,"100,000 Fireflies",Superchunk,superchunk,Incidental Music: 1991 - 1995,3:17,originally by the Magnetic Fields
