sequence,song,artist,artist_slug,album,time,notes
1,Big Boss Man,Mercury Rev + Hope Sandoval,mercury-rev-hope-sandoval,Bobbie Gentry's The Delta Sweete Revisited,3:25,Languid at its best
2,Chesapeake,Better Oblivion Community Center,better-oblivion-community-center,Better Oblivion Community Center,4:05,Fleeting harmonies
3,Dirty Creature,Split Enz,split-enz,Time and Tide,4:03,The herky rhythm
4,BREAK
5,Luciano,Steve Gunn,steve-gunn,The Unseen In Between,5:54,Space and time
6,Hard Petting,Tipsy,tipsy,Hard Petting,3:25,Fun times in orbit
7,Rock Music,Shlohmo,shlohmo,Rock Music,4:39,Ethereal magic
8,Crabbuckit,k-os,k-os,Joyful Rebellion,3:45,Clap hands
9,BREAK
10,Satisfaction,Errol Dunkley,errol-dunkley,Soul Jazz Records Presents STUDIO ONE Black Man's Pride 3: None Shall Escape The Judgement Of The Almighty,1:48,Chromatic tension
11,Mescalero,Cochemea,cochemea,All My Relations,2:08,Through the arid sands
12,One's Too Many (And A Hundred Ain't Enough),Nick Lowe,nick-lowe,Nick the Knife,2:34,Low jungle rhythms
13,Conquistador,Guantanamo Baywatch,guantanamo-baywatch,Desert Center,3:06,Ride the surf
14,BREAK
15,Cactus,Pixies,pixies,Surfer Rosa [2018 Remaster],2:17,Savage and essential
16,You Don't Know How It Feels,Chatham County Line,chatham-county-line,Under The Covers,4:14,Nice take
17,To Heaven And Back,Baby In Vain,baby-in-vain,More Nothing,2:28,Unhinged
18,The Model,Kraftwerk,kraftwerk,Minimum-Maximum,3:43,It only takes a camera to change her mind
19,BREAK
20,Ranger,Buke and Gase,buke-gase,Scholars,1:11,Eerie drone
21,Jack's Tune,Southern Culture On The Skids,southern-culture-on-skids,The Kudzu Ranch,3:48,Rare instrumental
22,Weight Off (feat. BADBADNOTGOOD),Kaytranada,kaytranada,99.9%,2:36,Skipping frames
23,Dogpile,Swearin',swearin,Fall Into The Sun,3:06,Fresh and superchunky
24,BREAK
25,Young Fresh Fellows Theme,Young Fresh Fellows,young-fresh-fellows,The Fabulous Sounds of the Pacific Northwest,2:53,The original YTTF
26,It's Epidemic,The Cops,cops,Free Electricity,2:25,Squealing with terror
27,"Chibidaba, Chibidaba",JK Mandengue,jk-mandengue,Africa Airways Five (Brace Brace Boogie 1976 - 1982),2:55,Disco is universal
28,Rollerkoaster,Railroad Jerk,railroad-jerk,One Track Mind,5:09,Maketh me woozy
29,BREAK
30,Mirror in the Bathroom,The Beat,beat,I Just Can't Stop It,3:07,"Rest easy, Ranking Roger"
31,Strawberry Fields Forever,Los Fabulosos Cadillacs,los-fabulosos-cadillacs,Fabulosos Exitos,4:17,Who would have thought…
32,The Real Ska,Chris Murray,chris-murray,Slackness,2:10,My favorite Skanadian
33,Marciano II (Punk Version),Molotov,molotov,Con Todo Respeto,2:26,Paranoia in any language
34,BREAK
35,Share a Pillow,Field Music,field-music,Open Here,2:54,Strange angles abound
36,For Survival (feat. Mike Viola),Vulfpeck,vulfpeck,Hill Climber,3:41,The overwhelming funk
37,Feels Alright,The Nude Party,nude-party,The Nude Party,3:57,Shades of VU
38,Fool's Paradise,United Future Organization,united-future-organization,3rd Perspective,4:55,UFO boogie
39,BREAK
40,Easily Charmed By Fools,The Claypool Lennon Delirium,claypool-lennon-delirium,South of Reality,5:11,Dang weirdoes
41,Family,Mother Mother,mother-mother,No Culture,3:13,Brooding
42,Paper Moon,Erin McKeown,erin-mckeown,Sing You Sinners,2:08,Good reason it’s a standard
43,BREAK
44,De Algun Instinto Animal,Juana Molina,juana-molina,Wed 21,4:03,Argentinian minimalism
45,Giggle Water,Los Straitjackets,los-straitjackets,Supersonic Guitars in 3-D,2:19,Swagger along
46,Big Sky Lullaby,Wylie & The Wild West,wylie-wild-west,Sky Tones,2:22,Yodel break
47,Nick Cave Dolls,Bongwater,bongwater,Box of Bongwater,4:21,I want one
48,BREAK
49,Rocksteady,Phyllis Dillon,phyllis-dillon,Ska Anthems,2:51,Self-referential
50,Lake Monsters,They Might Be Giants,they-might-be-giants,I Like Fun,2:57,A field guide
51,Five Parts,Schrasj,schrasj,F,3:51,Delicate meanderings
52,BREAK
53,Altered Beast I,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Murder Of The Universe,2:24,Aim straight for the wormhole
54,Idler,Carl Henry Brueggen,carl-henry-brueggen,,5:06,Just passing the time
55,"An Empire, A Sit-Com Set",hollAnd,holland,I Steal and Do Drugs,7:07,Unstatic drone
56,Sol Na Cara,Vinicius Cantuaria,vinicius-cantuaria,,2:30,Brazilian introspection
57,BREAK
58,Square Vehicles On Collision Course,Airport 81,airport-81,,2:22,The closer
