sequence,song,artist,artist_slug,album,time,notes
1,Warranty,Meat Puppets,meat-puppets,Dusty Notes,3:59,Dusty sounds
2,How Was It For You,James,james,Gold Mother,4:05,Fun times
3,Crescendo,Panda Bear,panda-bear,Buoys,3:10,Awkward chitchat
4,BREAK
5,Bossa Nova,Shivaree,shivaree,I Oughtta Give You a Shot in the Head for Making Me Live in This Dump,3:28,The unmistakable Ambrosia Parsley
6,#4,Commercial,commercial,Commercial,3:44,Lost in the loop
7,Just One Of Those Things [Brazilian Girls Remix],Blossom Dearie,blossom-dearie,Verve Remixed 3,4:49,Pounding rumble
8,Fever in My Pocket,Mindreaders,mindreaders,Just a Bad Dream: Sixty British Garage & Trash Nuggets 1981–89,2:53,Trashy garage
9,BREAK
10,6,The Wrens,wrens,Silver,2:25,Still waiting for a title. Still waiting. Period.
11,Return to Neptune's Net,M. Ward,m-ward,What A Wonderful Industry,1:57,The new old fashioned
12,Now and Then,The Lemonheads,lemonheads,Varshons 2,2:37,Takin her easy
13,"Sing, Theresa Says",Greg Laswell,greg-laswell,Through Toledo,4:00,Riding through the rain
14,BREAK
15,(I'm A) Donkey For Your Love,Boat,boat,Let’s Drag Our Feet,2:51,Bring the strange
16,Boriska,The Claypool Lennon Delirium,claypool-lennon-delirium,South of Reality,5:25,All hail Jack Parsons
17,Girl On The Billboard,Chatham County Line,chatham-county-line,Under The Covers,2:44,Purdy breezy
18,Justice,Citizen Cope,citizen-cope,Heroin And Helicopters,4:05,Slow feel
19,BREAK
20,Running  ,Helado Negro,helado-negro,This Is How You Smile,4:25,Melting lethargically
21,New Eater Of Rainclouds,The Astounds,astounds,Get Alright With,1:46,Delicious fuzz
22,Bad Lady Goes to Jail,The Limiñanas,liminanas,Crystal Anis,3:15,Originally by John Wesley Coleman
23,BREAK
24,A Case of Funk,Nightmares On Wax,nightmares-on-wax,A Word of Science. The 1st & Final Chapter,5:19,Bubbling up
25,The Man Who Drinks,Forty Thieves Orkestar vs Mahala Raï Banda,forty-thieves-orkestar-vs-mahala-rai-banda,Electric Gypsyland 2,3:55,Up! Up! Up!
26,H Kobosta,Terror X Crew,terror-x-crew,,3:33,Rushin the Russian
27,In Heaven,Julian Lage,julian-lage,Love Hurts,4:35,So recognizable
28,BREAK
29,I No Know Featuring Tony Allen Ugochi,Chicago Afrobeat Project Feat Tony Allen,chicago-afrobeat-project-feat-tony-allen,What Goes Up,3:36,featuring the Allen stutter
30,Spanish Bombs,The Clash,clash,London Calling,3:19,Spanish bombs in Costa Rica
31,1-2-3,Zoobombs,zoobombs,Let It Bomb,1:18,Live and lovin it
32,Goodbye Girl,Squeeze,squeeze,Argybargy,3:04,She’s gone
33,BREAK
34,The Great Pixley Train Robbery,Cass McCombs,cass-mccombs,Tip of the Sphere,4:01,Life on the rails
35,Cry Cry Cry,Sally Timms,sally-timms,Cowboy Sally's Twilight Laments for Lost Buckaroos,3:09,No one croons like Sally
36,Wet Suit,The Coctails,coctails,Early Hi-Ball Years,2:25,Sticks to you
37,You Are Never Alone (Jewish Cowboy),Socalled,socalled,,4:27,It’s a long ride to where we’re going
38,BREAK
39,I Found A Love,Jim Jones and the Righteous Mind,jim-jones-righteous-mind,CollectiV,3:10,Out of control
40,Ex-Darling,Chris Murray,chris-murray,The 4-Track Adventures of Venice Shoreline Chris,4:19,Forget about calling
41,"All Right, Yeah",Juliana Hatfield,juliana-hatfield,Weird,2:26,Sharp as a tack
42,BREAK
43,"Hey Boy, Get Off My Ferns",What!,what,What?,3:31,Or I’ll break every bone in your body
44,Seyewailo,Cochemea,cochemea,All My Relations,5:00,A groove supreme
45,Probably Newspaper Smiles,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,0:54,Too short
46,The Chant (Iquo Isang),Ibibio Sound Machine,ibibio-sound-machine,Uyai,4:30,Wake up time
47,BREAK
48,Bad Timing,The Cannanes,cannanes,Bad Timing,1:59,Carefree twangs
49,Am I Wrong?,Low Cut Connie,low-cut-connie,Dirty Pictures (Part 1),3:02,Smeared-out boogie
50,At The Frank Black Show,Tracy Spuehler,tracy-spuehler,It's the Sound,2:46,Hidden gem
51,BREAK
52,No Control,The Molochs,molochs,America's Velvet Glory,3:15,Hit the retro
53,Pétassine,Luigee Trademarq,luigee-trademarq,Bande original,3:51,Music for doin it
54,Alien Motion Technology,Teenage Bottlerocket,teenage-bottlerocket,Stealing the Covers,1:42,Blasting red hot
55,High As A Kite,Weezer,weezer,Weezer (Black Album),3:47,Pleasant enough
56,BREAK
57,Elektrobank,The Chemical Brothers,chemical-brothers,Dig Your Own Hole,8:19,Shocks and zaps
