sequence,song,artist,artist_slug,album,time,notes
1,Work,Frankie and the Witch Fingers,frankie-witch-fingers,ZAM,4:13,Reciprocity
2,Malibu Love Nest,Luna,luna,Rendezvous,4:32,Same ole slack
3,Come Back Again,Ondatrópica,ondatropica,Baile Bucanero,3:28,Sparse riddim
4,BREAK
5,Liberty Belle,Fontaines D.C.,fontaines-d-c,Dogrel,2:32,Guitar attack
6,I Followed The River South To What,Cass McCombs,cass-mccombs,Tip of the Sphere,7:37,Rolling drone
7,Where The Heart Is,Martin Frawley,martin-frawley,Undone At 31,3:22,So very Momus
8,Convenient Store,The Hi-Balls,hi-balls,Love Music,1:46,Quite the inventory
9,BREAK
10,Sleeping In,The Postal Service,postal-service,Give Up (Deluxe 10th Anniversary Edition),4:21,Gentle alarms
11,Do It to Music,Juliana Hatfield,juliana-hatfield,Weird,4:22,Best way to do it
12,What's That Perfume That You Wear?,Jens Lekman,jens-lekman,Life Will See You Now,3:31,Scently romantic
13,Wasted Memory,Mike Krol,mike-krol,Power Chords,2:05,Power chording
14,BREAK
15,I Have The Password To Your Shell Account,Barcelona,barcelona,Simon Basic (Expanded Edition),3:10,I tried your birthday
16,Derezzed,Daft Punk,daft-punk,TRON: Legacy,1:44,TRON!
17,Ordinary Pleasure,Toro Y Moi,toro-y-moi,Outer Peace,3:04,Jacuzzi discotheque
18,Leave Them Wanting More,Yoni Gordon & The Goods,yoni-gordon-goods,,3:09,Rocking out
19,BREAK
20,Memory Lane,Anemone,anemone,Beat My Distance,4:51,It’s very sweet
21,The Last Time,Chatham County Line,chatham-county-line,Under The Covers,3:18,Originally by the Rolling Stones
22,I Know I'm Alive,Old Time Relijun,old-time-relijun,See Now and How,3:14,Channeling the wildman
23,BREAK
24,Soul Revival,Westbound Train,westbound-train,Transitions,3:57,The real deal
25,Soul Makossa,Manu Dibango,manu-dibango,Afro-Soul Machine,4:12,Ancient afrodub
26,I'd Better Not,Mitchell Froom,mitchell-froom,Dopamine,3:13,Striding with a piano
27,Moderna Muchacha,Joe Loco And His Orchestra,joe-loco-his-orchestra,Let's Go Loco,2:39,Strippin music
28,BREAK
29,Qualm of Innocence,The Fresh & Onlys,fresh-onlys,Wolf Lie Down,4:46,Understated
30,Don't Let Me Wait Too Long,Late BP Helium,late-bp-helium,,2:53,Originally by George Harrison
31,Inches And Falling,The Format,format,Dog Problems,3:30,The sterling galloppe
32,Best Of Friends,Palma Violets,palma-violets,180,3:31,Squalling and over-reverberated
33,BREAK
34,London,Jeff Lang,jeff-lang,Between the Dirt and Sky,4:23,Impressive slide
35,Mark Price P.I.,Archers Of Loaf,archers-of-loaf,,2:03,Presaging Barry Black
36,Never Enough,Piroshka,piroshka,Brickbat,3:59,Searing guitar work
37,Selfie Of A Man,Delicate Steve,delicate-steve,Till I Burn Up,3:23,Electric electric guitar
38,BREAK
39,Love Hurts,Julian Lage,julian-lage,Love Hurts,4:46,The hidden melody
40,Deadzone,Ladytron,ladytron,Ladytron,4:26,Where’s Walken?
41,Falsa Baiana,Paulinho Moska,paulinho-moska,Woman On Top,3:11,Cool down
42,BREAK
43,Krai Dunavsko ,Boom Pam,boom-pam,Puerto Rican Nights,5:56,Masters of tempo
44,Cocoa,Assagai,assagai,Assagai (Remastered),4:06,Swaying music
45,Water On Mars,The Nude Party,nude-party,The Nude Party,3:30,Journey through space
46,Chuma Finds A Baby,Charming Turtlenecks,charming-turtlenecks,,2:26,Poolside
47,BREAK
48,Unfulfilled,Jennyanykind,jennyanykind,Blues Of The Afflicted,3:16,I’m afflicted
49,Imagining What To Do,Helado Negro,helado-negro,This Is How You Smile,3:23,Melting sounds
50,Prog Demons,The Astounds,astounds,Get Alright With,1:27,Blasting
51,BREAK
52,Sarah,Humbert,humbert,Humbert,2:40,Big sounds
53,Gotta Get Into Something,Gary Clark Jr.,gary-clark-jr,This Land,3:04,Somewhat punky
54,Ajoen Ajoen,The Royal Fingers,royal-fingers,Wild Eleki Deluxe,1:53,Tickling the wires
55,Belly,American High,american-high,UN Article 14,3:46,Ain’t you full yet?
