sequence,song,artist,artist_slug,album,time,notes
1,Crazy Energy Night,Pom Poko,pom-poko,Birthday,3:27,Very much the like
2,Shanty,Dumm-Dumms,dumm-dumms,,1:41,Truth in advertising
3,Dream Child,Ozwald,ozwald,Sweet Delirium,4:14,Quite magnetic
4,BREAK
5,Goin' Out West,The Woolly Bushmen,woolly-bushmen,In Shambles,3:48,Highly recommended
6,El Chepe,Vulfpeck,vulfpeck,The Beautiful Game,4:48,Smooth velvet funk
7,Bring Your Love To Me,Chris Murray,chris-murray,The 4-Track Adventures of Venice Shoreline Chris,4:20,Copper ore or bust
8,BREAK
9,Sunshine (Back To The Start),Anemone,anemone,Beat My Distance,5:31,Sunshine and light
10,A Place In The Sun,Telekinesis,telekinesis,Effluxion,2:20,Fuzzy fuzzy Apples
11,Who Am I,Toro Y Moi,toro-y-moi,Outer Peace,3:29,The subtle boogie
12,BREAK
13,Old Engine Oil,The Budos Band,budos-band,The Budos Band V,3:11,Fruit stands beware
14,Dos Caras,La Dame Blanche,la-dame-blanche,Bajo El Mismo Cielo,3:22,Comes the night
15,Hurricane Laughter,Fontaines D.C.,fontaines-d-c,Dogrel,4:51,Strong forces
16,You Wanna Die,Les Thugs,les-thugs,As Happy As Possible,6:41,French breaknecking
17,BREAK
18,Zam,Frankie and the Witch Fingers,frankie-witch-fingers,ZAM,8:27,So epic
19,Trouble,Cage The Elephant,cage-elephant,Tell Me I'm Pretty,3:46,With a high yodel
20,Loander My Guitar,Willie Wisely,willie-wisely,She (Deluxe Remastered Edition),2:46,Not the Gibson SG!
21,BREAK
22,13 Months In 6 Minutes,The Wrens,wrens,The Meadowlands,6:50,That’s nothing
23,Winners Circle,Daddy Long Legs,daddy-long-legs,Lowdown Ways,3:21,Twist it to the limit
24,Voce Gosta?,Tom Zé,tom-ze,Você Gosta? / Feitiço - EP,2:23,Sai
25,BREAK
26,Dreamer,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,When the Morning Greets You,2:36,Good organ hustle
27,Feeding Snakes,Animal Eyes,animal-eyes,Where We Go,4:11,Home is the drone
28,"Green Haze, Pt. 1 & 2",Elvis Hitler,elvis-hitler,,2:34,From the land before mashups
29,BREAK
30,Finns For Our Feet,The Oranges Band,oranges-band,All Around,2:47,They come in handy
31,Somos La Resistencia,The Myrrors,myrrors,Hasta La Victoria,3:03,Yelling across the void
32,The Swimmer,Tracker,tracker,Polk,4:16,Dust blowing on the dry creek bed
33,Soft Velvety 'Fer,MC Honky,mc-honky,I Am the Messiah,3:53,Are you there?
34,BREAK
35,Rammy Taxi Illuminati,Imperial Wax,imperial-wax,Gastwerk Saboteurs,9:41,Many movements
36,אני מקיא,Habiluim,habiluim,הבילויים,1:55,A statement of anger
37,This World Owes Me A Buzz,Spot 1019,spot-1019,Still... Again,2:31,Pay your debts
38,BREAK
39,Sideshow,Calexico,calexico,The Black Light (20th Anniversary Edition),2:02,Welcome to the show
40,Silence Is Golden,Forro In The Dark,forro-in-dark,Light a Candle,3:25,Keep it shut
41,The Hubble Constant,Kid Koala,kid-koala,Music To Draw To: Satellite,5:05,Tinkles from space
42,Everyone's Gone To The Movies,Steely Dan,steely-dan,Katy Lied,3:59,By request
43,BREAK
44,Bad Haircut,Nevada Bachelors,nevada-bachelors,Carrots & So On,2:51,Showed up
45,Swing Bop,Der Dritte Raum,der-dritte-raum,Swing Bop - Remixes - Single,6:45,Electroswing time
46,Love Your Money,Daisy Chainsaw,daisy-chainsaw,Eleventeen,2:39,Fun times!
47,BREAK
48,The Wind Cries Mary,The Jimi Hendrix Experience,jimi-hendrix-experience,Are You Experienced?,3:21,Possibly my favorite
49,I Ain't The One,Spoon,spoon,Hot Thoughts,3:48,This intro means business
50,Everybody Wants To Know,Swell,swell,Everybody Wants to Know,4:46,An unmatched sound
51,BREAK
52,Dips + Peaks,The Sensualists,sensualists,The Sensualists,3:41,Getting it on and out
