sequence,song,artist,artist_slug,album,time,notes
1,Big,Fontaines D.C.,fontaines-d-c,Dogrel,1:46,Gotta be big
2,Tombes Oubliées,The Brian Jonestown Massacre,brian-jonestown-massacre,The Brian Jonestown Massacre,4:29,Your partial Velvets
3,What If You Knew,Karl Denson's Tiny Universe,karl-denson-s-tiny-universe,KDTU - 2019 - Gnomes & Badgers,4:41,Super saucy
4,American Food Chain,The Free Radicals,free-radicals,Outside The Comfort Zone,1:09,Very very honky
5,BREAK
6,Célaphine,Daddy Long Legs,daddy-long-legs,Lowdown Ways,3:12,Is it spicy enough?
7,Lou Barlow,The Get Up Kids,get-up-kids,Problems,2:18,Kinda famous
8,Mahalageasca (Bucovina Dub),Mahala Rai Banda,mahala-rai-banda,Electric Gypsyland 2,4:19,Pure paprika
9,Vexamao,Pele & Elis Regina,pele-elis-regina,,2:17,What are they talking about?
10,BREAK
11,Moving Target,The Wild Reeds,wild-reeds,Cheers,3:04,Happy soundings
12,Daytripper,Pom Poko,pom-poko,Birthday,2:40,I can hear the Beatles influence
13,Dun Dun,Los Amigos Invisibles,los-amigos-invisibles,Super Pop Venezuela,2:54,Some much-needed tropical
14,Rex's Blues,Entrance,entrance,Wandering Stranger,3:10,Tragic
15,BREAK
16,Teenage Dream (Looper Remix),IQU,iqu,Teenage Dream,3:58,A Japan / Scotland collaboration
17,Cora,The Mommyheads,mommyheads,,4:28,The always-intriguing Adam Elk
18,Song Seven,Swell,swell,41 Is 20,4:45,Hazy afternoon drive
19,Who Loves The Sun,The Velvet Underground,velvet-underground,,2:46,Who cares what it does?
20,BREAK
21,Fana,La Dame Blanche,la-dame-blanche,Bajo El Mismo Cielo,3:39,She’s not kidding
22,Cruel To Be Kind,Los Straitjackets,los-straitjackets,"What's So Funny About Peace, Love And Los Straitjackets",3:18,A soulful treatment
23,Women Tied Up In Knots,Bongwater,bongwater,The Power of Pussy,0:49,Those Japanese magazines
24,BREAK
25,They Don't Know,Matthew Sweet & Susanna Hoffs,matthew-sweet-susanna-hoffs,"Under the Covers, Volume 3",3:02,Missing Kirsty MacColl
26,La Vida Es Llena De Cables,Señor Coconut,senor-coconut,Around the World With Señor Coconut and His Orchestra,4:24,Alternate reality Kraftwerk
27,I Pushed You,The Woolly Bushmen,woolly-bushmen,In Shambles,3:01,Hottest thing outta Florida
28,Billboard 2,Perio,perio,Medium Crash (20th Year Anniversary Reissue),3:24,Truly Swedish
29,BREAK
30,Brazzaville,Stewart Copeland,stewart-copeland,The Rhythmatist,4:12,Chanting to start
31,Jimmy's Off,Nevada Bachelors,nevada-bachelors,Carrots & So On,3:25,Names have been changed
32,Sunday Driver,The Rebel Set,rebel-set,Smidgen Pigeon,2:34,Every day of the week
33,Da Funk,Daft Punk,daft-punk,Homework,5:30,Enjoy the video
34,BREAK
35,I Am The Cosmos,This Mortal Coil,this-mortal-coil,Blood (Remastered),4:06,Originally by Big Star
36,Hallelujah Strike Gold,White Denim,white-denim,Side Effects,3:18,In five
37,Slaughter on 10th Avenue,Socalled,socalled,Ghettoblaster,2:13,Slowing down
38,Spectral Dawn,John Vanderslice,john-vanderslice,The Cedars,5:09,It’s an eerie quest
39,BREAK
40,Effluxion,Telekinesis,telekinesis,Effluxion,3:33,Fills out nicely
41,Piano,French Kicks,french-kicks,Young Lawyer,2:58,Oddly gaited
42,Honey Come Closer,Push Kings,push-kings,Feel No Fade,5:14,American music
43,BREAK
44,Blue Flowers,Dr. Octagon,dr-octagon,Dr. Octagonecologyst,3:17,Your insurance is high
45,Ambulance,These Animal Men,these-animal-men,"(Come On, Join) The High Society",4:19,Too obscure by far
46,Bleep,Matt Surfin and Friends,matt-surfin-friends,Matt Surfin and Friends,3:19,So relaxing
47,BREAK
48,Fallin Out,Øzwald,ozwald,Sweet Delirium,3:05,Supertramp it
49,Mr. Pushkin Came to Shove,Combustible Edison,combustible-edison,The Impossible World,4:39,Music for your heist
50,Tura Satana,Flat Duo Jets,flat-duo-jets,White Trees,1:36,Bomb the twist
51,BREAK
52,The Art of Projection,Imperial Wax,imperial-wax,Gastwerk Saboteurs,4:06,Nonstop fury
53,Casanova Lament,Frank Turner,frank-turner,Campfire Punkrock,2:16,Lamentable
54,Se Todos Fossem Iguais a Você,Cris Delanno,cris-delanno,Grandes Canções: Clássicos de Tom Jobim,2:30,By Bossacucanova
55,Strobe Light Beatdown (Bonus Track),Monster Magnet,monster-magnet,Last Patrol,4:26,A menacing waltz
56,BREAK
57,Almost Home,Moby,moby,Innocents,6:01,Sparkling moodtime
