sequence,song,artist,artist_slug,album,time,notes
1,I Need You To Be Sweet Like Sugar (Nnge Nte Suka),Ibibio Sound Machine,ibibio-sound-machine,Doko Mien,4:44,All the time
2,My Darlin' New Orleans,Lil' Queenie And The Percolators,lil-queenie-percolators,,4:01,The staggering march
3,Baby,Os Mutantes,os-mutantes,World Psychedelic Classics 1: The Best of Os Mutantes,3:38,Ultimate counterpoint
4,BREAK
5,We Do It Different On The West Coast,The Mountain Goats,mountain-goats,Goths,5:21,Goths
6,Going Under,Devo,devo,New Traditionalists,3:28,Implacable descent
7,Long Shot Bus Me Bet,The Pioneers,pioneers,This Is Trojan Rock Steady,2:44,It’s the beat
8,BREAK
9,Family Ghost,Jeff Tweedy,jeff-tweedy,Warmer,3:04,Just wandering
10,Honey,Drugdealer and Weyes Blood,drugdealer-weyes-blood,Raw Honey,4:28,The Canyon sound
11,Back Of Your Mind,Danielle Howle,danielle-howle,,4:10,Live and in person
12,BREAK
13,We've Been Here Before,Bells Atlas,bells-atlas,The Mystic,3:40,"Starting, stopping, scatting"
14,Single Girl,Lush,lush,Lovelife,2:35,Always in a rush
15,Now We're Six,SSM,ssm,Break Your Arm for Evolution,2:49,This many
16,Rose Rouge,St Germain,st-germain,Tourist,6:57,Slightly smoky
17,BREAK
18,Bill's Mandolin,Psychedelic Porn Crumpets,psychedelic-porn-crumpets,And Now For The Whatchamacallit,3:31,Look for the intense video!
19,El Matador,Los Fabulosos Cadillacs,los-fabulosos-cadillacs,Vasos Vacios,4:35,Batucada time
20,Ghost Town,The Specials,specials,Greatest Hits,5:51,This town
21,BREAK
22,Fearless,Dressy Bessy,dressy-bessy,Fast Faster Disaster,4:12,Salty Denver caramel
23,Unsung Songs,Ages And Ages,ages-ages,Me You They We,3:59,A distant choir
24,Cosmic Queen,Pearl Earl,pearl-earl,Pearl Earl,4:25,The pounding and thundering
25,When You Said Goodbye,Coco Hames,coco-hames,Coco Hames,2:42,Nicely old-fashioned
26,BREAK
27,The Bottom of It,Fruit Bats,fruit-bats,Gold Past Life,3:01,Perfectly pastoral
28,La Naranja Madura,Ondatrópica,ondatropica,Baile Bucanero,4:07,Ripening orange
29,Math,Supernova,supernova,Ages 3 and Up,2:18,It’s a pop quiz you know
30,BREAK
31,Long Chord,Versing,versing,10000,3:04,Indie jangle
32,I Think She Likes Me,Treat Her Right,treat-her-right,Treat Her Right,3:40,Missing Mark Sandman
33,Livin' In Sin,Dan Auerbach,dan-auerbach,Waiting On A Song,2:25,Doesn’t sound too bad
34,211*,Tommy Guerrero,tommy-guerrero,Perpetual,2:49,Threeing it up
35,BREAK
36,Thick Skin,The Mystery Lights,mystery-lights,Too Much Tension!,4:08,Not to be trifled with
37,Bombs Away,Charlotte Gainsbourg,charlotte-gainsbourg,Take 2,3:48,Accelerando
38,Angela,Jarvis Cocker,jarvis-cocker,Further Complications,2:56,Via Pulp
39,BREAK
40,No God,Hot Chip,hot-chip,A Bath Full Of Ecstasy,5:38,The new Pet Shop Boys
41,Baby,Beach House,beach-house,B-Sides And Rarities,3:03,Scandinavian details
42,"Nothing, Please",Glass Eye,glass-eye,Hello Young Lovers,3:01,Austin maniacs
43,BREAK
44,Marsha,Current Swell,current-swell,When to Talk and When to Listen,2:44,About a girl
45,Cleveland Rocks!,The Presidents of The United States of America,presidents-of-united-states-of-america,Pure Frosting,2:40,The epicenter
46,I Clone Me,Cigarbox Planetarium,cigarbox-planetarium,Cigarbox Planetarium,2:20,The stars align
47,BREAK
48,Bmbmbm,black midi,black-midi,Schlagenheim,4:57,She moves with a purpose
49,Quopern,Ruins,ruins,Vrresto,3:35,Whiplashed
50,Bobby's Boyfriend,Fat White Family,fat-white-family,Serfs Up!,4:01,I have my suspicions
51,A Journey To Reedham [7AM Mix],Squarepusher,squarepusher,Big Loada,6:36,Swampland crossing
52,BREAK
53,All For Me Grog,Rube Waddell,rube-waddell,Greatest Hits,3:27,A true drinking song
