sequence,song,artist,artist_slug,album,time,notes
1,We Do What We Do Best,Imperial Teen,imperial-teen,Now We Are Timeless,3:09,What they do best
2,Mexico,Handsome Devil,handsome-devil,"Weeds (Music from the Original TV Series), Vol. 4",3:43,The ticky tacky
3,Dick Serious,Butter 08,butter-08,Butter 08,3:22,Unmistakable boosexposion
4,BREAK
5,Xeno Bobby,Generationals,generationals,Reader As Detective,2:59,Lovely illegible
6,Rainy Day Sun,Spinal Tap,spinal-tap,Break Like The Wind,3:42,I think they’re mocking the Rutles
7,Orphan,Jeff Tweedy,jeff-tweedy,Warmer,2:46,Lighting candles
8,Doesn't Matter,Dude York,dude-york,Falling,3:33,Sing along
9,BREAK
10,Cyboogie,King Gizzard And The Lizard Wizard,king-gizzard-lizard-wizard,Fishing For Fishies,6:48,Robots on nitrous
11,Ponerte En Cuatro,Los Amigos Invisibles,los-amigos-invisibles,The New Sound of the Venezuelan Gozadera,4:33,Getting way down
12,Cosita Rica,Bomba Estereo,bomba-estereo,Blow Up,4:38,Out of Colombia
13,BREAK
14,Dirty Shirt,METZ,metz,Automat,2:29,The pounding
15,Hurly / Burly,Man Man,man-man,Rabbit Habits,3:51,Circus of menace
16,Snowball,Zzzz,zzzz,Palm Reader,3:50,Stick the landing
17,Somebody's Gonna Get Their Head Kicked In,The Rezillos,rezillos,Can't Stand the Rezillos - The (Almost) Complete Rezillos,1:54,Mac attack
18,BREAK
19,Black Friday,Palehound,palehound,Black Friday,3:24,The whispers
20,Years Ago,black midi,black-midi,Schlagenheim,2:35,Unsettled
21,Ohne Titel,Huah!,huah,Scheiß Kapitalismus,3:01,Maybe untitled?
22,BREAK
23,The Baal Shem Tov (feat. Joey Dosik),The Fearless Flyers,fearless-flyers,The Fearless Flyers II,3:25,The afro-funk
24,Traces,The Mystery Lights,mystery-lights,Too Much Tension!,3:29,Love me some redline vocals
25,Wolf Lie Down,The Fresh & Onlys,fresh-onlys,Wolf Lie Down,3:43,Loping
26,Can't Stand It,B Boys,b-boys,Dudu,3:45,Anymore
27,BREAK
28,She's Lily Riptide,Kyle Craft,kyle-craft,Showboat Honey,3:44,You better explain it
29,Gut Feeling (Slap Your Mammy),Devo,devo,Q: Are We Not Men? A: We Are DEVO! - The DEVO-Lux Edition,4:56,Got a gut feeling
30,What Does Your Soul Look Like (Pt. 1 / Prince Paul Remix),DJ Shadow,dj-shadow,Endtroducing Re-Emagined,3:41,Slice and dice
31,BREAK
32,Before I Run,The Vestals,vestals,Songs About Girls...and other mysteries,3:07,Classic power pop
33,Crackity Jones,Pixies,pixies,Doolittle,1:24,Paco Picopiedra
34,Bossa Pre Due,Nicola Conte,nicola-conte,Break'n Bossa,5:50,Got the whoops
35,Arrumacao,Uakti,uakti,Uakti: Trilobyte,5:21,A delicate dance
36,BREAK
37,Boom Hazard,Gauche,gauche,A People's History Of Gauche,3:29,Do not the blink
38,Sister Death,The Jazz Butcher,jazz-butcher,,4:36,Like the Velvets
39,Bop Pills,The Cramps,cramps,Stay Sick!,2:24,Sick!
40,BREAK
41,Home Town,Okey Dokey,okey-dokey,Tell All Your Friend,3:04,It’s not too far
42,Piano,The French Kicks,french-kicks,Young Lawyer EP,2:58,Pound the ivories
43,Naima's Dream,The Mattson 2,mattson-2,Paradise,3:20,Feels so good
44,007 (Shanty Town),Desmond Dekker,desmond-dekker,This Is Trojan Rock Steady,2:31,Rude boys got no fear
45,BREAK
46,Baby Bye Bye,Mac DeMarco,mac-demarco,Here Comes The Cowboy,7:29,Epic composition
47,Shut That Door,The Wolfgang Press,wolfgang-press,Bird Wood Cage,5:40,Mama told me not to come
48,Motorcycle (Wet Clutch Short Edit),Alex Gopher,alex-gopher,,4:04,Go fast
49,BREAK
50,Possibilities,Lonely Trailer,lonely-trailer,Multimeteor,1:49,It’s not too far
51,Blood On The Coal,The Folksmen,folksmen,A Mighty Wind - The Album,3:07,It could happen
52,Skin Game,The Holy Modal Rounders,holy-modal-rounders,Too Much Fun!,2:24,Let your deal go down
53,BREAK
54,Walkabout,Blue States,blue-states,Nothing Changes Under the Sun,4:56,And don’t throw rocks
