sequence,song,artist,artist_slug,album,time,notes
1,Sometimes II,The Shivas,shivas,Dark Thoughts,3:57,Dragged out waltz time
2,Do Something,Smoking Popes,smoking-popes,It's Been a Long Day,4:33,Simple yet effective
3,Taste,Ty Segall,ty-segall,First Taste,3:36,Plunging fuzz attack
4,BREAK
5,Bed Of Needles #2,Kyle Craft,kyle-craft,Showboat Honey,3:09,Woozy reminiscing
6,Louder In Outer Space,Skating Polly,skating-polly,New Trick,4:12,Nina Gordon said it best
7,Peelin' Taters,Junior Brown,junior-brown,Long Walk Back,2:54,Slippery fella
8,Nightmare of a Woman (w/ Billy Zoom),Deke Dickerson & The Ecco-Fonics,deke-dickerson-ecco-fonics,More Million Sellers,2:51,Everyone knows one
9,BREAK
10,Company,Palehound,palehound,Black Friday,1:58,For the Gallery of Great Opening Lines
11,Mint Missiles,hollAnd,holland,The Paris Hilton Mujahideen,2:05,It is what it is
12,Omegaman,The Police,police,Ghost In The Machine,2:48,So tired
13,Lady Shoes,The Jesus Lizard,jesus-lizard,Goat,2:37,They sound tight
14,BREAK
15,Ha,Imperial Teen,imperial-teen,Now We Are Timeless,3:55,Well hello
16,Strict Machine,Goldfrapp,goldfrapp,Black Cherry,3:51,Originally by Suzi Quatro
17,Electric Boogaloo,Yerba Buena,yerba-buena,President Alien,4:02,Chopped fruit salad
18,The Sequel,Amon Tobin,amon-tobin,,5:43,Running standup
19,BREAK
20,Only If,Steve Lacy,steve-lacy,Apollo XXI,1:41,Slow jammed
21,#9,Frosted Ambassador,frosted-ambassador,,3:22,A pleasant jaunt
22,The Piano Has Been Drinkin' (Not Me),Dan Hicks,dan-hicks,Beatin' the Heat,3:30,Originally by Tom Waits
23,Goin' Out West [Live at Toe Rag Studios],Curse of Lono,curse-of-lono,4am and Counting,3:26,Is it an HST reference?
24,BREAK
25,Not OK,Violent Femmes,violent-femmes,Hotel Last Resort,2:34,Spirited comeback
26,I'll Follow Her,Holly Golightly & Dan Melchior,holly-golightly-dan-melchior,Desperate Little Town,2:26,Dirty gritty real
27,Sa Sabine,Les Sans Culottes,les-sans-culottes,Faux Realism,3:50,Delightfully franco-fauxnic!
28,Four Sticks,Bongwater,bongwater,,3:13,Low rumble
29,BREAK
30,Change Of Address / 433 Eros,Jason Lytle,jason-lytle,Arthur King Presents Jason Lytle: NYLONANDJUNO,5:17,On a limb
31,I Got You (I Feel Good),Drink Me,drink-me,Sleep,1:56,Goodest version ever
32,Truck Stop Shower,Smooth Hound Smith,smooth-hound-smith,Dog In A Manger,3:11,It’s an experience
33,People I Loved,Yeasayer,yeasayer,Erotic Reruns,2:46,nudisco
34,BREAK
35,The Daily Heavy,Oh Sees,oh-sees,Face Stabber,7:50,Squeakytoy mayhem
36,A Minor Bird,Young Fresh Fellows,young-fresh-fellows,It's Low Beat Time,4:36,Surprising segues
37,Blue Rita,The Green Goblyn Project,green-goblyn-project,Earth Must Be Destroyed,1:18,Hurricane music
38,Majaná,Bloque,bloque,Bloque,3:07,Blocked out
39,BREAK
40,What's Yours Is Mine,The Raconteurs,raconteurs,Help Us Stranger,2:49,Shared property
41,Extra Ordinary,Ultra Vivid Scene,ultra-vivid-scene,Joy 1967-1990,3:53,But you are
42,Transcendent,Baby In Vain,baby-in-vain,More Nothing,3:59,Shoegazey
43,BREAK
44,History,Gauche,gauche,A People's History Of Gauche,3:11,Mocking and jeering
45,Bumble Bee,Heavy Trash,heavy-trash,Midnight Soul Serenade,1:58,Getting some cramps
46,"Java (feat. Nicholas Payton, Donald Harrison Jr. & Trombone Shorty)",Stanton Moore,stanton-moore,With You In Mind,4:56,Gets you going
47,Collapsed in the Superdome,Oranger,oranger,,2:43,When did you get those pangs?
48,BREAK
49,Taste For Trash,B Boys,b-boys,Dudu,1:33,Likes the trash
50,Forgot Myself,Jen Cloher,jen-cloher,Jen Cloher,4:25,Somewhat disaffected
51,Creatures,The Orwells,orwells,Terrible Human Beings,2:31,Degenerating
52,Splinter,Mal Blum,mal-blum,Pity Boy,2:55,Slow builder
53,BREAK
54,Book of Rules,The Heptones,heptones,The Reggae Box (Disc 2),3:28,Wisdom
55,Can't Find My Way Home,Blind Faith,blind-faith,Blind Faith,3:16,Supergrouping
56,Sick Sick Love,Richard Julian,richard-julian,Richard Julian,3:44,The same same story
57,BREAK
58,Make Me A Pallet On Your Floor,Entrance,entrance,Wandering Stranger,6:55,Easy sleeper
