sequence,song,artist,artist_slug,album,time,notes
1,Jamie's Cryin',The Bird and The Bee,bird-bee,"Interpreting the Masters, Volume 2 (A Tribute to Van Halen)",3:54,Truer than ever
2,Love Ain't on the Run,Dub Narcotic Sound System Meets The Jon Spencer Blues Explosion,dub-narcotic-sound-system-meets-jon-spencer-blues-explosion,Sideways Soul,2:41,Bring the gronk
3,English Road,Kimberley Rew,kimberley-rew,Great Central Revisited,2:54,Rolling rolling
4,BREAK
5,Repetition,Ride,ride,This Is Not A Safe Place,3:17,Back for more
6,Silence,Portishead,portishead,Third,5:06,The dirtiest loops
7,We Want It! We Want It!,Boat,boat,Setting the Paces,3:26,What chaos!
8,Doomsday,Elvis Perkins,elvis-perkins,Elvis Perkins In Dearland,3:39,Sounds delightful
9,BREAK
10,Somedays (I Don't Feel Like Trying),The Raconteurs,raconteurs,Help Us Stranger,4:06,Very southern
11,Geordie la Forge,The Low Frequency In Stereo,low-frequency-in-stereo,Futuro,4:09,TNG
12,On Foreigner,Islands,islands,Vapours,4:52,No one will know
13,BREAK
14,Hotel Last Resort (feat. Tom Verlaine),Violent Femmes,violent-femmes,Hotel Last Resort,5:13,Genuine violence
15,Lobachevsky,Tom Lehrer,tom-lehrer,Poisoning Pigeons in the Park,3:11,The master
16,The Upshot,The Rondelles,rondelles,The Fox,2:20,Power trio
17,Hope,Internal / External,internal-external,Featuring...,4:04,Major bass tenths
18,BREAK
19,Get Yourself Together,The Black Keys,black-keys,Let's Rock,3:57,Low key encouragement
20,Jesus Wrote a Blank Check,Cake,cake,Motorcade of Generosity,3:10,Cash it already
21,Six And Eight,Les Hommes,les-hommes,Les Hommes,1:33,Just a blues in F
22,BREAK
23,Running,Gauche,gauche,A People's History Of Gauche,2:09,They sound cornered
24,Chick Flick,Winterbrief,winterbrief,Complaints From The Beauty Class,4:39,Double retro
25,Six Stringer Kicker,Bob Log III,bob-log-iii,Trike,2:39,One man wrecking crew
26,Favorite Show,Great Grandpa,great-grandpa,Plastic Cough,4:33,Majestic sounds
27,BREAK
28,I Want You,The Shivas,shivas,Dark Thoughts,2:01,Olde tyme scratch
29,The Axis,Thee Oh Sees,thee-oh-sees,A Weird Exits,6:11,An epic facemelting
30,Just Dropped In (To See What Condition My Condition Is In),Eagles of Death Metal,eagles-of-death-metal,EODM Presents Boots Electric Performing The Best Songs We Never Wrote,2:45,Cue the bowlers
31,51 Phantom,North Mississippi Allstars,north-mississippi-allstars,The Early Years,3:18,A beast of a machine
32,BREAK
33,Don't Wanna Let You Go,Imperial Teen,imperial-teen,Now We Are Timeless,3:48,Tip-tap electro drums
34,Poison,Ultra Vivid Scene,ultra-vivid-scene,Joy 1967-1990,3:42,Gentle and toxic
35,Love the Door,Stephen Malkmus,stephen-malkmus,Groove Denied,3:09,Off to a confusing start!
36,Air Running Backwards,Chandler Travis Philharmonic,chandler-travis-philharmonic,Waving Kissyhead Vol. 2 & 1,3:51,Return to AM radio
37,BREAK
38,The Party,Redd Kross,redd-kross,Beyond The Door,2:10,Mancini time!
39,Picture Of The Future,Treat Her Right,treat-her-right,Tied to the Tracks,2:46,Enter Sandman
40,Besos Y Caricias,Los Latigos,los-latigos,,2:02,Kisses and caresses
41,BREAK
42,Seven Eight,Ghost Funk Orchestra,ghost-funk-orchestra,A Song For Paul,3:13,Count it out
43,Native American Express (Taiwanese Umbrella),Persons,persons,,3:06,More off beats
44,Bonfires,Rosie and Me,rosie-me,Bird and Whale - EP,2:41,Builds up
45,Can't Take It No More,Junior Varsity,junior-varsity,Bam Bam Bam!,1:39,Bippy!
46,BREAK
47,The Swirl,Electric Spinach,electric-spinach,The Party on High Street,4:39,Big ass truckin’
48,Encyclopedia Of Classic Takedowns,AC Newman,ac-newman,Shut Down The Streets,4:00,I wish I had one
49,Good Sport,Widowspeak,widowspeak,Expect The Best,1:48,Sparseness
50,Inaugural Trams,Super Furry Animals,super-furry-animals,Dark Days/Light Years,5:21,Running day and night
51,BREAK
52,953,black midi,black-midi,Schlagenheim,5:21,Deconstructed
53,She's So Blonde,Illinois,illinois,The Adventures of Kid Catastrophe (Chapter 2) - EP,3:32,Cold and windy
54,Jelmore,Bon Iver,bon-iver,"i,i",2:30,Reassembled
55,BREAK
56,The Flow,Daniel Norgren,daniel-norgren,Wooh Dang,6:31,Flowing out
