sequence,song,artist,artist_slug,album,time,notes
1,Supersonics,Caravan Palace,caravan-palace,Chronologic,3:21,Perks you up
2,Radio Apeshot,Brainiac,brainiac,Bonsai Superstar,3:23,Waiting for the movie to stream…
3,Pictures Of Matchstick Men,Camper Van Beethoven,camper-van-beethoven,Key Lime Pie,4:10,Originally by Status Quo
4,BREAK
5,Don't Know Any,Le Big Zero,le-big-zero,Ollie Oxen Free,3:02,Spastic pop symphony
6,The More You Say You Know,Blue Skies for Black Hearts,blue-skies-for-black-hearts,Love Is Not Enough,3:29,Straight outta Portland
7,Endless Pain / Endless Joy,Ra Ra Riot,ra-ra-riot,Superbloom,3:09,Heavy artillery
8,Cake for Pronoun,Coyle & Sharpe,coyle-sharpe,Audio VIsionaries,2:28,My cohorts at work and I will consume it
9,BREAK
10,Crown,Jay Som,jay-som,Anak Ko,4:39,Slipping into Lush
11,John Hardy Was a Desperate Little Man,Petra Haden and Bill Frisell,petra-haden-bill-frisell,Petra Haden and Bill Frisell,2:41,A real trifecta
12,Towers Of London,XTC,xtc,The Compact XTC,4:38,True punk roots
13,I’m Nothing (feat. Stefan Janoski),Violent Femmes,violent-femmes,Hotel Last Resort,2:27,True nihilism
14,BREAK
15,The Thing Is,Foxygen,foxygen,Seeing Other People,3:37,Sounding quite Bossy
16,Malibu,Boom Pam,boom-pam,Alakazam,4:27,Tuba surf
17,Ten More Minutes to Live,House of Freaks,house-of-freaks,Tantilla,2:32,Grim thoughts
18,The Lighthouse Keeper,Alfie,alfie,A Word In Your Ear,4:17,Pastoral tick tock
19,BREAK
20,Campus Life,The Sure Fire Soul Ensemble,sure-fire-soul-ensemble,Build Bridges,3:39,Hott funkk
21,Summer Blue,Money Mark,money-mark,Father Demo Square,3:26,Summer cool
22,Mere Imposters,Solex,solex,Low Kick and Hard Bop,2:24,Kicking the toy box
23,Pussy Cat Rocks,Pepe Deluxe,pepe-deluxe,Spare Time Machine,2:22,Hissss
24,BREAK
25,James Bond,Iggy Pop,iggy-pop,Free,4:31,Slow it down
26,Rebel Rebel,David Bowie,david-bowie,Diamond Dogs [2016 reissue],4:35,Hot tramp
27,Xanadu,Zero Zero,zero-zero,A.M. Gold,3:48,Spiraling through a dream
28,This Swirling,Frankie Cosmos,frankie-cosmos,Close It Quietly,2:46,Strums
29,BREAK
30,Your Inarticulate Boyfriend,Jenny Toomey,jenny-toomey,Tempting,3:13,He can barely form a compound sentence
31,Ukulele Lady,Petty Booka,petty-booka,Ukulele Lady,3:06,Super adorbs
32,Suddenly Upsidedown,Oranger,oranger,The Quiet Vibration Land,3:08,Best of 2001
33,BREAK
34,"Sandpaper One Side, Rubber On The Other",The Bobby Tenderloin Universe,bobby-tenderloin-universe,The Bobby Tenderloin Universe,4:01,The new dark country
35,Hey Gyp (Dig The Slowness),The Raconteurs,raconteurs,Help Us Stranger,2:25,Originally by Donovan
36,Back Door,Treat Her Right,treat-her-right,Tied to the Tracks,4:00,Howling at the back door
37,(I Know) The Trip,Swell,swell,Too Many Days Without Thinking,4:34,Losing count
38,BREAK
39,Rated R Crusaders,Ezra Furman,ezra-furman,Twelve Nudes,2:17,The start and the stop
40,Buddy Holly,The Moog Cookbook,moog-cookbook,The Moog Cookbook,4:14,Intro via Jean-Michel Jarre
41,"April 29th, 1992 (Miami)",Ozomatli,ozomatli,Look at All the Love We Found,3:32,Quite sublime
42,BREAK
43,Madalena,Gilberto Gil,gilberto-gil,Barra 69,3:57,Brazil classic
44,Wet Rainbow,Tipsy,tipsy,Buzzz,3:10,Stretching through space
45,The Kindest Cut,Ultra Vivid Scene,ultra-vivid-scene,Joy 1967-1990,3:11,Whispered entreaties
46,Sunflower,Low,low,Things We Lost in the Fire,4:39,Ancient subtleties
47,BREAK
48,Turn Me On,The Shivas,shivas,Dark Thoughts,2:12,Hit that switch
49,Mort Clinique,Magnetix,magnetix,Live In San Francisco,4:29,Grind and fuzz
50,Her Eyes Are A Blue Million Miles,Captain Beefheart,captain-beefheart,The Big Lebowski,2:54,From the abstract dimension
51,BREAK
52,The Ballad Of Paul Yates,The Philistines Jr.,philistines-jr,Analog Vs. Digital,3:55,There is a new video!
53,When You're Next To Me,Mitch & Mickey,mitch-mickey,A Mighty Wind,2:59,Folk genius
54,New City Rock,Jimmy Nations Combo,jimmy-nations-combo,Tarheel Boogie,2:06,The real cool cats
55,BREAK
56,Electrocuted,Babe Rainbow,babe-rainbow,Today,9:03,Afrobeat to go
