sequence,song,artist,artist_slug,album,time,notes
1,I Wanna Be Your Girlfriend,Ezra Furman,ezra-furman,Twelve Nudes,3:29,Old tyme
2,Let Me Find The Good In You,The Kiss Offs,kiss-offs,Rock Bottom,2:54,Organ grind
3,When I Will Be Loved,The Fucking Eagles,fucking-eagles,,1:21,Updated
4,Monkey Man,The Specials,specials,,2:46,For Generoso … happy G-day!
5,BREAK
6,Funky I Like It,Babe Rainbow,babe-rainbow,Today,4:44,Let’s get mellow
7,Indian Summer,Benjamin Gibbard,benjamin-gibbard,,2:59,Originally by Beat Happening
8,ONE ONE,Velvet Negroni,velvet-negroni,NEON BROWN,3:11,Fingerscrapes
9,A Check for Daniel,Ra Ra Riot,ra-ra-riot,Superbloom,3:45,Devo-esque
10,Quiver Of Grain,The Rants,rants,,2:36,Undercover
11,BREAK
12,Face First,The Paranoyds,paranoyds,Carnage Bargain,3:23,Music for driving too fast
13,Casey's Groove,Twin Peaks,twin-peaks,Lookout Low,4:05,Pulsing strong
14,Waiting Room,Holly Golightly,holly-golightly,,2:19,Not the Fugazi song
15,Everlasting You,Violent Femmes,violent-femmes,Hotel Last Resort,2:13,Very somber
16,BREAK
17,Swampers (feat. Chris Thile),The Fearless Flyers,fearless-flyers,The Fearless Flyers II,3:26,Funky mando
18,Rouge à lèvres,Le Couleur,le-couleur,,0:59,Brief stereo labbing
19,Cadillac,Combustible Edison,combustible-edison,,1:41,From La Dolce Vita
20,The Souvlak,Boom Pam,boom-pam,,4:17,Opa!
21,This Is Home,Brother Big Bad,brother-big-bad,,2:30,Mysterious band
22,BREAK
23,"She’s Making Friends, I’m Turning Stranger",Purple Mountains,purple-mountains,Purple Mountains,4:11,A voice that will be missed
24,My Baby's A Dick,The Elected,elected,,3:31,California jitters
25,With Great Purpose,Frankie Cosmos,frankie-cosmos,Close It Quietly,1:23,Delicate tinkles
26,Sonny Boy,Owsley,owsley,,4:23,Another lost soul
27,BREAK
28,Miracle,Caravan Palace,caravan-palace,Chronologic,3:36,Dance the world
29,Business,Pluxus,pluxus,,3:01,Your digital barista
30,Block Of Ice,Thee Oh Sees,thee-oh-sees,,2:14,Cold cold cold
31,Jackson Cannery,Ben Folds Five,ben-folds-five,,3:24,Stop the bus
32,BREAK
33,Dryer Lint Trap,Le Big Zero,le-big-zero,Ollie Oxen Free,1:13,Falling down the musical stairs
34,Kudzu Limbo,Southern Culture On The Skids,southern-culture-on-skids,,2:47,How low can you go?
35,Hate,Cinerama,cinerama,,3:19,I’m glad you agree
36,Dirty City Rainy Day,King Kong,king-kong,,2:57,Outta KY
37,BREAK
38,Life Isn't Fair,Smooth Hound Smith,smooth-hound-smith,Dog In A Manger,2:44,The sweet major third
39,Baise Ça,Listing Ships,listing-ships,,3:56,French cussing
40,Little M,Flat Duo Jets,flat-duo-jets,,2:33,Kid stuff
41,Konnakkol,Karnataka College Of Percussion,karnataka-college-of-percussion,,2:26,Classic technique
42,BREAK
43,Black Dog,Dread Zeppelin,dread-zeppelin,,5:21,Costard paie
