sequence,song,artist,artist_slug,album,time,notes
1,Into the Water,Drunken Prayer,drunken-prayer,Cordelia Elsewhere,2:51,Country offbeats
2,Mr. Polydactyl Cat,Levitation Room,levitation-room,Headspace,3:35,For Keith Hayes
3,Adventures Of Rabbi Jacob,The Astroglides,astroglides,Beyond the Sea,1:43,Slip n’ surf
4,BREAK
5,Here Come The Warm Dreads (feat. Brian Eno),"Lee ""Scratch"" Perry",lee-scratch-perry,Heavy Rain,4:51,Fantastic matchup
6,Interspace,STRFKR,strfkr,"Being No One, Going Nowhere",1:11,Interlude
7,Duppy Conqueror,David Hillyard & The Rocksteady 7,david-hillyard-rocksteady-7,United Front,7:57,That beat
8,Ghosts,Caravan Palace,caravan-palace,Chronologic,1:29,Spooky
9,BREAK
10,Something's Got To Give,The Schizophonics,schizophonics,People In The Sky,5:30,See some action
11,Woodstock Snap,HalfNoise,halfnoise,Natural Disguise,1:22,The gnu psychedelia
12,In the Arms of Mrs. Mark of Cain,Pixies,pixies,Beneath The Eyrie,4:12,The late sound
13,Red Bula,Balkan Beat Box vs Mahala Raï Banda,balkan-beat-box-vs-mahala-rai-banda,Electric Gypsyland 2,4:41,A definitive swagger
14,BREAK
15,In The Mud,The Bobby Tenderloin Universe,bobby-tenderloin-universe,The Bobby Tenderloin Universe,2:34,Dusty as well
16,Lucky 13,Bodeco,bodeco,Callin' All Dogs,2:17,Hot jams
17,We Are A & C,Arling + Cameron,arling-cameron,We Are A & C,4:02,The early AIs
18,Night On Fire,VHS Or Beta,vhs-or-beta,Night On Fire,4:02,Disco time
19,BREAK
20,Jaws Of Life,The High Dials,high-dials,Primitive Feelings,2:39,Very Manchester
21,Very Rare,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,3:05,Like your steak
22,One On One,Illinois,illinois,What the Hell Do I Know?,2:33,Flat and wide
23,BREAK
24,I Know Where The Summer Goes,Belle and Sebastian,belle-sebastian,Days of the Bagnold Summer,4:23,On the first snowfall
25,"Hank, Karen And Elvis",Young Fresh Fellows,young-fresh-fellows,The Men Who Loved Music,1:59,Tragedy
26,Skinny Dippin',Team USA,team-usa,Listen To The Night,2:49,Theoretically speaking
27,Inner Voice,Cones,cones,Pictures of Pictures,4:25,Dark ‘80s night
28,BREAK
29,You're Either On Something,Temples,temples,Hot Motion,3:47,Wall of sound production
30,Ain't No Rest For The Wicked,Cage The Elephant,cage-elephant,Cage the Elephant,2:56,On some TV show?
31,In The Fade,Queens Of The Stone Age,queens-of-stone-age,Rated R,4:25,Desert Sessions are back
32,My Teeth Hurt,Ezra Furman,ezra-furman,Twelve Nudes,2:31,Ouch
33,BREAK
34,Entre Los Dos,Y La Bamba,y-la-bamba,Entre Los Dos,3:36,Elevating
35,Mad About You,Laurel Aitken,laurel-aitken,The Godfather of Ska Anthology,3:39,The man himself
36,Lithium (Club des Belugas Extended Mix),Maya Fadeeva,maya-fadeeva,Strange Things Beyond the Sunny Side,3:54,In an alternate universe
37,When The World Is Running Down (Original Bootleg Mix),differentGear vs The Police,differentgear-vs-police,Pagan Dance Anthems,5:43,Same one I’ve had for years
38,BREAK
39,Many Moons Of Love,Babe Rainbow,babe-rainbow,Today,3:32,Delilah
40,Wide Eyed Fools,Bettie Serveert,bettie-serveert,LOG 22,5:08,A long long time
41,Atlantic Postcard,The Holydrug Couple,holydrug-couple,Moonlust,3:06,Sparkling lights
42,BREAK
43,Flecha Al Sol,Chicano Batman,chicano-batman,Freedom Is Free,2:40,Arrow to the sun
44,Ta På Dig Dansskorna,Movits!,movits,Äppelknyckarjazz,3:42,Swedish altercation
45,The Ent's,What!,what,What!,3:52,Keep it up
46,O pato,Stan Getz avec Astrud et Joao Gilberto,stan-getz-avec-astrud-et-joao-gilberto,,2:32,Quack
47,BREAK
48,Cloud Ate,Bracket,bracket,Too Old to Die Young,2:07,Fast and sharp
49,A Million Miles Away,The Plimsouls,plimsouls,Everywhere at Once,3:34,Valley Girl music
50,Elevenate,The Hair And Skin Trading Co,hair-skin-trading-co,,3:37,The ominous time signature
51,BREAK
52,Nothing,Lala Lala,lala-lala,Sleepyhead,1:21,The cool girls
53,"Man Smart, Woman Smarter",Kid Rio,kid-rio,,3:03,Wisdom
54,Not Half,Alfie,alfie,A Word In Your Ear,3:02,Green pastures
55,See No Evil,Television,television,Marquee Moon,3:58,Definitive
56,BREAK
57,Last Chance To Dance,"Medeski, Martin + Wood",medeski-martin-wood,Friday Afternoon In the Universe,7:40,Suspenseful
