sequence,song,artist,artist_slug,album,time,notes
1,Leap Year,Sebadoh,sebadoh,Act Surprised,3:15,Apropos
2,The Sun And The Moon And The Stars In The Sky,The Low Frequency In Stereo,low-frequency-in-stereo,Travelling Ants Who Got Eaten By Moskus,2:04,Out of the Norway cold
3,Zerox,Adam & The Ants,adam-ants,Dirk Wears White Sox (Remastered),3:49,For that Art Chantry effect
4,13th Century Metal,Brittany Howard,brittany-howard,Jaime,4:48,Heavy
5,BREAK
6,25 O'Clock,The Dukes Of Stratosphear,dukes-of-stratosphear,Psurroundabout Ride,5:03,The real surreal
7,Mission Impossible,Laika & The Cosmonauts,laika-cosmonauts,Laika Sex Machine,2:09,In 5!
8,La Javanasise,Khruangbin,khruangbin,全てが君に微笑む,1:43,Easy there
9,Bag Of Money,Fly My Pretties Featuring Barnaby Weir,fly-my-pretties-featuring-barnaby-weir,"The Studio Recordings, Pt. 1",3:54,NZ ragga
10,BREAK
11,A Sunday Smile,Beirut,beirut,The Flying Club Cup,3:36,A stately waltz
12,Underage,Omni,omni,Networker,3:35,Off-kilter stealth
13,"Have You No Shame, Girl?",Solex,solex,Low Kick and Hard Bop,3:10,Dutch cooking
14,Whitsand Bay,Metronomy,metronomy,Metronomy Forever,3:51,New fangled old-fashioned
15,BREAK
16,More Than A Month,The Regrettes,regrettes,How Do You Love?,3:44,In your face
17,Sing Hosanna,Clinton,clinton,Disco And The Halfway To Discontent,2:38,WIth they guys from Cornershop
18,C-64,Barcelona,barcelona,Simon Basic (Expanded Edition),2:45,I’ve got 64K memory
19,Ninja's Principality,"Up, Bustle & Out",up-bustle-out,One Colour Just Reflects Another,2:33,You won’t hear it coming
20,BREAK
21,Prazer Em Te Conhecer,Allah-Las,allah-las,LAHS,3:06,"George Harrison, but from Brazil"
22,25 Or 6 To 4,The Moog Cookbook,moog-cookbook,Ye Olde Space Bande Plays the Classic Rock Hits,4:13,Chicago conga line
23,Rave Up! Shut Up!,The Rave-Ups,rave-ups,,1:52,From Pretty In Pink
24,BREAK
25,Computer Technology,Kool Keith,kool-keith,Computer Technology,3:20,The future is here
26,Do Me,Jean Knight,jean-knight,Superbad (Original Motion Picture Soundtrack),2:51,Good advice
27,Up and Rolling,North Mississippi Allstars,north-mississippi-allstars,Up and Rolling,5:04,With mushroom tea
28,Liberte,Stewart Copeland,stewart-copeland,The Rhythmatist,4:05,From The Rhythmatist
29,BREAK
30,Air BnB,Kim Gordon,kim-gordon,No Home Record,4:11,Harshed mellow
31,Muerte Marte,Mutagénicos,mutagenicos,3,4:47,Guerra de los mundos
32,Bird of Prey,Pixies,pixies,Beneath the Eyrie,2:37,Cowboy feelings
33,"Want It, You Got It",The Rikters,rikters,Don't You Get It,3:01,Hot boogie
34,BREAK
35,Oh Suzanne,Bombadil,bombadil,Beautiful Country,3:55,In a gentle mood
36,Drip Drops,that dog.,that-dog,Old LP,2:27,A welcome return
37,Chiclete Com Banana,Gilberto Gil,gilberto-gil,Expresso 2222,3:23,Genius of song
38,Whatever Lola Wants (Gotan Project Remix),Sarah Vaughan,sarah-vaughan,Verve Remixed 2,4:40,"Tonight, Lola wants you"
39,BREAK
40,Nuclear War,The Barrence Whitfield Soul Savage Arkestra,barrence-whitfield-soul-savage-arkestra,Songs From the Sun Ra Cosmos,4:44,From the majestic Sun Ra
41,My Sword Hand's Anger,Apostle of Hustle,apostle-of-hustle,National Anthem of Nowhere,3:14,Understated
42,Still Beating,Mac DeMarco,mac-demarco,This Old Dog,3:02,Positive vibes
43,BREAK
44,Oh My Girl (French Version),Club Des Belugas; Antoine Villoutreix,club-des-belugas-antoine-villoutreix,Strange Things Beyond the Sunny Side,3:32,For the francophones
45,La Revedere,Dunkelbunt Feat Amsterdam Klezmer Band,dunkelbunt-feat-amsterdam-klezmer-band,,3:31,Cue the horses
46,Back Off Boogaloo,Electrik Cokernut,electrik-cokernut,,2:30,Let’s hear it for Ringo!
47,Rocket Fuel,DJ Shadow + De La Soul,dj-shadow-de-la-soul,Our Pathetic Age,3:16,Ladies and gentlemen
48,BREAK
49,Mondo '77,Looper,looper,The Geometrid,4:57,Get up and dance
50,People Mover,Servotron,servotron,Spare Parts,2:32,Wait! Stop!
51,I Like Bananas (Because They Have No Bones),The Soft Boys,soft-boys,Live at the Portland Arms,2:52,Originally by the Hoosier Hot Shots
52,Lady Madonna,The Beatles,beatles,The Beatles (White Album) [Super Deluxe],2:18,Big beat
53,BREAK
54,Clampdown,The Clash,clash,London Calling: 25th Anniversary Edition,3:49,Always relevant
55,Down And Out,Camper Van Beethoven,camper-van-beethoven,II & III,1:37,Wild nights
56,Oh!,The Breeders,breeders,Pod,2:28,Sparse deluxe
57,The Teen Thing,Young Fresh Fellows,young-fresh-fellows,The Young Fresh Fellows Vs. The Barbers Of Smelterville,0:45,Too brief
58,BREAK
59,The Power Of Lard 1988,Lard,lard,The Record Shop-30 Years Of Rough Trade Shops,7:30,So very abrasive
