sequence,song,artist,artist_slug,album,time,notes
1,Il Clan Dei Siciliani,Khruangbin,khruangbin,全てが君に微笑む,3:28,Hot dusty spaghetti
2,Wanted,Nortec Collective,nortec-collective,Tijuana Sound Machine,2:43,Tijuana sound machine
3,Chez les yé-yé (Complete Take),Serge Gainsbourg,serge-gainsbourg,En studio avec Serge Gainsbourg,3:18,Internationale
4,BREAK
5,Keeping Dry,Allah-Las,allah-las,LAHS,3:54,Easy swagger
6,Surf Song,Sean Henry,sean-henry,A Jump From The High Dive,3:15,Kids are alright
7,Context,Temples,temples,Hot Motion,3:40,It’s everything
8,Un Woman's Paradis,Dimitri From Paris,dimitri-from-paris,Sacrebleu,3:15,The swankiest
9,BREAK
10,I'm Gonna Unmask the Batman,The Barrence Whitfield Soul Savage Arkestra,barrence-whitfield-soul-savage-arkestra,Songs From the Sun Ra Cosmos,5:02,Make good a threat
11,Special One,Ultra Vivid Scene,ultra-vivid-scene,Joy (1967-1990),3:16,Singing under the covers
12,Beautiful Country,Bombadil,bombadil,Beautiful Country,2:36,Sweet mountain music
13,Ooh Child,Levitation Room,levitation-room,Headspace,3:02,That ‘70s sound
14,BREAK
15,Your Machine,that dog.,that-dog,Old LP,2:58,Same ole dog
16,Feels,Black Marble,black-marble,Bigger Than Life,4:42,More retro sounds
17,Shamemaker,Ween,ween,La Cucaracha,2:39,What’s with the accent?
18,Apt. 23B,Laika & The Cosmonauts,laika-cosmonauts,Local Warming,3:34,Surf Finland
19,BREAK
20,I've Got Reason,Mikal Cronin,mikal-cronin,Seeker,3:46,Big sounds
21,Coin-Operated Boy,The Dresden Dolls,dresden-dolls,The Dresden Dolls,4:46,Or tokens
22,Sing! Harpy,The Fall,fall,Extricate,5:24,Sneering from beyond the grave
23,Stop and Go,The Regrettes,regrettes,How Do You Love?,2:59,Never gets old
24,BREAK
25,My Regime,Kelley Stoltz,kelley-stoltz,My Regime,2:52,T.Rexy
26,Topographe,Corridor,corridor,Junior,3:15,Out of Canadia
27,You're My Drug,The Dukes Of Stratosphear,dukes-of-stratosphear,Psurroundabout Ride,3:20,It’s the music
28,BREAK
29,Apple Heart,Fly My Pretties Featuring LA Mitchell,fly-my-pretties-featuring-la-mitchell,"The Studio Recordings, Pt. 1",3:44,From New Zealand
30,Bored To Death,Walrus,walrus,Cool To Who,3:14,Who is the walrus?
31,It's All In Your Head,The Shivas,shivas,Dark Thoughts,5:00,Imaginary
32,BREAK
33,Around The World,Daft Punk,daft-punk,Homework,4:02,For Geoffrey
34,Part Time Aliens,Club Des Belugas,club-des-belugas,Strange Things Beyond the Sunny Side,3:48,Quite continental
35,Eternal Shore,Moon Duo,moon-duo,Stars Are the Light,5:38,Space travel in 5/4
36,BREAK
37,Tailpipe,Snapped Ankles,snapped-ankles,Stunning Luxury,4:23,Truly manic
38,Midget Submarines,Swell Maps,swell-maps,A Trip to Marineville,4:34,Porto-Something
39,Allergic To Myself,Cows,cows,Orphan's Tragedy,3:08,Whoop
40,BREAK
41,Cadillac,Negativland,negativland,True False,5:18,What kind of car?
42,Surfer Calavera,Los Fabulosos Cadillacs,los-fabulosos-cadillacs,Fabulosos Calavera,3:56,Switch up those tempos
43,Kreyol,Preservation Hall Jazz Band,preservation-hall-jazz-band,A Tuba To Cuba,3:43,Out of Cuba
44,BREAK
45,Too Seriously,Dyson Stringer Cloher,dyson-stringer-cloher,Dyson Stringer Cloher,2:50,No fooling
46,Season Of The Witch,Donovan,donovan,Sunshine Superman,4:55,Looking out your window
47,Nothing's All Right,Golden Shoulders,golden-shoulders,Friendship Is Deep,2:30,Tragically under appreciated
48,BREAK
49,Titanium 2 Step (feat. Sal Principato),Battles,battles,Juice B Crypts,3:26,Get busy
50,Drum Rhythm A (Music For Ballet Exercises),Koop,koop,Koop Islands (Bonus Track Edition),2:15,Very instructional
51,Juju & Blue,Mosquitos,mosquitos,Mosquitos,2:22,Taking long showers … alone
52,Go Blue Angels Go,Young Fresh Fellows,young-fresh-fellows,I Think This Is,1:36,Louder than jets
53,BREAK
54,Y Todavia La Quiero,Brooklyn Funk Essentials,brooklyn-funk-essentials,Stay Good,7:19,Founk out
