sequence,song,artist,artist_slug,album,time,notes
1,La Cumbia De La Muerte,Mutagénicos,mutagenicos,3,2:46,Dancing with death
2,The Infamous Bill,Khruangbin,khruangbin,全てが君に微笑む,4:11,Moving along
3,Telephone Thing,The Fall,fall,Extricate,4:12,A voice of utmost displeasure
4,BREAK
5,Courtesy Call,Omni,omni,Networker,3:47,Answer the phone
6,Can U,Sean Henry,sean-henry,A Jump From The High Dive,2:36,Newly sublime
7,Everyone Is You,Solipsistics,solipsistics,Honey and Other Complaints VOL. 1,2:25,Introspective AF
8,The Real Thing,Bombadil (feat. Kate Rhudy),bombadil-feat-kate-rhudy,Beautiful Country,3:45,Gentle sounds
9,BREAK
10,Star,Beck,beck,Hyperspace,2:51,That becky mood
11,"Get Hot, You Bum!",Ui,ui,Answers,2:33,Stumbling beat
12,Salted Caramel Ice Cream,Metronomy,metronomy,Metronomy Forever,3:30,The best
13,Low Life,The Police,police,Every Move You Make - The Studio Recordings,3:46,Don’t bring your wife
14,BREAK
15,Passenger Side,Kurt Vile,kurt-vile,Wilco Covered (Uncut November 2019),3:11,A familiar lament
16,I Agree,Thee Oh Sees,thee-oh-sees,Grave Blockers,4:15,Ghosty sounds
17,Sa Na Kenbe,Lakou Mizik feat. Cyril Neville,lakou-mizik-feat-cyril-neville,HaitiaNola,2:28,Transcultural
18,Yopparai (A Drunkard Who Fell From Heaven),ICU,icu,,6:05,Frantic and Japanese
19,BREAK
20,Royal Blues,Allah-Las,allah-las,LAHS,2:32,Tropicalia with attitude
21,Basso Profundo,DeVotchKa,devotchka,A Mad & Faithful Telling,5:15,Blast the sousaphone
22,I Get The Message,Barcelona,barcelona,Transhuman Revolution,1:28,A subtle interlude
23,BREAK
24,History Repeats,Brittany Howard,brittany-howard,Jaime,3:05,Big soul
25,Orange (Acoustic),Metal Molly,metal-molly,,4:21,Alternate realities
26,Forgotten Eyes,Big Thief,big-thief,Two Hands,3:32,Fast turnaround
27,In The Morning I'll Be Better,Tennis,tennis,Yours Conditionally,3:33,Classic!
28,BREAK
29,I'm Clamped,Das Clamps,das-clamps,Shit Music For Shit People,2:26,Raw and rawer
30,Dumb It Down,Ugly Duckling,ugly-duckling,Taste the Secret,3:34,Is it possible?
31,The Cat,Seks Bomba,seks-bomba,Operation B.O.M.B.A.,3:38,Swingin’!
32,BREAK
33,Woman In Blue,Pepe Deluxe,pepe-deluxe,Catskills Records: 20 Years of Victory,5:34,An epic journey
34,Popcorn 2006,Arling + Cameron,arling-cameron,Hi Fi Underground,3:45,Dutch masters
35,Les Joyeaux Bouchers,Rin-Ger,rin-ger,,3:01,Dark cabaret
36,Sunday Roast (MTV Unplugged Live In Melbourne),Courtney Barnett,courtney-barnett,MTV Unplugged (Live In Melbourne),6:38,Dinnertime
37,BREAK
38,Dress Up,The Regrettes,regrettes,How Do You Love?,2:50,Very in your face
39,I See You're in Some Trouble,Status Quo,status-quo,Backbone,3:46,Still around
40,Pandy Fackler,Ween,ween,White Pepper,3:58,Edits!
41,BREAK
42,Bakabana,Brooklyn Funk Essentials,brooklyn-funk-essentials,Stay Good,3:12,Unh
43,Muck Muck,The Barrence Whitfield Soul Savage Arkestra,barrence-whitfield-soul-savage-arkestra,Songs From the Sun Ra Cosmos,3:41,Watch out
44,Outta-Space,Billy Preston,billy-preston,The Urban Soul Series: Billy Preston,4:10,Dynomite!
45,BREAK
46,Dedicated to Love,Manfred Hubler & Siegfried Schwab,manfred-hubler-siegfried-schwab,Vampyros Lesbos Sexaholic Dance Party,2:32,Sexadelic time
47,Stay Awake,Field Music,field-music,Commontime,4:08,I think they like Steely Dan
48,Gepetto,Optiganally Yours,optiganally-yours,Exclusively Talentmaker!,3:21,Here inside the whale
49,Je t'aime moi non plus (Mix original acetate),"Serge Gainsbourg, Jean-Pierre Sabar",serge-gainsbourg-jean-pierre-sabar,En studio avec Serge Gainsbourg,4:39,Original vinyl mix
50,BREAK
51,Uh Oh,Kelley Stoltz,kelley-stoltz,My Regime,3:13,A Django Django vibe
52,Nice to Me,Money Mark,money-mark,,2:52,Hitting the sweet spot
53,Big Mess,Devo,devo,"Oh, No! It's Devo",2:46,All tied up
54,BREAK
55,Life Is Beautiful,Tony Allen,tony-allen,The Source,6:27,Undercurrents
