sequence,song,artist,artist_slug,album,time,notes
1,Angola Rodeo,Black Lips,black-lips,Sing In A World That’s Falling Apart,2:43,Burnout of a starter
2,A Lovely Day Boo Hoo,The Muffs,muffs,No Holiday,4:14,The classic format
3,Flat Earth,Omni,omni,Networker,2:54,Very edgy
4,BREAK
5,The Number 3,Khruangbin,khruangbin,全てが君に微笑む,2:44,Supermoody
6,Say When,Chandler Travis Philharmonic,chandler-travis-philharmonic,Let's Have a Pancake!,3:02,Gentle clacking
7,Money Is a Memory,Field Music,field-music,Making a New World,3:33,Looping the loops
8,Ronsard 58,Serge Gainsbourg,serge-gainsbourg,En studio avec Serge Gainsbourg,1:29,Un boogie
9,BREAK
10,Twilight Hall,Shannon Wright,shannon-wright,Flightsafety,2:22,Straight outta Jax
11,Here At The Home,Tribe,tribe,Here At The Home,3:06,That Boston scene
12,Brush Your Hair,Sacred Paws,sacred-paws,Run Around the Sun,3:20,Like Winterbrief!
13,The Coffee Cola Song,Francis Bebey,francis-bebey,"Afro Exotique - Adventures In The Leftfield, Africa 1972-82",5:06,Drink of choice
14,BREAK
15,Getaway,Wolf + Moon,wolf-moon,Before It Gets Dark,3:43,Desperate disco
16,Can U Dig It,Pop Will Eat Itself,pop-will-eat-itself,Wise Up Suckers,4:31,We like the music
17,Cinnamon Girl,[dunkelbunt],dunkelbunt,Cinnamon Girl,3:56,Somewhat Gadget-y
18,Infinity,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,Nico… and Her Psychedelic Subconscious,6:14,A thundering herd
19,BREAK
20,Natural Affair,The Growlers,growlers,Natural Affair,3:40,Suspicious dance moves
21,One and a Half Stars,Wilco,wilco,Ode to Joy,3:43,Introspector
22,Keep Your Head Up,Preservation Hall Jazz Band,preservation-hall-jazz-band,A Tuba To Cuba,4:46,Hot time
23,BREAK
24,Copier-coller,Double Date with Death,double-date-with-death,L’Au-Delà,2:37,Paper jam
25,I Gots A Weasel,Ween,ween,GodWeenSatan: The Oneness,1:22,Lotsa weasels
26,Fresh New Eyes,Brainiac,brainiac,Electro-shock For President,2:20,Electro-shock For President
27,20 Second Man,Chalk,chalk,Black Box Broken,2:51,Dusting away
28,BREAK
29,Saw Lightning,Beck,beck,Hyperspace,4:01,Delta blews
30,Groove Is In the Heart,Deee-Lite,deee-lite,The Elektra Years,3:52,And have some fun
31,Jerkin' Back 'n' Forth (Live),Devo,devo,Now It Can Be Told,3:06,I know you know
32,I'll Take You There,The Staple Singers,staple-singers,The Best of the Staple Singers,3:23,Such a groove
33,BREAK
34,She Gets Around,Starcrawler,starcrawler,Devour You,3:13,Quite ominous
35,96 Tears,Question Mark and The Mysterians,question-mark-mysterians,96 Tears,3:00,Your turn to suffer
36,Flat Foot Boogie,[dunkelbunt],dunkelbunt,Mountain Jumper,4:24,More electro swing
37,Glu,MOTOR,motor,Hyper Machine,6:09,Very motorik
38,BREAK
39,Meditation,Cory Wong,cory-wong,Elevator Music for an Elevated Mood,4:41,Just breathe
40,Slang Tang,Discovery,discovery,LP,2:28,Spread out
41,Heavy Heavy Heavy,Geraldo Pino,geraldo-pino,"Soul Jazz Records presents Nigeria Soul Power 70 - Afro-Funk, Afro-Rock, Afro-Disco",6:25,Heavy
42,BREAK
43,Goo Goo Muck,Das Clamps,das-clamps,Shit Music For Shit People,3:11,You better duck
44,I Get a Little Taste of You,Z-Rock Hawaii,z-rock-hawaii,,2:22,Eye ay ay
45,Grudge,Pain,pain,Midgets With Guns,3:13,Skalabama
46,Gypsy's Kolo,Jony Iliev and Band,jony-iliev-band,Borat Soundtrack,2:12,Balkan bounce
47,BREAK
48,Canary in a Coalmine,Juliana Hatfield,juliana-hatfield,Juliana Hatfield Sings The Police,2:49,First to fall over
49,Someone To Talk To,The Police,police,Every Move You Make - The Studio Recordings,3:05,Obscure stuff
50,Space Invaders,Solaris,solaris,Soul Jazz Records presents SPACE FUNK - Afro-Futurist Electro Funk in Space 1976-84,3:37,Spacefunk
51,Sixteen Tons,Brave Combo,brave-combo,Musical Varieties,2:42,Conga line in the mine
52,BREAK
53,Ne-ne Ami-chan,the Sisterhood of Convoluted Thinkers,sisterhood-of-convoluted-thinkers,Ume Sour,2:58,Squeeeeeeee
54,Dumbala Dumba,DJ Dolores vs. Taraf de Haïdouks,dj-dolores-vs-taraf-de-haidouks,Electric Gypsyland,3:15,Echoes of samba
55,Dormida,Natalia Clavier,natalia-clavier,Nectar,3:25,Argentinian siren
56,BREAK
57,Fly Guy and The Unemployed,Ramsey 2C-3D,ramsey-2c-3d,Soul Jazz Records presents SPACE FUNK - Afro-Futurist Electro Funk in Space 1976-84,8:01,Flashing lights
