sequence,song,artist,artist_slug,album,time,notes
1,Social Man,The Growlers,growlers,Natural Affair,3:29,Swagger disco
2,Mystery Hour,Pavo Pavo,pavo-pavo,Mystery Hour,3:39,Slow growth
3,Am I Ever Gonna See Your Face Again,Baby Shakes,baby-shakes,Cause a Scene,3:01,Good ole rock
4,BREAK
5,Pleasure,Allah-Las,allah-las,LAHS,4:23,A pleasure to speak with you
6,El Niño Bonito,Funky Butt Brass Band,funky-butt-brass-band,Onward,5:25,Mardi Gras spirit
7,My Girl,Joe Pastrana & His Orchestra,joe-pastrana-his-orchestra,New York Barrio Grooves 1966-1972,5:05,Latino groove
8,El Manicero,Preservation Hall Jazz Band,preservation-hall-jazz-band,A Tuba To Cuba,3:52,Traditionally speaking
9,BREAK
10,Busy Mama,The Obscuritones,obscuritones,Don't Stop Her!,3:13,Newfangled oldfashioned
11,Lo Que Digan De Mi,Mutagénicos,mutagenicos,3,2:40,More skating through time
12,Juicy (On a Cadillac),Brainiac,brainiac,Bonsai Superstar,2:28,Gimme the frantic squeegee
13,Uphill Spectre,Animal,animal,,2:03,Very motoric
14,BREAK
15,Subterranean Exodus (Panda Dub remix),Atili,atili,Horizons,3:05,Slow wobble
16,Hab Isii  (Hug Me),Omar Shooli,omar-shooli,Mogadisco - Dancing Mogadishu (Somalia 1972-1991),5:36,Somalian sizzle
17,Bucovina (OMFO Dub),Shantel,shantel,Shantology // The Bucovina Club Years,4:43,Sad and lonely
18,BREAK
19,Fluorescent,Double Date with Death,double-date-with-death,L’Au-Delà,4:44,Off to a wild start
20,Fire,Mikal Cronin,mikal-cronin,Seeker,4:36,The Western approach
21,One Angry Dwarf and 200 Solemn Faces,Ben Folds Five,ben-folds-five,Whatever and Ever Amen,3:53,A tale of epic proportions
22,BREAK
23,Dishonest Men,Black Lips,black-lips,Sing In A World That’s Falling Apart,3:23,Staggering through
24,I'd Like That,XTC,xtc,Apple Venus Volume 1,3:50,Quite Beatlesque
25,OK Apartment,The Oranges Band,oranges-band,Two Thousands,3:12,High rise apartment buildings
26,Alright,Supergrass,supergrass,I Should Coco,3:01,Lovely lads
27,BREAK
28,My Purple I,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,Nico… and Her Psychedelic Subconscious,2:21,Worble the twist
29,Best Kept Garden,Field Music,field-music,Making a New World,2:54,Unsettled rhythm
30,Hold Me Up,Secret Colours,secret-colours,Feed The Machine,2:30,Hot boulders
31,Dear Leader,Little Scream,little-scream,Speed Queen,5:24,Let’s get political
32,BREAK
33,The Organ Grinder's Swing,The Incredible Jimmy Smith,incredible-jimmy-smith,Organ Grinder Swing,2:16,Grinding
34,The Magic Number,De La Soul,de-la-soul,3 Feet High and Rising,3:16,Bringing it back
35,Running Donkey,The Royal Fingers,royal-fingers,Wild Eleki Deluxe,1:59,Japanese cowboy action
36,The Taker Story,Chicano Batman,chicano-batman,Freedom Is Free,5:28,Updated pusherman
37,BREAK
38,Wonder Girl,Sparks,sparks,Past Tense (The Best Of Sparks) (Disc 1),2:19,A sparkling sound
39,How It Should Be (Sha Sha),Ben Kweller,ben-kweller,EP Phone Home,1:49,That’s right
40,20th Century Schizofriendic Revengoid-man,Of Montreal,of-montreal,UR FUN,3:23,Not King Crimson
41,BREAK
42,Computer (Featuring Princess Superstar),Arling + Cameron,arling-cameron,Hi Fi Underground,3:56,Featuring Princess Superstar
43,Lipstick Vogue,Elvis Costello,elvis-costello,My Aim Is True (Deluxe Edition),3:31,Hail the Thomas brothers
44,Capitol City,The Handsome Family,handsome-family,Wilco Covered (Uncut November 2019),4:39,Originally by Wilco
45,My Body's Made of Crushed Little Stars,Mitski,mitski,Puberty 2,1:57,Collapsing neutrons
46,BREAK
47,Hey Cuz,Afghan Whigs,afghan-whigs,Up In It,3:49,How’s it hanging
48,Fish Or Cut Bait,Flour,flour,Luv 713,3:10,A hard decision
49,The Book,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Sketches Of Brunswick East,4:59,Wandering meander
50,BREAK
51,BBC News,Cory Wong,cory-wong,Elevator Music for an Elevated Mood,3:07,Funketeer
52,Stars For Anyone,The Boneless Children Foundation,boneless-children-foundation,Stars For Anyone,3:21,Such a band name
53,Certain Men,Negativland,negativland,True False,5:00,For the modern age
54,BREAK
55,La Guitaristic House Organisation,Rinôçerôse,rinocerose,Installation sonore,7:09,Reusable components FTW
