sequence,song,artist,artist_slug,album,time,notes
1,Breathe,Born Ruffians,born-ruffians,Juice,3:28,Weaving through a Pixies chorus
2,Daily Routine,Disq,disq,Collector,4:24,Very familiar at this point
3,Can't Stand Losing You,Juliana Hatfield,juliana-hatfield,Juliana Hatfield Sings The Police,3:09,He’s six feet ten
4,Solid Gone,Madness,madness,Absolutely,2:20,Twotone boogie
5,BREAK
6,I'll Haunt You,Tennis,tennis,Swimmer,2:32,Sweet Sunday music
7,The Best,The Muffs,muffs,No Holiday,1:18,"Missing you, Kim"
8,Speeding Motorcycle,Yo La Tengo,yo-la-tengo,Fakebook,3:24,Slow down
9,Carmillas Of Love,Of Montreal,of-montreal,UR FUN,4:00,Audio slurry for thirsty ears
10,BREAK
11,Dark Green Water,Great Grandpa,great-grandpa,Four of Arrows,4:14,cf. Mates of State
12,Bamboo Forest,Mr. Elevator,mr-elevator,"Goodbye, Blue Sky",2:45,Pulsing organs
13,Terrible Angels,CocoRosie,cocorosie,La maison de mon r,4:10,Journey through the broken toy box
14,Burn 4 U,We Ragazzi,we-ragazzi,La maison de mon rêve,5:12,Que drama
15,BREAK
16,Manatee,Clifffs,clifffs,Panic Attack,1:18,Pretty fast for a manatee
17,Holy Horses,Temples,temples,Hot Motion,3:05,Symphonic hallucinations
18,She Came In Through The Bathroom Window,The Beatles,beatles,Abbey Road,1:58,By the banks of her own lagoon
19,Reality,Material,material,The Third Power,4:56,We’re in it
20,BREAK
21,Drama King,Peter Bjorn + John,peter-bjorn-john,Endless Dream,3:47,Low key grooving
22,Cause a Scene,Baby Shakes,baby-shakes,Cause a Scene,2:56,Don’t mess with these ladies
23,You Are Going to Hate This,The Frights,frights,You Are Going to Hate This,3:07,Really going to hate this
24,BREAK
25,The Adults Are Talking,The Strokes,strokes,The New Abnormal,5:09,Glitches aside
26,Teacher Teacher,Rockpile,rockpile,Seconds of Pleasure,2:37,Nick and Dave
27,For Your Pleasure,Shopping,shopping,All Or Nothing,3:31,Frantic activities
28,Put Your Hand Inside The Puppet Head,They Might Be Giants,they-might-be-giants,They Might Be Giants,2:13,Memo to myself
29,BREAK
30,Arkadelphia,Waxahatchee,waxahatchee,Saint Cloud,4:51,Shake some dust off
31,Night And Day (Live Bonus Track),Sondre Lerche,sondre-lerche,Don’t Be Shallow,3:25,Nice take
32,Hey World (Acoustic),Isobel Campbell,isobel-campbell,There is No Other... (Deluxe),3:14,Get out there
33,Dear Son,The Warlocks,warlocks,The Chain,4:05,Quite morose
34,BREAK
35,The Hunt,Olivia Jean,olivia-jean,Night Owl,2:26,Got swagger
36,Ballad Of Jim Jones,The Brian Jonestown Massacre,brian-jonestown-massacre,Thank God for Mental Illness,2:14,Folk music of a sorts
37,Reality Check,Schneider TM,schneider-tm,Zoomer,4:22,Check please
38,Disco Paradise,VHS Or Beta,vhs-or-beta,Le Funk,4:11,Mirrorball time
39,BREAK
40,Born Too Late,Habibi,habibi,Anywhere But Here,2:58,You got that right
41,Go Shopping,Bran Van 3000,bran-van-3000,Discosis,2:52,An adventure for these times
42,The Crutch,"Gil Scott-Heron, Makaya Mccraven",gil-scott-heron-makaya-mccraven,We're New Again: A Reimagining by Makaya McCraven,2:34,Strange grind
43,BREAK
44,Gotta Get Up,Ty Segall,ty-segall,Segall Smeagol,2:31,Originally by Nilsson
45,Agua de Beber,Astrud Gilberto + Antonio Carlos Jobim,astrud-gilberto-antonio-carlos-jobim,The Wonderful World of Antonio Carlos Jobim,2:17,Water everywhere
46,Black,Ken Nordine,ken-nordine,Colors,1:39,Goth primer
47,Computer Games,Frank Cornelius,frank-cornelius,Soul Jazz Records presents SPACE FUNK - Afro-Futurist Electro Funk in Space 1976-84,4:56,Good times
48,BREAK
49,Along the Santa Fe Trail,M. Ward,m-ward,Migration Stories,3:09,Sparkling clear night skies
50,Expecting To Lose,Nathaniel Rateliff,nathaniel-rateliff,And It’s Still Alright,3:55,Porch ambiance
51,Big Grief,Waax,waax,Big Grief,2:43,The biggest
52,See You At The Lights,1990s,1990s,Cookies,2:55,Meet soon
53,BREAK
54,Buenas Tardes Amigo,Ween,ween,Chocolate + Cheese,7:07,Cinco de Mayo’s on Tuesday
55,Perfect Gentleman,The Snitches,snitches,Star Witness,3:16,Featuring legendary seagulls
56,Bang On,The Breeders,breeders,Mountain Battles,2:03,Wobbly beat
57,Would you... ?,Plaster,plaster,First Aid Kit,4:17,Noisy art
58,BREAK
59,Get Ready Now,Rinôçerôse,rinocerose,Schizophonia,4:29,Almost ready now
